Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Adult,273.53,282.26,291.42
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Behavioral Health Treatment 0-6,4498.34,4624.82,4755.87
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Behavioral Health Treatment 7-20,2392.72,2460.0,2529.7
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Child,74.42,77.82,81.44
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Maternity,8990.4,9265.88,9551.78
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Adult Expansion,329.1,339.04,349.45
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Aetna Better Health,SPD,892.11,915.7,940.33
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Aetna Better Health,SPD Dual,154.37,160.08,166.09
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Health Homes Non-Dual,326.91,331.08,347.75
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Health Homes Dual,80.02,82.98,86.63
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Aetna Better Health,Adult,266.59,274.65,283.12
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Aetna Better Health,Behavioral Health Treatment 0-6,2440.65,2509.28,2580.38
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Aetna Better Health,Behavioral Health Treatment 7-20,1973.57,2029.06,2086.55
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Aetna Better Health,Child,82.57,86.15,89.94
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Aetna Better Health,Maternity,7512.15,7742.39,7981.33
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Aetna Better Health,Adult Expansion,344.2,353.97,364.21
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Aetna Better Health,SPD,946.44,969.7,993.98
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Aetna Better Health,SPD Dual,138.28,143.41,148.81
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Hep C Non-340B,2184.11,2184.11,2285.16
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Aetna Better Health,Hep C 340B,1722.85,1722.85,1759.31
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Aetna Better Health,Hep C Non-340B,2184.11,2184.11,2285.16
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Aetna Better Health,Hep C 340B,1722.85,1722.85,1759.31
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Aetna Better Health,Health Homes Non-Dual,413.17,418.63,439.92
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Aetna Better Health,Health Homes Dual,122.49,127.41,132.81
01/21-12/21,2021,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Adult,266.02,274.47,283.34
01/21-12/21,2021,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 0-6,4552.67,4680.68,4813.31
01/21-12/21,2021,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 7-20,2467.49,2536.86,2608.74
01/21-12/21,2021,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Child,73.61,76.92,80.44
01/21-12/21,2021,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Maternity,8990.4,9265.88,9551.78
01/21-12/21,2021,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Adult Expansion,324.47,334.24,344.47
01/21-12/21,2021,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,SPD,903.72,927.55,952.41
01/21-12/21,2021,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,SPD Dual,174.65,180.9,187.48
01/21-12/21,2021,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Hep C Non-340B,2184.11,2184.11,2285.16
01/21-12/21,2021,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Hep C 340B,1722.85,1722.85,1759.31
01/21-12/21,2021,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Health Homes Non-Dual,315.63,319.9,336.71
01/21-12/21,2021,GMC,Sacramento,Anthem Blue Cross,Anthem Blue Cross,Health Homes Dual,76.39,79.74,83.42
01/21-12/21,2021,GMC,San Diego,Community Health Group,Community Health Group,Adult,281.42,289.81,298.62
01/21-12/21,2021,GMC,San Diego,Community Health Group,Community Health Group,Child,81.09,84.57,88.26
01/21-12/21,2021,GMC,San Diego,Community Health Group,Community Health Group,Maternity,7512.15,7742.39,7981.33
01/21-12/21,2021,GMC,San Diego,Community Health Group,Community Health Group,Adult Expansion,362.08,372.22,382.83
01/21-12/21,2021,GMC,San Diego,Community Health Group,Community Health Group,SPD,989.12,1013.12,1038.16
01/21-12/21,2021,GMC,San Diego,Community Health Group,Community Health Group,SPD Dual,134.6,139.59,144.86
01/21-12/21,2021,GMC,San Diego,Community Health Group,Community Health Group,Health Homes Non-Dual,399.18,404.52,425.11
01/21-12/21,2021,GMC,San Diego,Community Health Group,Community Health Group,Health Homes Dual,123.06,127.86,133.11
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Net,Adult,270.06,278.57,287.51
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Net,Behavioral Health Treatment 0-6,3459.06,3556.32,3657.08
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Net,Behavioral Health Treatment 7-20,2536.89,2608.22,2682.12
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Net,Child,70.15,73.31,76.67
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Net,Maternity,8990.4,9265.88,9551.78
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Net,Adult Expansion,322.42,332.08,342.2
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Net,SPD,947.33,972.24,998.23
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Net,SPD Dual,171.49,177.5,183.83
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Net,Health Homes Non-Dual,329.77,334.4,350.74
01/21-12/21,2021,GMC,Sacramento,Health Net of California,Health Net,Health Homes Dual,78.7,82.03,85.69
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Adult,204.84,211.05,217.57
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Behavioral Health Treatment 0-6,2517.31,2588.08,2661.42
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Behavioral Health Treatment 7-20,2164.58,2225.44,2288.5
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Child,83.9,87.37,91.04
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Maternity,7512.15,7742.39,7981.33
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Adult Expansion,260.49,267.93,275.72
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,SPD,679.27,696.13,713.72
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,SPD Dual,124.25,128.53,133.02
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Health Homes Non-Dual,417.56,423.1,444.38
01/21-12/21,2021,GMC,San Diego,Health Net of California,Health Net,Health Homes Dual,121.06,125.88,131.16
