Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/21-12/21,2021,Regional,Alpine,Anthem Blue Cross,Anthem Blue Cross,Child,66.06,68.98,72.09
1/21-12/21,2021,Regional,Alpine,Anthem Blue Cross,Anthem Blue Cross,Adult,261.19,268.96,277.12
1/21-12/21,2021,Regional,Alpine,Anthem Blue Cross,Anthem Blue Cross,Adult Expansion,330.63,340.08,349.98
1/21-12/21,2021,Regional,Alpine,Anthem Blue Cross,Anthem Blue Cross,SPD,927.25,950.32,974.4
1/21-12/21,2021,Regional,Alpine,Anthem Blue Cross,Anthem Blue Cross,SPD Dual,150.41,155.69,161.24
1/21-12/21,2021,Regional,Alpine,Anthem Blue Cross,Anthem Blue Cross,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Amador,Anthem Blue Cross,Anthem Blue Cross,Child,66.06,68.98,72.09
1/21-12/21,2021,Regional,Amador,Anthem Blue Cross,Anthem Blue Cross,Adult,261.19,268.96,277.12
1/21-12/21,2021,Regional,Amador,Anthem Blue Cross,Anthem Blue Cross,Adult Expansion,330.63,340.08,349.98
1/21-12/21,2021,Regional,Amador,Anthem Blue Cross,Anthem Blue Cross,SPD,927.25,950.32,974.4
1/21-12/21,2021,Regional,Amador,Anthem Blue Cross,Anthem Blue Cross,SPD Dual,150.41,155.69,161.24
1/21-12/21,2021,Regional,Amador,Anthem Blue Cross,Anthem Blue Cross,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Butte,Anthem Blue Cross,Anthem Blue Cross,Child,66.06,68.98,72.09
1/21-12/21,2021,Regional,Butte,Anthem Blue Cross,Anthem Blue Cross,Adult,261.19,268.96,277.12
1/21-12/21,2021,Regional,Butte,Anthem Blue Cross,Anthem Blue Cross,Adult Expansion,330.63,340.08,349.98
1/21-12/21,2021,Regional,Butte,Anthem Blue Cross,Anthem Blue Cross,SPD,927.25,950.32,974.4
1/21-12/21,2021,Regional,Butte,Anthem Blue Cross,Anthem Blue Cross,SPD Dual,150.41,155.69,161.24
1/21-12/21,2021,Regional,Butte,Anthem Blue Cross,Anthem Blue Cross,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Calaveras,Anthem Blue Cross,Anthem Blue Cross,Child,66.06,68.98,72.09
1/21-12/21,2021,Regional,Calaveras,Anthem Blue Cross,Anthem Blue Cross,Adult,261.19,268.96,277.12
1/21-12/21,2021,Regional,Calaveras,Anthem Blue Cross,Anthem Blue Cross,Adult Expansion,330.63,340.08,349.98
1/21-12/21,2021,Regional,Calaveras,Anthem Blue Cross,Anthem Blue Cross,SPD,927.25,950.32,974.4
1/21-12/21,2021,Regional,Calaveras,Anthem Blue Cross,Anthem Blue Cross,SPD Dual,150.41,155.69,161.24
1/21-12/21,2021,Regional,Calaveras,Anthem Blue Cross,Anthem Blue Cross,Maternity,10630.12,10955.83,11293.84
1/21-12/21,2021,Regional,Colusa,Anthem Blue Cross,Anthem Blue Cross,Child,66.06,68.98,72.09
1/21-12/21,2021,Regional,Colusa,Anthem Blue Cross,Anthem Blue Cross,Adult,261.19,268.96,277.12
