Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
01/2021-12/2021,2021,SCAN,Los Angeles,SCAN Health Plan,SCAN Health Plan,Aged-Disabled,179.23,184.28,189.55
01/2021-12/2021,2021,SCAN,Riverside,SCAN Health Plan,SCAN Health Plan,Aged-Disabled,171.26,176.13,181.22
01/2021-12/2021,2021,SCAN,San Bernardino,SCAN Health Plan,SCAN Health Plan,Aged-Disabled,164.51,169.26,174.21
01/2021-12/2021,2021,SCAN,Los Angeles,SCAN Health Plan,SCAN Health Plan,LTC Certified,1380.88,1419.92,1460.66
01/2021-12/2021,2021,SCAN,Riverside,SCAN Health Plan,SCAN Health Plan,LTC Certified,1395.98,1435.51,1476.77
01/2021-12/2021,2021,SCAN,San Bernardino,SCAN Health Plan,SCAN Health Plan,LTC Certified,1283.16,1319.51,1357.44
01/2022-12/2022,2022,SCAN,Los Angeles,SCAN Health Plan,SCAN Health Plan,Aged-Disabled,182.51,187.76,193.25
01/2022-12/2022,2022,SCAN,Riverside,SCAN Health Plan,SCAN Health Plan,Aged-Disabled,178.27,183.41,188.79
01/2022-12/2022,2022,SCAN,San Bernardino,SCAN Health Plan,SCAN Health Plan,Aged-Disabled,170.62,175.62,180.85
01/2022-12/2022,2022,SCAN,Los Angeles,SCAN Health Plan,SCAN Health Plan,LTC Certified,1435.81,1476.81,1519.6
01/2022-12/2022,2022,SCAN,Riverside,SCAN Health Plan,SCAN Health Plan,LTC Certified,1423.38,1464.11,1506.61
01/2022-12/2022,2022,SCAN,San Bernardino,SCAN Health Plan,SCAN Health Plan,LTC Certified,1320.48,1358.29,1397.76
01/2023-12/2023,2023,SCAN,Los Angeles,SCAN Health Plan,SCAN Health Plan,Aged-Disabled/Full-Dual - SIS,195.72,201.27,207.08
01/2023-12/2023,2023,SCAN,Riverside,SCAN Health Plan,SCAN Health Plan,Aged-Disabled/Full-Dual - SIS,197.43,203.04,208.91
01/2023-12/2023,2023,SCAN,San Bernardino,SCAN Health Plan,SCAN Health Plan,Aged-Disabled/Full-Dual - SIS,175.67,180.79,186.13
01/2023-12/2023,2023,SCAN,San Diego,SCAN Health Plan,SCAN Health Plan,Aged-Disabled/Full-Dual - SIS,196.27,201.87,207.72
