Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Child - SIS,136.09,,148.58
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Adult - SIS,298.41,,320.66
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,ACA Optional Expansion - SIS,354.73,,380.04
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,SPD - SIS,1172.85,,1243.33
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,SPD/Full-Dual - SIS,346.85,,366.51
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,LTC - SIS,11346.12,,11774.44
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,LTC/Full-Dual - SIS,8508.98,,8811.39
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Maternity - SIS,10792.34,,11269.21
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Child - UIS Federally Eligible,39.54,,44.11
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Adult - UIS Federally Eligible,175.71,,188.6
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,ACA Optional Expansion - UIS Federally Eligible,210.28,,225.28
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,SPD - UIS Federally Eligible,659.73,,702.11
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,SPD/Full-Dual - UIS Federally Eligible,85.5,,92.46
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,LTC - UIS Federally Eligible,813.59,,865.35
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,LTC/Full-Dual - UIS Federally Eligible,49.7,,54.47
1/24-12/24,2024,Single Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Maternity - UIS Federally Eligible,10792.34,,11269.21
