Rating Period,Calendar Year,Model,County,Health Plan,Brand,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Adult,268.6,276.99,285.8
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Adult Expansion,351.92,362.42,373.43
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Behavioral Health Treatment 0-6,3281.93,3374.21,3469.82
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Behavioral Health Treatment 7-20,2333.52,2399.13,2467.11
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Child,98.38,102.56,106.99
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Health Homes Non-Dual,362.78,367.89,386.16
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Health Homes Dual,91.12,94.58,98.37
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,Maternity,8662.94,8928.42,9203.92
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,SPD,983.95,1010.59,1038.38
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Alameda Alliance for Health,SPD Dual,170.62,176.92,183.54
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Anthem Blue Cross,Adult,238.78,246.26,254.12
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Anthem Blue Cross,Adult Expansion,277.37,285.79,294.61
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 0-6,3794.26,3900.95,4011.48
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 7-20,2726.01,2802.66,2882.07
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Anthem Blue Cross,Child,88.67,92.48,96.53
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Anthem Blue Cross,Health Homes Non-Dual,369.61,374.59,394.15
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Anthem Blue Cross,Health Homes Dual,85.59,89.23,93.24
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Anthem Blue Cross,Hep C 340B,1722.85,1722.85,1759.31
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Anthem Blue Cross,Hep C Non-340B,2184.11,2184.11,2285.16
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Anthem Blue Cross,Maternity,8662.94,8928.42,9203.92
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Anthem Blue Cross,SPD,910.4,935.17,961.02
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Anthem Blue Cross,SPD Dual,163.99,169.93,176.18
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,Anthem Blue Cross,Adult,232.48,239.9,247.68
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,Anthem Blue Cross,Adult Expansion,269.92,277.97,286.41
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 0-6,3541.69,3641.27,3744.45
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,Anthem Blue Cross,Behavioral Health Treatment 7-20,2396.78,2464.17,2533.99
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,Anthem Blue Cross,Child,83.83,87.45,91.3
