Rate Period,Calendar,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Adult,$273.53 ,$282.26 ,$291.42 
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Behavioral Health Treatment 0-6,"$4,498.34 ","$4,624.82 ","$4,755.87 "
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Behavioral Health Treatment 7-20,"$2,392.72 ","$2,460.00 ","$2,529.70 "
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Child,$74.42 ,$77.82 ,$81.44 
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Maternity,"$8,990.40 ","$9,265.88 ","$9,551.78 "
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Adult Expansion,$329.10 ,$339.04 ,$349.45 
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,SPD,$892.11 ,$915.70 ,$940.33 
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,SPD Dual,$154.37 ,$160.08 ,$166.09 
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Health Homes Non-Dual,$326.91 ,$331.08 ,$347.75 
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Health Homes Dual,$80.02 ,$82.98 ,$86.63 
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Adult,$266.59 ,$274.65 ,$283.12 
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Behavioral Health Treatment 0-6,"$2,440.65 ","$2,509.28 ","$2,580.38 "
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Behavioral Health Treatment 7-20,"$1,973.57 ","$2,029.06 ","$2,086.55 "
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Child,$82.57 ,$86.15 ,$89.94 
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Maternity,"$7,512.15 ","$7,742.39 ","$7,981.33 "
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Adult Expansion,$344.20 ,$353.97 ,$364.21 
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,SPD,$946.44 ,$969.70 ,$993.98 
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,SPD Dual,$138.28 ,$143.41 ,$148.81 
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Hep C Non-340B,"$2,184.11 ","$2,184.11 ","$2,285.16 "
01/21-12/21,2021,GMC,Sacramento,Aetna Better Health,Hep C 340B,"$1,722.85 ","$1,722.85 ","$1,759.31 "
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Hep C Non-340B,"$2,184.11 ","$2,184.11 ","$2,285.16 "
01/21-12/21,2021,GMC,San Diego,Aetna Better Health,Hep C 340B,"$1,722.85 ","$1,722.85 ","$1,759.31 "
