Rating Period,Calendar Year,Model,County,PACE Organization,Category of Aid,Lower Bound,Midpoint,Upper Bound,AWOP
01/2021-6/2021,2021,PACE,Los Angeles,AltaMed Senior Care,Full-Dual,"$4,024.70 ","$4,276.74 ","$4,557.53 ","$5,661.31 "
01/2021-6/2021,2021,PACE,Los Angeles,AltaMed Senior Care,Non-Dual,"$5,967.92 ","$6,348.96 ","$6,773.52 ","$8,612.26 "
01/2021-6/2021,2021,PACE,Orange,AltaMed Senior Care,Full-Dual,"$4,052.43 ","$4,309.35 ","$4,595.58 ","$5,369.85 "
01/2021-6/2021,2021,PACE,Orange,AltaMed Senior Care,Non-Dual,"$6,760.63 ","$7,197.81 ","$7,684.97 ","$9,422.59 "
01/2021-6/2021,2021,PACE,Kern,Bakersfield,Full-Dual,"$4,649.56 ","$4,940.29 ","$5,264.16 ","$5,244.96 "
01/2021-6/2021,2021,PACE,Kern,Bakersfield,Non-Dual,"$7,050.98 ","$7,500.85 ","$8,002.10 ","$9,728.24 "
01/2021-6/2021,2021,PACE,Tulare,Bakersfield,Full-Dual,"$4,649.56 ","$4,940.29 ","$5,264.16 ","$5,244.96 "
01/2021-6/2021,2021,PACE,Tulare,Bakersfield,Non-Dual,"$7,050.98 ","$7,500.85 ","$8,002.10 ","$9,728.24 "
01/2021-6/2021,2021,PACE,Los Angeles,Brandman Centers For Senior Care,Full-Dual,"$4,154.83 ","$4,419.40 ","$4,714.16 ","$5,661.31 "
01/2021-6/2021,2021,PACE,Los Angeles,Brandman Centers For Senior Care,Non-Dual,"$6,652.72 ","$7,084.69 ","$7,566.06 ","$8,612.26 "
01/2021-6/2021,2021,PACE,Orange,CalOptima,Full-Dual,"$3,749.00 ","$3,989.85 ","$4,258.22 ","$5,369.85 "
01/2021-6/2021,2021,PACE,Orange,CalOptima,Non-Dual,"$7,018.81 ","$7,477.65 ","$7,989.00 ","$9,422.59 "
01/2021-6/2021,2021,PACE,Alameda,Center For Elders Independence (CEI),Full-Dual,"$5,746.96 ","$6,121.52 ","$6,538.90 ","$6,386.93 "
01/2021-6/2021,2021,PACE,Alameda,Center For Elders Independence (CEI),Non-Dual,"$7,959.14 ","$8,481.40 ","$9,063.43 ","$10,484.38 "
01/2021-6/2021,2021,PACE,Contra Costa,Center For Elders Independence (CEI),Full-Dual,"$5,746.96 ","$6,121.52 ","$6,538.90 ","$5,989.92 "
01/2021-6/2021,2021,PACE,Contra Costa,Center For Elders Independence (CEI),Non-Dual,"$7,959.14 ","$8,481.40 ","$9,063.43 ","$9,707.31 "
01/2021-6/2021,2021,PACE,San Joaquin,Central Valley,Full-Dual,"$5,394.85 ","$5,733.54 ","$6,110.85 ","$5,772.77 "
01/2021-6/2021,2021,PACE,San Joaquin,Central Valley,Non-Dual,"$8,265.16 ","$8,794.17 ","$9,383.61 ","$9,506.62 "
01/2021-6/2021,2021,PACE,Stanislaus,Central Valley,Full-Dual,"$5,394.85 ","$5,733.54 ","$6,110.85 ","$5,772.77 "
01/2021-6/2021,2021,PACE,Stanislaus,Central Valley,Non-Dual,"$8,265.16 ","$8,794.17 ","$9,383.61 ","$9,506.62 "
01/2021-6/2021,2021,PACE,San Diego,Family Health Center,Full-Dual,"$4,602.12 ","$4,893.40 ","$5,217.93 ","$5,409.63 "
01/2021-6/2021,2021,PACE,San Diego,Family Health Center,Non-Dual,"$6,838.64 ","$7,279.56 ","$7,770.88 ","$8,914.41 "
01/2021-6/2021,2021,PACE,San Diego,Gary & Mary West,Full-Dual,"$4,804.22 ","$5,108.29 ","$5,447.07 ","$5,409.63 "
01/2021-6/2021,2021,PACE,San Diego,Gary & Mary West,Non-Dual,"$6,936.64 ","$7,383.88 ","$7,882.24 ","$8,914.41 "
01/2021-6/2021,2021,PACE,El Dorado,InnovAge,Full-Dual,"$4,974.66 ","$5,292.00 ","$5,645.57 ","$5,832.69 "
01/2021-6/2021,2021,PACE,El Dorado,InnovAge,Non-Dual,"$7,853.65 ","$8,362.23 ","$8,928.95 ","$9,625.96 "
01/2021-6/2021,2021,PACE,Placer,InnovAge,Full-Dual,"$4,974.66 ","$5,292.00 ","$5,645.57 ","$5,832.69 "
01/2021-6/2021,2021,PACE,Placer,InnovAge,Non-Dual,"$7,853.65 ","$8,362.23 ","$8,928.95 ","$9,625.96 "
01/2021-6/2021,2021,PACE,Riverside,InnovAge,Full-Dual,"$4,420.81 ","$4,710.93 ","$5,034.23 ","$5,109.69 "
01/2021-6/2021,2021,PACE,Riverside,InnovAge,Non-Dual,"$7,426.90 ","$7,917.03 ","$8,463.27 ","$9,723.52 "
01/2021-6/2021,2021,PACE,Sacramento,InnovAge,Full-Dual,"$4,974.66 ","$5,292.00 ","$5,645.57 ","$5,832.69 "
01/2021-6/2021,2021,PACE,Sacramento,InnovAge,Non-Dual,"$7,853.65 ","$8,362.23 ","$8,928.95 ","$9,625.96 "
01/2021-6/2021,2021,PACE,San Bernardino,InnovAge,Full-Dual,"$4,420.81 ","$4,710.93 ","$5,034.23 ","$5,109.69 "
01/2021-6/2021,2021,PACE,San Bernardino,InnovAge,Non-Dual,"$7,426.90 ","$7,917.03 ","$8,463.27 ","$9,723.52 "
01/2021-6/2021,2021,PACE,San Joaquin,InnovAge,Full-Dual,"$4,974.66 ","$5,292.00 ","$5,645.57 ","$5,832.69 "
01/2021-6/2021,2021,PACE,San Joaquin,InnovAge,Non-Dual,"$7,853.65 ","$8,362.23 ","$8,928.95 ","$9,625.96 "
01/2021-6/2021,2021,PACE,Sutter,InnovAge,Full-Dual,"$4,974.66 ","$5,292.00 ","$5,645.57 ","$5,832.69 "
01/2021-6/2021,2021,PACE,Sutter,InnovAge,Non-Dual,"$7,853.65 ","$8,362.23 ","$8,928.95 ","$9,625.96 "
01/2021-6/2021,2021,PACE,Yuba,InnovAge,Full-Dual,"$4,974.66 ","$5,292.00 ","$5,645.57 ","$5,832.69 "
01/2021-6/2021,2021,PACE,Yuba,InnovAge,Non-Dual,"$7,853.65 ","$8,362.23 ","$8,928.95 ","$9,625.96 "
01/2021-6/2021,2021,PACE,Fresno,Innovative Integrated Health,Full-Dual,"$3,960.99 ","$4,206.17 ","$4,479.28 ","$5,371.11 "
01/2021-6/2021,2021,PACE,Fresno,Innovative Integrated Health,Non-Dual,"$5,925.24 ","$6,300.27 ","$6,718.10 ","$8,658.41 "
01/2021-6/2021,2021,PACE,Orange,Innovative Integrated Health,Full-Dual,"$4,230.22 ","$4,500.81 ","$4,802.36 ","$5,369.85 "
01/2021-6/2021,2021,PACE,Orange,Innovative Integrated Health,Non-Dual,"$7,068.53 ","$7,531.51 ","$8,047.59 ","$9,422.59 "
01/2021-6/2021,2021,PACE,Los Angeles,LA Coast,Full-Dual,"$4,522.49 ","$4,810.47 ","$5,131.31 ","$5,661.31 "
01/2021-6/2021,2021,PACE,Los Angeles,LA Coast,Non-Dual,"$7,779.70 ","$8,284.88 ","$8,847.85 ","$8,612.26 "
01/2021-6/2021,2021,PACE,Riverside,Neighborhood Healthcare,Full-Dual,"$4,506.36 ","$4,804.85 ","$5,137.59 ","$5,109.69 "
01/2021-6/2021,2021,PACE,Riverside,Neighborhood Healthcare,Non-Dual,"$7,365.16 ","$7,857.92 ","$8,407.27 ","$9,723.52 "
