Rating Period ,Calendar Year,Model,County,Health Plan,Category of Aid, Lower Bound , Midpoint , Upper Bound 
1/21-12/21,2021,Regional,Alpine,Anthem Blue Cross,Child,$66.06 ,$68.98 ,$72.09 
1/21-12/21,2021,Regional,Alpine,Anthem Blue Cross,Adult,$261.19 ,$268.96 ,$277.12 
1/21-12/21,2021,Regional,Alpine,Anthem Blue Cross,Adult Expansion,$330.63 ,$340.08 ,$349.98 
1/21-12/21,2021,Regional,Alpine,Anthem Blue Cross,SPD,$927.25 ,$950.32 ,$974.40 
1/21-12/21,2021,Regional,Alpine,Anthem Blue Cross,SPD Dual,$150.41 ,$155.69 ,$161.24 
1/21-12/21,2021,Regional,Alpine,Anthem Blue Cross,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Amador,Anthem Blue Cross,Child,$66.06 ,$68.98 ,$72.09 
1/21-12/21,2021,Regional,Amador,Anthem Blue Cross,Adult,$261.19 ,$268.96 ,$277.12 
1/21-12/21,2021,Regional,Amador,Anthem Blue Cross,Adult Expansion,$330.63 ,$340.08 ,$349.98 
1/21-12/21,2021,Regional,Amador,Anthem Blue Cross,SPD,$927.25 ,$950.32 ,$974.40 
1/21-12/21,2021,Regional,Amador,Anthem Blue Cross,SPD Dual,$150.41 ,$155.69 ,$161.24 
1/21-12/21,2021,Regional,Amador,Anthem Blue Cross,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Butte,Anthem Blue Cross,Child,$66.06 ,$68.98 ,$72.09 
1/21-12/21,2021,Regional,Butte,Anthem Blue Cross,Adult,$261.19 ,$268.96 ,$277.12 
1/21-12/21,2021,Regional,Butte,Anthem Blue Cross,Adult Expansion,$330.63 ,$340.08 ,$349.98 
1/21-12/21,2021,Regional,Butte,Anthem Blue Cross,SPD,$927.25 ,$950.32 ,$974.40 
1/21-12/21,2021,Regional,Butte,Anthem Blue Cross,SPD Dual,$150.41 ,$155.69 ,$161.24 
1/21-12/21,2021,Regional,Butte,Anthem Blue Cross,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Calaveras,Anthem Blue Cross,Child,$66.06 ,$68.98 ,$72.09 
1/21-12/21,2021,Regional,Calaveras,Anthem Blue Cross,Adult,$261.19 ,$268.96 ,$277.12 
1/21-12/21,2021,Regional,Calaveras,Anthem Blue Cross,Adult Expansion,$330.63 ,$340.08 ,$349.98 
1/21-12/21,2021,Regional,Calaveras,Anthem Blue Cross,SPD,$927.25 ,$950.32 ,$974.40 
1/21-12/21,2021,Regional,Calaveras,Anthem Blue Cross,SPD Dual,$150.41 ,$155.69 ,$161.24 
1/21-12/21,2021,Regional,Calaveras,Anthem Blue Cross,Maternity,"$10,630.12 ","$10,955.83 ","$11,293.84 "
1/21-12/21,2021,Regional,Colusa,Anthem Blue Cross,Child,$66.06 ,$68.98 ,$72.09 
1/21-12/21,2021,Regional,Colusa,Anthem Blue Cross,Adult,$261.19 ,$268.96 ,$277.12 
1/21-12/21,2021,Regional,Colusa,Anthem Blue Cross,Adult Expansion,$330.63 ,$340.08 ,$349.98 
1/21-12/21,2021,Regional,Colusa,Anthem Blue Cross,SPD,$927.25 ,$950.32 ,$974.40 
