Rating Period,Calendar Year,Model,County,Category of Aid,Lower Bound,Midpoint,Upper Bound
01/2021-12/2021,2021,SCAN,Los Angeles,Aged-Disabled,$179.23 ,$184.28 ,$189.55 
01/2021-12/2021,2021,SCAN,Riverside,Aged-Disabled,$171.26 ,$176.13 ,$181.22 
01/2021-12/2021,2021,SCAN,San Bernardino,Aged-Disabled,$164.51 ,$169.26 ,$174.21 
01/2021-12/2021,2021,SCAN,Los Angeles,LTC Certified,"$1,380.88 ","$1,419.92 ","$1,460.66 "
01/2021-12/2021,2021,SCAN,Riverside,LTC Certified,"$1,395.98 ","$1,435.51 ","$1,476.77 "
01/2021-12/2021,2021,SCAN,San Bernardino,LTC Certified,"$1,283.16 ","$1,319.51 ","$1,357.44 "
01/2022-12/2022,2022,SCAN,Los Angeles,Aged-Disabled,$182.51 ,$187.76 ,$193.25 
01/2022-12/2022,2022,SCAN,Riverside,Aged-Disabled,$178.27 ,$183.41 ,$188.79 
01/2022-12/2022,2022,SCAN,San Bernardino,Aged-Disabled,$170.62 ,$175.62 ,$180.85 
01/2022-12/2022,2022,SCAN,Los Angeles,LTC Certified,"$1,435.81 ","$1,476.81 ","$1,519.60 "
01/2022-12/2022,2022,SCAN,Riverside,LTC Certified,"$1,423.38 ","$1,464.11 ","$1,506.61 "
01/2022-12/2022,2022,SCAN,San Bernardino,LTC Certified,"$1,320.48 ","$1,358.29 ","$1,397.76 "
01/2023-12/2023,2023,SCAN,Los Angeles,Aged-Disabled/Full-Dual - SIS,$195.72 ,$201.27 ,$207.08 
01/2023-12/2023,2023,SCAN,Riverside,Aged-Disabled/Full-Dual - SIS,$197.43 ,$203.04 ,$208.91 
01/2023-12/2023,2023,SCAN,San Bernardino,Aged-Disabled/Full-Dual - SIS,$175.67 ,$180.79 ,$186.13 
01/2023-12/2023,2023,SCAN,San Diego,Aged-Disabled/Full-Dual - SIS,$196.27 ,$201.87 ,$207.72 
01/2023-12/2023,2023,SCAN,Los Angeles,LTC Certified/Full-Dual - SIS,"$1,424.04 ","$1,464.11 ","$1,505.94 "
01/2023-12/2023,2023,SCAN,Riverside,LTC Certified/Full-Dual - SIS,"$1,398.75 ","$1,438.05 ","$1,479.07 "
01/2023-12/2023,2023,SCAN,San Bernardino,LTC Certified/Full-Dual - SIS,"$1,295.84 ","$1,332.67 ","$1,371.12 "
01/2023-12/2023,2023,SCAN,San Diego,LTC Certified/Full-Dual - SIS,"$1,405.38 ","$1,444.96 ","$1,486.26 "
01/2023-12/2023,2023,SCAN,Los Angeles,Aged-Disabled/Full-Dual - UIS Fed,$24.97 ,$25.69 ,$26.43 
01/2023-12/2023,2023,SCAN,Riverside,Aged-Disabled/Full-Dual - UIS Fed,$25.84 ,$26.58 ,$27.35 
01/2023-12/2023,2023,SCAN,San Bernardino,Aged-Disabled/Full-Dual - UIS Fed,$25.35 ,$26.08 ,$26.83 
01/2023-12/2023,2023,SCAN,San Diego,Aged-Disabled/Full-Dual - UIS Fed,$25.38 ,$26.11 ,$26.87 
01/2023-12/2023,2023,SCAN,Los Angeles,LTC Certified/Full-Dual - UIS Fed,$41.88 ,$43.04 ,$44.25 
01/2023-12/2023,2023,SCAN,Riverside,LTC Certified/Full-Dual - UIS Fed,$49.38 ,$50.73 ,$52.15 
01/2023-12/2023,2023,SCAN,San Bernardino,LTC Certified/Full-Dual - UIS Fed,$42.22 ,$43.38 ,$44.60 
01/2023-12/2023,2023,SCAN,San Diego,LTC Certified/Full-Dual - UIS Fed,$46.23 ,$47.51 ,$48.84 
01/2023-12/2023,2023,SCAN,Los Angeles,Aged-Disabled/Full-Dual - UIS State,$170.55 ,$175.39 ,$180.44 
01/2023-12/2023,2023,SCAN,Riverside,Aged-Disabled/Full-Dual - UIS State,$171.59 ,$176.47 ,$181.56 
