Rating Period,Calendar Year,Model,County,Health Plan,Category of Aid, Lower Bound , Midpoint , Upper Bound 
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Adult,268.6,276.99,285.8
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Adult Expansion,351.92,362.42,373.43
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Behavioral Health Treatment 0-6,"3,281.93","3,374.21","3,469.82"
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Behavioral Health Treatment 7-20,"2,333.52","2,399.13","2,467.11"
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Child,98.38,102.56,106.99
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Health Homes Non-Dual,362.78,367.89,386.16
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Health Homes Dual,91.12,94.58,98.37
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,Maternity,"8,662.94","8,928.42","9,203.92"
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,SPD,983.95,"1,010.59","1,038.38"
1/21-12/21,2021,Two-Plan,Alameda,Alameda Alliance for Health,SPD Dual,170.62,176.92,183.54
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Adult,238.78,246.26,254.12
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Adult Expansion,277.37,285.79,294.61
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Behavioral Health Treatment 0-6,"3,794.26","3,900.95","4,011.48"
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Behavioral Health Treatment 7-20,"2,726.01","2,802.66","2,882.07"
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Child,88.67,92.48,96.53
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Health Homes Non-Dual,369.61,374.59,394.15
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Health Homes Dual,85.59,89.23,93.24
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,Maternity,"8,662.94","8,928.42","9,203.92"
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,SPD,910.4,935.17,961.02
1/21-12/21,2021,Two-Plan,Alameda,Anthem Blue Cross,SPD Dual,163.99,169.93,176.18
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,Adult,232.48,239.9,247.68
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,Adult Expansion,269.92,277.97,286.41
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,Behavioral Health Treatment 0-6,"3,541.69","3,641.27","3,744.45"
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,Behavioral Health Treatment 7-20,"2,396.78","2,464.17","2,533.99"
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,Child,83.83,87.45,91.3
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,Maternity,"8,962.25","9,236.85","9,521.83"
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,SPD,795,816.35,838.63
1/21-12/21,2021,Two-Plan,Contra Costa,Anthem Blue Cross,SPD Dual,147.04,152.27,157.76
1/21-12/21,2021,Two-Plan,Contra Costa,Contra Costa Health Plan,Adult,283.99,293.18,302.83
1/21-12/21,2021,Two-Plan,Contra Costa,Contra Costa Health Plan,Adult Expansion,375.27,386.71,398.69
1/21-12/21,2021,Two-Plan,Contra Costa,Contra Costa Health Plan,Behavioral Health Treatment 0-6,"3,399.15","3,494.73","3,593.75"
1/21-12/21,2021,Two-Plan,Contra Costa,Contra Costa Health Plan,Behavioral Health Treatment 7-20,"2,658.53","2,733.28","2,810.73"
1/21-12/21,2021,Two-Plan,Contra Costa,Contra Costa Health Plan,Child,88.19,92.08,96.21
1/21-12/21,2021,Two-Plan,Contra Costa,Contra Costa Health Plan,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Contra Costa,Contra Costa Health Plan,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Contra Costa,Contra Costa Health Plan,Maternity,"8,962.25","9,236.85","9,521.83"
1/21-12/21,2021,Two-Plan,Contra Costa,Contra Costa Health Plan,SPD,"1,050.76","1,079.68","1,109.85"
1/21-12/21,2021,Two-Plan,Contra Costa,Contra Costa Health Plan,SPD Dual,148.16,153.76,159.67
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Adult,226.22,232.82,239.75
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Adult Expansion,264.84,272.3,280.11
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Behavioral Health Treatment 0-6,"3,971.16","4,082.81","4,198.50"
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Behavioral Health Treatment 7-20,"2,630.00","2,703.95","2,780.56"
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Child,71.67,74.59,77.69
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Hep C 340B,"1,722.85","1,722.85","1,759.31"
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Hep C Non-340B,"2,184.11","2,184.11","2,285.16"
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,Maternity,"7,935.33","8,178.50","8,430.86"
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,SPD,723.89,742.08,761.06
1/21-12/21,2021,Two-Plan,Fresno,Anthem Blue Cross,SPD Dual,165.71,171.51,177.6
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,Adult,260.45,267.8,275.51
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,Adult Expansion,321.3,330.05,339.22
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,Behavioral Health Treatment 0-6,"3,900.76","4,010.44","4,124.07"
1/21-12/21,2021,Two-Plan,Fresno,CalViva Health,Behavioral Health Treatment 7-20,"2,621.97","2,695.69","2,772.07"
