Plan,Grading Period,Service Category,Pct Complete,Color Grade
AAH,CY 2018,Inpatient,99.54,Green
AAH,CY 2018,Outpatient and Emergency Room,98.38,Green
AAH,CY 2018,Prescription,97.47,Green
AAH,CY 2018,Professional,95.31,Green
AAH,CY 2019,Inpatient,96.13,Green
AAH,CY 2019,Outpatient and Emergency Room,93.38,Green
AAH,CY 2019,Prescription,99.51,Green
AAH,CY 2019,Professional,102.26,Green
AAH,CY 2021,Inpatient,99.49,Green
AAH,CY 2021,Outpatient and Emergency Room,103.13,Green
AAH,CY 2021,Prescription,99.5,Green
AAH,CY 2021,Professional,102.96,Green
AAH,CY 2022,Inpatient,96.62,Green
AAH,CY 2022,Outpatient and Emergency Room,99.47,Green
AAH,CY 2022,Professional,98.95,Green
AAH,Jul19-Feb,Inpatient,96.38,Green
AAH,Jul19-Feb,Outpatient and Emergency Room,96.99,Green
AAH,Jul19-Feb,Prescription,101.66,Green
AAH,Jul19-Feb,Professional,97.95,Green
AAH,SFY 17-18,Inpatient,98.14,Green
AAH,SFY 17-18,Outpatient and Emergency Room,99.79,Green
AAH,SFY 17-18,Prescription,95.62,Green
AAH,SFY 17-18,Professional,94.06,Green
AAH,SFY 18-19,Inpatient,97.84,Green
AAH,SFY 18-19,Outpatient and Emergency Room,90.88,Green
AAH,SFY 18-19,Prescription,98.84,Green
AAH,SFY 18-19,Professional,102.11,Green
AAH,SFY 20-21,Inpatient,99.6,Green
AAH,SFY 20-21,Outpatient and Emergency Room,96.92,Green
AAH,SFY 20-21,Prescription,101.95,Green
AAH,SFY 20-21,Professional,100.88,Green
AAH,SFY 21-22,Inpatient,97.49,Green
AAH,SFY 21-22,Outpatient and Emergency Room,98.53,Green
AAH,SFY 21-22,Prescription,98.54,Green
AAH,SFY 21-22,Professional,100.28,Green
Aetna,CY 2019,Inpatient,102.57,Green
Aetna,CY 2019,Outpatient and Emergency Room,75.63,Yellow
Aetna,CY 2019,Prescription,100.49,Green
Aetna,CY 2019,Professional,73.77,Yellow
Aetna,CY 2021,Inpatient,97.52,Green
Aetna,CY 2021,Outpatient and Emergency Room,92.29,Green
Aetna,CY 2021,Prescription,90.49,Green
Aetna,CY 2021,Professional,98.16,Green
Aetna,CY 2022,Inpatient,98.6,Green
Aetna,CY 2022,Outpatient and Emergency Room,83.49,Yellow
Aetna,CY 2022,Professional,91.6,Green
Aetna,Jul19-Feb,Inpatient,108.79,Green
Aetna,Jul19-Feb,Outpatient and Emergency Room,79.83,Yellow
Aetna,Jul19-Feb,Prescription,103.16,Green
Aetna,Jul19-Feb,Professional,102.9,Green
Aetna,SFY 20-21,Inpatient,94.74,Green
Aetna,SFY 20-21,Outpatient and Emergency Room,86.74,Yellow
Aetna,SFY 20-21,Prescription,97.94,Green
Aetna,SFY 20-21,Professional,96.11,Green
Aetna,SFY 21-22,Inpatient,98.25,Green
Aetna,SFY 21-22,Outpatient and Emergency Room,78.58,Yellow
Aetna,SFY 21-22,Prescription,99.29,Green
Aetna,SFY 21-22,Professional,85.55,Yellow
AHF,CY 2021,Inpatient,102.22,Green
AHF,CY 2021,Outpatient and Emergency Room,85.13,Yellow
AHF,CY 2021,Prescription,99.52,Green
AHF,CY 2021,Professional,116.69,Yellow
AHF,CY 2022,Inpatient,90.95,Green
AHF,CY 2022,Outpatient and Emergency Room,101.63,Green
AHF,CY 2022,Professional,98.23,Green
AHF,Jul19-Feb,Inpatient,121.7,Yellow
AHF,Jul19-Feb,Outpatient and Emergency Room,93.51,Green
AHF,Jul19-Feb,Prescription,108.46,Green
AHF,Jul19-Feb,Professional,136.51,Yellow
AHF,SFY 20-21,Inpatient,65.33,Red
AHF,SFY 20-21,Outpatient and Emergency Room,73.62,Yellow
AHF,SFY 20-21,Prescription,85.14,Yellow
AHF,SFY 20-21,Professional,90.72,Green
AHF,SFY 21-22,Inpatient,98.69,Green
AHF,SFY 21-22,Outpatient and Emergency Room,93.97,Green
AHF,SFY 21-22,Prescription,100.1,Green
AHF,SFY 21-22,Professional,86.52,Yellow
Anthem,CY 2018,Inpatient,102.28,Green
Anthem,CY 2018,Outpatient and Emergency Room,96.89,Green
Anthem,CY 2018,Prescription,99.57,Green
Anthem,CY 2018,Professional,62.91,Red
Anthem,CY 2019,Inpatient,97.22,Green
Anthem,CY 2019,Outpatient and Emergency Room,93.93,Green
Anthem,CY 2019,Prescription,102.2,Green
Anthem,CY 2019,Professional,96.34,Green
Anthem,CY 2021,Inpatient,97.77,Green
Anthem,CY 2021,Outpatient and Emergency Room,95.1,Green
Anthem,CY 2021,Prescription,99.58,Green
Anthem,CY 2021,Professional,95.24,Green
Anthem,CY 2022,Inpatient,92.56,Green
Anthem,CY 2022,Outpatient and Emergency Room,91.49,Green
Anthem,CY 2022,Professional,93.51,Green
Anthem,Jul19-Feb,Inpatient,96.56,Green
Anthem,Jul19-Feb,Outpatient and Emergency Room,93.72,Green
Anthem,Jul19-Feb,Prescription,100.3,Green
Anthem,Jul19-Feb,Professional,98.75,Green
Anthem,SFY 17-18,Inpatient,97.36,Green
Anthem,SFY 17-18,Outpatient and Emergency Room,96.29,Green
Anthem,SFY 17-18,Prescription,97.97,Green
Anthem,SFY 17-18,Professional,54.86,Red
Anthem,SFY 18-19,Inpatient,100.1,Green
Anthem,SFY 18-19,Outpatient and Emergency Room,92.89,Green
Anthem,SFY 18-19,Prescription,99.78,Green
Anthem,SFY 18-19,Professional,96.82,Green
Anthem,SFY 20-21,Inpatient,82.48,Yellow
Anthem,SFY 20-21,Outpatient and Emergency Room,88.94,Yellow
Anthem,SFY 20-21,Prescription,98.31,Green
Anthem,SFY 20-21,Professional,93.41,Green
Anthem,SFY 21-22,Inpatient,96.73,Green
Anthem,SFY 21-22,Outpatient and Emergency Room,91.77,Green
Anthem,SFY 21-22,Prescription,100.1,Green
Anthem,SFY 21-22,Professional,92.65,Green
Blue Shield,CY 2018,Inpatient,101.49,Green
Blue Shield,CY 2018,Outpatient and Emergency Room,107.04,Green
Blue Shield,CY 2018,Prescription,98.5,Green
Blue Shield,CY 2018,Professional,85.69,Yellow
Blue Shield,CY 2019,Inpatient,103.48,Green
Blue Shield,CY 2019,Outpatient and Emergency Room,103.17,Green
Blue Shield,CY 2019,Prescription,98.81,Green
Blue Shield,CY 2019,Professional,92.42,Green
Blue Shield,CY 2021,Inpatient,95.41,Green
Blue Shield,CY 2021,Outpatient and Emergency Room,95.15,Green
Blue Shield,CY 2021,Prescription,101.29,Green
Blue Shield,CY 2021,Professional,98.55,Green
Blue Shield,CY 2022,Inpatient,105.53,Green
Blue Shield,CY 2022,Outpatient and Emergency Room,89.96,Yellow
Blue Shield,CY 2022,Professional,103.89,Green
Blue Shield,Jul19-Feb,Inpatient,94.8,Green
Blue Shield,Jul19-Feb,Outpatient and Emergency Room,96.6,Green
Blue Shield,Jul19-Feb,Prescription,99.89,Green
Blue Shield,Jul19-Feb,Professional,98.66,Green
Blue Shield,SFY 17-18,Inpatient,86.74,Yellow
Blue Shield,SFY 17-18,Outpatient and Emergency Room,104.92,Green
Blue Shield,SFY 17-18,Prescription,95.97,Green
Blue Shield,SFY 17-18,Professional,82.66,Yellow
Blue Shield,SFY 18-19,Inpatient,99.72,Green
Blue Shield,SFY 18-19,Outpatient and Emergency Room,101.17,Green
Blue Shield,SFY 18-19,Prescription,99.59,Green
Blue Shield,SFY 18-19,Professional,89.77,Yellow
Blue Shield,SFY 20-21,Inpatient,93.3,Green
Blue Shield,SFY 20-21,Outpatient and Emergency Room,88.29,Yellow
Blue Shield,SFY 20-21,Prescription,96.16,Green
Blue Shield,SFY 20-21,Professional,104.43,Green
Blue Shield,SFY 21-22,Inpatient,92.92,Green
Blue Shield,SFY 21-22,Outpatient and Emergency Room,89.26,Yellow
Blue Shield,SFY 21-22,Prescription,98.5,Green
Blue Shield,SFY 21-22,Professional,104.38,Green
CalOptima,CY 2018,Inpatient,95.38,Green
CalOptima,CY 2018,Outpatient and Emergency Room,90.41,Green
CalOptima,CY 2018,Prescription,100.51,Green
CalOptima,CY 2018,Professional,84.95,Yellow
CalOptima,CY 2019,Inpatient,81.39,Yellow
CalOptima,CY 2019,Outpatient and Emergency Room,105.1,Green
CalOptima,CY 2019,Prescription,103.91,Green
CalOptima,CY 2019,Professional,101.09,Green
CalOptima,CY 2021,Inpatient,85.71,Yellow
CalOptima,CY 2021,Outpatient and Emergency Room,116.84,Yellow
CalOptima,CY 2021,Prescription,101.4,Green
CalOptima,CY 2021,Professional,97.59,Green
CalOptima,CY 2022,Inpatient,83.09,Yellow
CalOptima,CY 2022,Outpatient and Emergency Room,96.04,Green
