Month,Measure Category,Measure Type,Age Group,Count
202301,Eligibility,Member Months,Ages 0-18,"4,857,246"
202301,New Enrollments,New Enrollments,Ages 0-18,0
202301,State Fair Hearings,State Fair Hearings,Ages 0-18,18
202301,Utilization,Emergency Room Visits,Ages 0-18,"144,883"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 0-18,"5,508"
202301,Utilization,Inpatient Admissions,Ages 0-18,"19,282"
202301,Utilization,Mild to Moderate Mental Health Visits,Ages 0-18,"103,013"
202301,Utilization,Outpatient Visits,Ages 0-18,"3,605,508"
202301,Utilization,Prescriptions,Ages 0-18,"1,265,078"
202301,Eligibility,Member Months,Ages 19-39,"4,165,353"
202301,New Enrollments,New Enrollments,Ages 19-39,0
202301,State Fair Hearings,State Fair Hearings,Ages 19-39,43
202301,Utilization,Emergency Room Visits,Ages 19-39,"187,388"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 19-39,"12,127"
202301,Utilization,Inpatient Admissions,Ages 19-39,"44,209"
202301,Utilization,Mild to Moderate Mental Health Visits,Ages 19-39,"238,119"
202301,Utilization,Outpatient Visits,Ages 19-39,"3,434,577"
202301,Utilization,Prescriptions,Ages 19-39,"2,087,655"
202301,Eligibility,Member Months,Ages 40-64,"3,129,765"
202301,New Enrollments,New Enrollments,Ages 40-64,0
202301,State Fair Hearings,State Fair Hearings,Ages 40-64,66
202301,Utilization,Emergency Room Visits,Ages 40-64,"178,836"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 40-64,"22,483"
202301,Utilization,Inpatient Admissions,Ages 40-64,"51,558"
202301,Utilization,Mild to Moderate Mental Health Visits,Ages 40-64,"164,057"
202301,Utilization,Outpatient Visits,Ages 40-64,"4,738,528"
202301,Utilization,Prescriptions,Ages 40-64,"4,786,624"
202301,Eligibility,Member Months,Ages 65+,"1,260,997"
202301,New Enrollments,New Enrollments,Ages 65+,0
202301,State Fair Hearings,State Fair Hearings,Ages 65+,20
202301,Utilization,Emergency Room Visits,Ages 65+,"60,209"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 65+,"11,939"
202301,Utilization,Inpatient Admissions,Ages 65+,"54,282"
202301,Utilization,Mild to Moderate Mental Health Visits,Ages 65+,"24,708"
202301,Utilization,Outpatient Visits,Ages 65+,"2,564,308"
202301,Utilization,Prescriptions,Ages 65+,"951,972"
202302,Eligibility,Member Months,Ages 0-18,"4,911,878"
202302,New Enrollments,New Enrollments,Ages 0-18,0
202302,State Fair Hearings,State Fair Hearings,Ages 0-18,35
202302,Utilization,Emergency Room Visits,Ages 0-18,"160,539"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 0-18,"5,354"
202302,Utilization,Inpatient Admissions,Ages 0-18,"19,382"
202302,Utilization,Mild to Moderate Mental Health Visits,Ages 0-18,"100,712"
202302,Utilization,Outpatient Visits,Ages 0-18,"3,694,017"
202302,Utilization,Prescriptions,Ages 0-18,"1,365,652"
202302,Eligibility,Member Months,Ages 19-39,"4,243,701"
202302,New Enrollments,New Enrollments,Ages 19-39,0
202302,State Fair Hearings,State Fair Hearings,Ages 19-39,40
202302,Utilization,Emergency Room Visits,Ages 19-39,"174,605"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 19-39,"11,270"
202302,Utilization,Inpatient Admissions,Ages 19-39,"40,038"
202302,Utilization,Mild to Moderate Mental Health Visits,Ages 19-39,"226,652"
202302,Utilization,Outpatient Visits,Ages 19-39,"3,208,581"
202302,Utilization,Prescriptions,Ages 19-39,"1,946,181"
202302,Eligibility,Member Months,Ages 40-64,"3,224,014"
202302,New Enrollments,New Enrollments,Ages 40-64,0
202302,State Fair Hearings,State Fair Hearings,Ages 40-64,80
202302,Utilization,Emergency Room Visits,Ages 40-64,"168,317"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 40-64,"20,882"
202302,Utilization,Inpatient Admissions,Ages 40-64,"49,057"
202302,Utilization,Mild to Moderate Mental Health Visits,Ages 40-64,"156,313"
202302,Utilization,Outpatient Visits,Ages 40-64,"4,576,157"
202302,Utilization,Prescriptions,Ages 40-64,"4,442,583"
202302,Eligibility,Member Months,Ages 65+,"1,468,559"
202302,New Enrollments,New Enrollments,Ages 65+,0
202302,State Fair Hearings,State Fair Hearings,Ages 65+,21
202302,Utilization,Emergency Room Visits,Ages 65+,"62,027"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 65+,"12,183"
202302,Utilization,Inpatient Admissions,Ages 65+,"58,708"
202302,Utilization,Mild to Moderate Mental Health Visits,Ages 65+,"23,529"
202302,Utilization,Outpatient Visits,Ages 65+,"2,732,422"
202302,Utilization,Prescriptions,Ages 65+,"940,864"
202303,Eligibility,Member Months,Ages 0-18,"4,919,714"
202303,New Enrollments,New Enrollments,Ages 0-18,0
202303,State Fair Hearings,State Fair Hearings,Ages 0-18,22
202303,Utilization,Emergency Room Visits,Ages 0-18,"174,689"
202303,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 0-18,"5,650"
202303,Utilization,Inpatient Admissions,Ages 0-18,"20,961"
202303,Utilization,Mild to Moderate Mental Health Visits,Ages 0-18,"119,732"
202303,Utilization,Outpatient Visits,Ages 0-18,"4,185,152"
202303,Utilization,Prescriptions,Ages 0-18,"1,510,904"
202303,Eligibility,Member Months,Ages 19-39,"4,273,602"
202303,New Enrollments,New Enrollments,Ages 19-39,0
202303,State Fair Hearings,State Fair Hearings,Ages 19-39,52
202303,Utilization,Emergency Room Visits,Ages 19-39,"196,126"
202303,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 19-39,"12,416"
202303,Utilization,Inpatient Admissions,Ages 19-39,"43,523"
202303,Utilization,Mild to Moderate Mental Health Visits,Ages 19-39,"260,411"
202303,Utilization,Outpatient Visits,Ages 19-39,"3,616,202"
202303,Utilization,Prescriptions,Ages 19-39,"2,195,363"
202303,Eligibility,Member Months,Ages 40-64,"3,246,270"
202303,New Enrollments,New Enrollments,Ages 40-64,0
202303,State Fair Hearings,State Fair Hearings,Ages 40-64,114
202303,Utilization,Emergency Room Visits,Ages 40-64,"189,754"
202303,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 40-64,"22,979"
202303,Utilization,Inpatient Admissions,Ages 40-64,"54,297"
202303,Utilization,Mild to Moderate Mental Health Visits,Ages 40-64,"181,303"
202303,Utilization,Outpatient Visits,Ages 40-64,"5,194,445"
202303,Utilization,Prescriptions,Ages 40-64,"5,014,141"
202303,Eligibility,Member Months,Ages 65+,"1,486,820"
202303,New Enrollments,New Enrollments,Ages 65+,0
202303,State Fair Hearings,State Fair Hearings,Ages 65+,61
202303,Utilization,Emergency Room Visits,Ages 65+,"69,960"
202303,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 65+,"13,572"
202303,Utilization,Inpatient Admissions,Ages 65+,"66,217"
202303,Utilization,Mild to Moderate Mental Health Visits,Ages 65+,"28,637"
202303,Utilization,Outpatient Visits,Ages 65+,"3,083,465"
202303,Utilization,Prescriptions,Ages 65+,"1,058,026"
202304,Eligibility,Member Months,Ages 0-18,"4,939,129"
202304,New Enrollments,New Enrollments,Ages 0-18,0
202304,State Fair Hearings,State Fair Hearings,Ages 0-18,21
202304,Utilization,Emergency Room Visits,Ages 0-18,"171,681"
202304,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 0-18,"5,238"
202304,Utilization,Inpatient Admissions,Ages 0-18,"17,753"
202304,Utilization,Mild to Moderate Mental Health Visits,Ages 0-18,"105,376"
202304,Utilization,Outpatient Visits,Ages 0-18,"3,628,786"
202304,Utilization,Prescriptions,Ages 0-18,"1,340,600"
202304,Eligibility,Member Months,Ages 19-39,"4,320,002"
202304,New Enrollments,New Enrollments,Ages 19-39,0
202304,State Fair Hearings,State Fair Hearings,Ages 19-39,56
202304,Utilization,Emergency Room Visits,Ages 19-39,"192,098"
202304,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 19-39,"11,690"
202304,Utilization,Inpatient Admissions,Ages 19-39,"40,080"
202304,Utilization,Mild to Moderate Mental Health Visits,Ages 19-39,"229,755"
202304,Utilization,Outpatient Visits,Ages 19-39,"3,218,981"
202304,Utilization,Prescriptions,Ages 19-39,"2,013,979"
202304,Eligibility,Member Months,Ages 40-64,"3,277,568"
202304,New Enrollments,New Enrollments,Ages 40-64,0
202304,State Fair Hearings,State Fair Hearings,Ages 40-64,104
202304,Utilization,Emergency Room Visits,Ages 40-64,"185,630"
202304,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 40-64,"22,245"
202304,Utilization,Inpatient Admissions,Ages 40-64,"51,339"
202304,Utilization,Mild to Moderate Mental Health Visits,Ages 40-64,"161,426"
202304,Utilization,Outpatient Visits,Ages 40-64,"4,638,479"
202304,Utilization,Prescriptions,Ages 40-64,"4,605,083"
202304,Eligibility,Member Months,Ages 65+,"1,499,756"
202304,New Enrollments,New Enrollments,Ages 65+,0
202304,State Fair Hearings,State Fair Hearings,Ages 65+,42
202304,Utilization,Emergency Room Visits,Ages 65+,"67,800"
202304,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 65+,"12,320"
202304,Utilization,Inpatient Admissions,Ages 65+,"62,211"
202304,Utilization,Mild to Moderate Mental Health Visits,Ages 65+,"25,786"
202304,Utilization,Outpatient Visits,Ages 65+,"2,820,541"
202304,Utilization,Prescriptions,Ages 65+,"975,758"
202305,Eligibility,Member Months,Ages 0-18,"4,947,948"
202305,New Enrollments,New Enrollments,Ages 0-18,0
202305,State Fair Hearings,State Fair Hearings,Ages 0-18,37
202305,Utilization,Emergency Room Visits,Ages 0-18,"187,802"
202305,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 0-18,"5,369"
202305,Utilization,Inpatient Admissions,Ages 0-18,"18,060"
202305,Utilization,Mild to Moderate Mental Health Visits,Ages 0-18,"117,557"
202305,Utilization,Outpatient Visits,Ages 0-18,"3,911,196"
202305,Utilization,Prescriptions,Ages 0-18,"1,498,889"
202305,Eligibility,Member Months,Ages 19-39,"4,349,541"
202305,New Enrollments,New Enrollments,Ages 19-39,0
202305,State Fair Hearings,State Fair Hearings,Ages 19-39,53
202305,Utilization,Emergency Room Visits,Ages 19-39,"203,966"
202305,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 19-39,"12,205"
202305,Utilization,Inpatient Admissions,Ages 19-39,"41,611"
202305,Utilization,Mild to Moderate Mental Health Visits,Ages 19-39,"257,363"
202305,Utilization,Outpatient Visits,Ages 19-39,"3,529,633"
202305,Utilization,Prescriptions,Ages 19-39,"2,181,916"
202305,Eligibility,Member Months,Ages 40-64,"3,296,597"
202305,New Enrollments,New Enrollments,Ages 40-64,0
202305,State Fair Hearings,State Fair Hearings,Ages 40-64,128
202305,Utilization,Emergency Room Visits,Ages 40-64,"194,001"
202305,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 40-64,"22,776"
202305,Utilization,Inpatient Admissions,Ages 40-64,"53,649"
202305,Utilization,Mild to Moderate Mental Health Visits,Ages 40-64,"179,894"
202305,Utilization,Outpatient Visits,Ages 40-64,"5,062,334"
202305,Utilization,Prescriptions,Ages 40-64,"4,977,013"
202305,Eligibility,Member Months,Ages 65+,"1,510,669"
202305,New Enrollments,New Enrollments,Ages 65+,0
202305,State Fair Hearings,State Fair Hearings,Ages 65+,53
202305,Utilization,Emergency Room Visits,Ages 65+,"70,564"
202305,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 65+,"12,710"
202305,Utilization,Inpatient Admissions,Ages 65+,"65,081"
202305,Utilization,Mild to Moderate Mental Health Visits,Ages 65+,"27,369"
202305,Utilization,Outpatient Visits,Ages 65+,"3,016,161"
202305,Utilization,Prescriptions,Ages 65+,"1,062,787"
202306,Eligibility,Member Months,Ages 0-18,"4,951,124"
202306,New Enrollments,New Enrollments,Ages 0-18,0
202306,State Fair Hearings,State Fair Hearings,Ages 0-18,36
202306,Utilization,Emergency Room Visits,Ages 0-18,"150,500"
202306,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 0-18,"4,502"
202306,Utilization,Inpatient Admissions,Ages 0-18,"14,476"
202306,Utilization,Mild to Moderate Mental Health Visits,Ages 0-18,"106,820"
202306,Utilization,Outpatient Visits,Ages 0-18,"3,158,887"
202306,Utilization,Prescriptions,Ages 0-18,"1,227,129"
202306,Eligibility,Member Months,Ages 19-39,"4,373,457"
202306,New Enrollments,New Enrollments,Ages 19-39,0
202306,State Fair Hearings,State Fair Hearings,Ages 19-39,48
202306,Utilization,Emergency Room Visits,Ages 19-39,"196,995"
202306,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 19-39,"12,284"
202306,Utilization,Inpatient Admissions,Ages 19-39,"40,286"
202306,Utilization,Mild to Moderate Mental Health Visits,Ages 19-39,"245,577"
202306,Utilization,Outpatient Visits,Ages 19-39,"3,357,194"
202306,Utilization,Prescriptions,Ages 19-39,"2,088,515"
202306,Eligibility,Member Months,Ages 40-64,"3,312,834"
202306,New Enrollments,New Enrollments,Ages 40-64,0
202306,State Fair Hearings,State Fair Hearings,Ages 40-64,118
202306,Utilization,Emergency Room Visits,Ages 40-64,"188,619"
202306,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 40-64,"22,211"
202306,Utilization,Inpatient Admissions,Ages 40-64,"52,134"
202306,Utilization,Mild to Moderate Mental Health Visits,Ages 40-64,"172,538"
202306,Utilization,Outpatient Visits,Ages 40-64,"4,852,507"
202306,Utilization,Prescriptions,Ages 40-64,"4,816,859"
202306,Eligibility,Member Months,Ages 65+,"1,521,897"
202306,New Enrollments,New Enrollments,Ages 65+,0
202306,State Fair Hearings,State Fair Hearings,Ages 65+,22
202306,Utilization,Emergency Room Visits,Ages 65+,"68,552"
202306,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 65+,"12,583"
202306,Utilization,Inpatient Admissions,Ages 65+,"66,222"
202306,Utilization,Mild to Moderate Mental Health Visits,Ages 65+,"26,631"
202306,Utilization,Outpatient Visits,Ages 65+,"3,040,633"
202306,Utilization,Prescriptions,Ages 65+,"1,039,013"
202307,Eligibility,Member Months,Ages 0-18,"4,934,059"
202307,New Enrollments,New Enrollments,Ages 0-18,0
202307,State Fair Hearings,State Fair Hearings,Ages 0-18,23
202307,Utilization,Emergency Room Visits,Ages 0-18,"133,415"
202307,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 0-18,"4,148"
202307,Utilization,Inpatient Admissions,Ages 0-18,"10,843"
202307,Utilization,Mild to Moderate Mental Health Visits,Ages 0-18,"127,915"
202307,Utilization,Outpatient Visits,Ages 0-18,"2,727,101"
202307,Utilization,Prescriptions,Ages 0-18,"1,053,136"
202307,Eligibility,Member Months,Ages 19-39,"4,351,497"
202307,New Enrollments,New Enrollments,Ages 19-39,0
202307,State Fair Hearings,State Fair Hearings,Ages 19-39,48
202307,Utilization,Emergency Room Visits,Ages 19-39,"204,223"
202307,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 19-39,"11,784"
202307,Utilization,Inpatient Admissions,Ages 19-39,"37,069"
202307,Utilization,Mild to Moderate Mental Health Visits,Ages 19-39,"240,886"
202307,Utilization,Outpatient Visits,Ages 19-39,"3,063,190"
202307,Utilization,Prescriptions,Ages 19-39,"1,990,386"
202307,Eligibility,Member Months,Ages 40-64,"3,303,162"
202307,New Enrollments,New Enrollments,Ages 40-64,0
202307,State Fair Hearings,State Fair Hearings,Ages 40-64,83
202307,Utilization,Emergency Room Visits,Ages 40-64,"194,343"
202307,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 40-64,"22,092"
202307,Utilization,Inpatient Admissions,Ages 40-64,"49,709"
202307,Utilization,Mild to Moderate Mental Health Visits,Ages 40-64,"167,488"
202307,Utilization,Outpatient Visits,Ages 40-64,"4,472,398"
202307,Utilization,Prescriptions,Ages 40-64,"4,628,495"
202307,Eligibility,Member Months,Ages 65+,"1,523,179"
202307,New Enrollments,New Enrollments,Ages 65+,0
202307,State Fair Hearings,State Fair Hearings,Ages 65+,34
202307,Utilization,Emergency Room Visits,Ages 65+,"70,052"
202307,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 65+,"13,020"
202307,Utilization,Inpatient Admissions,Ages 65+,"66,545"
202307,Utilization,Mild to Moderate Mental Health Visits,Ages 65+,"26,021"
202307,Utilization,Outpatient Visits,Ages 65+,"2,998,546"
202307,Utilization,Prescriptions,Ages 65+,"1,014,073"
202308,Eligibility,Member Months,Ages 0-18,"4,921,649"
202308,New Enrollments,New Enrollments,Ages 0-18,0
202308,State Fair Hearings,State Fair Hearings,Ages 0-18,29
202308,Utilization,Emergency Room Visits,Ages 0-18,"147,478"
202308,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 0-18,"4,506"
202308,Utilization,Inpatient Admissions,Ages 0-18,"11,528"
202308,Utilization,Mild to Moderate Mental Health Visits,Ages 0-18,"145,896"
202308,Utilization,Outpatient Visits,Ages 0-18,"3,373,169"
202308,Utilization,Prescriptions,Ages 0-18,"1,274,083"
202308,Eligibility,Member Months,Ages 19-39,"4,346,252"
202308,New Enrollments,New Enrollments,Ages 19-39,0
202308,State Fair Hearings,State Fair Hearings,Ages 19-39,35
202308,Utilization,Emergency Room Visits,Ages 19-39,"202,244"
202308,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 19-39,"11,625"
202308,Utilization,Inpatient Admissions,Ages 19-39,"36,053"
202308,Utilization,Mild to Moderate Mental Health Visits,Ages 19-39,"278,419"
202308,Utilization,Outpatient Visits,Ages 19-39,"3,346,980"
202308,Utilization,Prescriptions,Ages 19-39,"2,178,443"
202308,Eligibility,Member Months,Ages 40-64,"3,302,554"
202308,New Enrollments,New Enrollments,Ages 40-64,0
202308,State Fair Hearings,State Fair Hearings,Ages 40-64,77
202308,Utilization,Emergency Room Visits,Ages 40-64,"193,413"
202308,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 40-64,"21,304"
202308,Utilization,Inpatient Admissions,Ages 40-64,"47,798"
202308,Utilization,Mild to Moderate Mental Health Visits,Ages 40-64,"192,101"
202308,Utilization,Outpatient Visits,Ages 40-64,"4,872,749"
202308,Utilization,Prescriptions,Ages 40-64,"4,995,372"
202308,Eligibility,Member Months,Ages 65+,"1,524,712"
202308,New Enrollments,New Enrollments,Ages 65+,0
202308,State Fair Hearings,State Fair Hearings,Ages 65+,32
202308,Utilization,Emergency Room Visits,Ages 65+,"68,985"
202308,Utilization,Emergency Room Visits with an Inpatient Admission,Ages 65+,"12,153"
202308,Utilization,Inpatient Admissions,Ages 65+,"63,081"
202308,Utilization,Mild to Moderate Mental Health Visits,Ages 65+,"28,032"
202308,Utilization,Outpatient Visits,Ages 65+,"3,160,214"
202308,Utilization,Prescriptions,Ages 65+,"1,099,219"
202309,Eligibility,Member Months,Ages 0-18,"4,870,310"
202309,New Enrollments,New Enrollments,Ages 0-18,0
202309,State Fair Hearings,State Fair Hearings,Ages 0-18,21
202309,Utilization,Emergency Room Visits,Ages 0-18,"159,397"
