HEDIS Reporting Year,Reporting Unit,AQFS
2016,AAH - Alameda,53.18%
2016,Anthem - Alameda,44.55%
2016,Anthem - Contra Costa,45.00%
2016,Anthem - Fresno,44.09%
2016,Anthem - Kings,46.82%
2016,Anthem - Madera,51.36%
2016,Anthem - Region 1,42.73%
2016,Anthem - Region 2,40.00%
2016,Anthem - Sacramento,45.91%
2016,Anthem - San Benito,38.18%
2016,Anthem - San Francisco,58.64%
2016,Anthem - Santa Clara,56.82%
2016,Anthem - Tulare,59.55%
2016,Blue Shield - San Diego,55.91%
2016,CalOptima - Orange,67.73%
2016,CalViva - Fresno,50.45%
2016,CalViva - Kings,42.73%
2016,CalViva - Madera,55.45%
2016,CCAH - Merced,56.36%
2016,CCAH - Monterey/Santa Cruz,74.09%
2016,CCHP - Contra Costa,65.45%
2016,CenCal - San Luis Obispo,66.82%
2016,CenCal - Santa Barbara,75.91%
2016,CH&W - Imperial,58.18%
2016,CH&W - Region 1,37.73%
2016,CH&W - Region 2,38.18%
2016,CHG - San Diego,60.91%
2016,GCHP - Ventura,58.64%
2016,Health Net - Kern,46.36%
2016,Health Net - Los Angeles,61.36%
2016,Health Net - Sacramento,46.36%
2016,Health Net - San Diego,51.36%
2016,Health Net - San Joaquin,32.27%
2016,Health Net - Stanislaus,49.09%
2016,Health Net - Tulare,60.91%
2016,HPSJ - San Joaquin,38.64%
2016,HPSJ - Stanislaus,40.91%
2016,HPSM - San Mateo,68.64%
2016,IEHP - Riverside/San Bernardino,60.45%
2016,Kaiser - KP North,95.91%
2016,Kaiser - San Diego,97.27%
2016,Kern - Kern,50.00%
2016,LA Care - Los Angeles,60.91%
2016,Molina - Imperial,48.64%
2016,Molina - Riverside/San Bernardino,44.09%
2016,Molina - Sacramento,52.73%
2016,Molina - San Diego,59.09%
2016,Partnership - Northeast,47.73%
2016,Partnership - Northwest,49.55%
2016,Partnership - Southeast,70.45%
2016,Partnership - Southwest,67.27%
2016,SCFHP - Santa Clara,60.00%
2016,SFHP - San Francisco,87.73%
2017,AAH - Alameda,66.11%
2017,Anthem - Alameda,58.33%
2017,Anthem - Contra Costa,53.89%
2017,Anthem - Fresno,56.67%
2017,Anthem - Kings,57.78%
2017,Anthem - Madera,63.33%
2017,Anthem - Region 1,52.22%
2017,Anthem - Region 2,50.00%
2017,Anthem - Sacramento,53.89%
2017,Anthem - San Benito,47.65%
2017,Anthem - San Francisco,75.00%
2017,Anthem - Santa Clara,68.89%
2017,Anthem - Tulare,72.22%
2017,Blue Shield - San Diego,67.78%
2017,CalOptima - Orange,73.33%
2017,CalViva - Fresno,59.44%
2017,CalViva - Kings,66.11%
2017,CalViva - Madera,58.89%
2017,CCAH - Merced,53.33%
2017,CCAH - Monterey/Santa Cruz,71.11%
2017,CCHP - Contra Costa,72.78%
2017,CenCal - San Luis Obispo,71.67%
2017,CenCal - Santa Barbara,76.11%
2017,CH&W - Imperial,71.67%
2017,CH&W - Region 1,47.78%
2017,CH&W - Region 2,48.89%
2017,CHG - San Diego,71.67%
2017,GCHP - Ventura,43.89%
2017,Health Net - Kern,48.89%
2017,Health Net - Los Angeles,63.33%
2017,Health Net - Sacramento,45.00%
2017,Health Net - San Diego,57.22%
2017,Health Net - San Joaquin,30.56%
2017,Health Net - Stanislaus,48.33%
2017,Health Net - Tulare,64.44%
2017,HPSJ - San Joaquin,38.89%
2017,HPSJ - Stanislaus,42.22%
2017,HPSM - San Mateo,74.44%
2017,IEHP - Riverside/San Bernardino,65.00%
2017,Kaiser - KP North,93.33%
2017,Kaiser - San Diego,97.78%
2017,Kern - Kern,55.00%
2017,LA Care - Los Angeles,66.67%
2017,Molina - Imperial,60.56%
2017,Molina - Riverside/San Bernardino,57.22%
2017,Molina - Sacramento,54.44%
2017,Molina - San Diego,69.44%
2017,Partnership - Northeast,53.33%
2017,Partnership - Northwest,56.67%
2017,Partnership - Southeast,74.44%
2017,Partnership - Southwest,68.89%
2017,SCFHP - Santa Clara,65.00%
2017,SFHP - San Francisco,85.00%
2018,AAH - Alameda,70.95%
2018,Anthem - Alameda,58.57%
2018,Anthem - Contra Costa,61.90%
2018,Anthem - Fresno,52.86%
2018,Anthem - Kings,59.05%
2018,Anthem - Madera,64.76%
2018,Anthem - Region 1,50.48%
2018,Anthem - Region 2,50.00%
2018,Anthem - Sacramento,50.48%
2018,Anthem - San Benito,52.38%
2018,Anthem - San Francisco,66.19%
2018,Anthem - Santa Clara,65.24%
2018,Anthem - Tulare,75.71%
2018,Blue Shield - San Diego,63.81%
2018,CalOptima - Orange,80.00%
2018,CalViva - Fresno,60.48%
2018,CalViva - Kings,67.62%
2018,CalViva - Madera,68.57%
2018,CCAH - Merced,56.19%
2018,CCAH - Monterey/Santa Cruz,81.90%
2018,CCHP - Contra Costa,70.95%
2018,CenCal - San Luis Obispo,76.19%
2018,CenCal - Santa Barbara,81.43%
2018,CH&W - Imperial,73.33%
2018,CH&W - Region 1,48.57%
2018,CH&W - Region 2,47.14%
2018,CHG - San Diego,79.05%
2018,GCHP - Ventura,59.52%
2018,Health Net - Kern,52.38%
2018,Health Net - Los Angeles,65.24%
2018,Health Net - Sacramento,48.10%
2018,Health Net - San Diego,57.14%
