Plan Parent Reporting Name,Month,"PCPs per 2,000 Members","Physicians per 1,200 Members"
AAH,202302,3,65
AAH,202303,3,64
AAH,202304,3,63
AAH,202305,3,62
AAH,202306,3,62
AAH,202307,3,62
AAH,202308,3,64
AAH,202309,3,65
AAH,202310,3,65
AAH,202311,3,66
AAH,202312,3,66
AAH,202401,3,25
Aetna,202302,22,90
Aetna,202303,23,88
Aetna,202304,22,87
Aetna,202305,22,86
Aetna,202306,22,92
Aetna,202307,22,92
Aetna,202308,23,93
Aetna,202309,23,94
Aetna,202310,24,99
Aetna,202311,26,105
Aetna,202312,29,116
Aetna,202401,0,0
AHF,202302,47,"2,067"
AHF,202303,51,"2,081"
AHF,202304,46,"2,066"
AHF,202305,46,"2,140"
AHF,202306,45,"2,129"
AHF,202307,47,"2,100"
AHF,202308,47,"2,175"
AHF,202309,49,"2,170"
AHF,202310,47,"2,220"
AHF,202311,49,"2,208"
AHF,202312,51,"2,185"
AHF,202401,51,"2,163"
Anthem,202302,4,20
Anthem,202303,4,20
Anthem,202304,4,18
Anthem,202305,4,20
Anthem,202306,4,20
Anthem,202307,4,20
Anthem,202308,4,19
Anthem,202309,4,20
Anthem,202310,5,21
Anthem,202311,5,22
Anthem,202312,5,23
Anthem,202401,6,29
Blue Shield,202302,9,35
Blue Shield,202303,9,34
Blue Shield,202304,8,32
Blue Shield,202305,9,31
Blue Shield,202306,8,32
Blue Shield,202307,8,32
Blue Shield,202308,8,31
Blue Shield,202309,8,32
Blue Shield,202310,8,32
Blue Shield,202311,7,31
Blue Shield,202312,7,29
Blue Shield,202401,5,23
CalOptima,202302,8,21
CalOptima,202303,8,21
CalOptima,202304,8,20
CalOptima,202305,8,20
CalOptima,202306,8,21
CalOptima,202307,8,21
CalOptima,202308,8,21
CalOptima,202309,8,21
CalOptima,202310,8,22
CalOptima,202311,8,23
CalOptima,202312,8,23
CalOptima,202401,2,8
CalViva,202302,2,5
CalViva,202303,2,5
CalViva,202304,2,5
CalViva,202305,2,5
CalViva,202306,2,5
CalViva,202307,2,5
CalViva,202308,2,5
CalViva,202309,2,6
CalViva,202310,2,5
CalViva,202311,2,6
CalViva,202312,0,1
CalViva,202401,2,6
CCAH,202302,3,35
CCAH,202303,3,35
CCAH,202304,2,35
CCAH,202305,2,35
CCAH,202306,2,35
CCAH,202307,2,35
CCAH,202308,2,37
CCAH,202309,2,37
CCAH,202310,3,38
CCAH,202311,3,39
CCAH,202312,3,39
CCAH,202401,2,36
CCHP,202302,9,42
CCHP,202303,9,41
CCHP,202304,9,41
CCHP,202305,9,40
CCHP,202306,8,40
CCHP,202307,8,41
CCHP,202308,8,41
CCHP,202309,7,40
CCHP,202310,26,71
CCHP,202311,27,72
CCHP,202312,27,73
CCHP,202401,2,23
CenCal,202302,3,25
CenCal,202303,3,25
CenCal,202304,3,24
CenCal,202305,3,24
CenCal,202306,2,24
CenCal,202307,2,24
CenCal,202308,2,24
CenCal,202309,2,24
CenCal,202310,2,25
CenCal,202311,2,26
CenCal,202312,2,26
CenCal,202401,2,25
CH&W,202302,22,52
CH&W,202303,21,51
CH&W,202304,22,52
CH&W,202305,22,52
CH&W,202306,18,43
CH&W,202307,22,52
CH&W,202308,22,52
CH&W,202309,23,53
CH&W,202310,23,55
CH&W,202311,24,56
CH&W,202312,0,1
CH&W,202401,0,0
CHG,202302,5,14
CHG,202303,5,13
CHG,202304,5,13
CHG,202305,5,13
CHG,202306,5,13
CHG,202307,5,13
CHG,202308,5,13
CHG,202309,5,13
CHG,202310,5,14
CHG,202311,5,14
CHG,202312,5,14
CHG,202401,5,12
CHPIV,202302,0,0
CHPIV,202303,0,0
CHPIV,202304,0,0
CHPIV,202305,0,0
CHPIV,202306,0,0
CHPIV,202307,0,0
CHPIV,202308,0,0
CHPIV,202309,0,0
CHPIV,202310,0,0
CHPIV,202311,0,0
CHPIV,202312,0,0
CHPIV,202401,18,51
Family Mosaic Project,202302,0,450
Family Mosaic Project,202303,0,360
Family Mosaic Project,202304,0,360
Family Mosaic Project,202305,0,360
Family Mosaic Project,202306,0,327
Family Mosaic Project,202307,0,300
Family Mosaic Project,202308,0,450
Family Mosaic Project,202309,0,600
Family Mosaic Project,202310,0,600
Family Mosaic Project,202311,0,600
Family Mosaic Project,202312,0,600
