County,Medi-Cal MC Enrollees,Enrollment Month
Los Angeles,3521674.0,2026-06
San Bernardino,866361.0,2026-06
Riverside,862488.0,2026-06
Orange,855944.0,2026-06
San Diego,821390.0,2026-06
Sacramento,560275.0,2026-06
Fresno,473382.0,2026-06
Kern,448377.0,2026-06
Alameda,442000.0,2026-06
Santa Clara,397829.0,2026-06
Contra Costa,304933.0,2026-06
San Joaquin,285442.0,2026-06
Tulare,266287.0,2026-06
Ventura,237451.0,2026-06
Stanislaus,229671.0,2026-06
San Francisco,220541.0,2026-06
Monterey,179964.0,2026-06
Santa Barbara,164313.0,2026-06
San Mateo,145559.0,2026-06
Merced,141809.0,2026-06
Solano,132684.0,2026-06
Sonoma,126970.0,2026-06
Imperial,94031.0,2026-06
Butte,82792.0,2026-06
Placer,78442.0,2026-06
Madera,74808.0,2026-06
Santa Cruz,72996.0,2026-06
Shasta,63306.0,2026-06
San Luis Obispo,62326.0,2026-06
Kings,62238.0,2026-06
Yolo,57676.0,2026-06
Humboldt,53604.0,2026-06
Marin,49037.0,2026-06
Sutter,43335.0,2026-06
Mendocino,38258.0,2026-06
Yuba,36888.0,2026-06
El Dorado,35924.0,2026-06
Napa,34080.0,2026-06
Lake,32228.0,2026-06
Tehama,28063.0,2026-06
Nevada,27639.0,2026-06
San Benito,20075.0,2026-06
Siskiyou,17249.0,2026-06
Tuolumne,13799.0,2026-06
Glenn,12833.0,2026-06
Calaveras,12332.0,2026-06
Del Norte,11699.0,2026-06
Colusa,9662.0,2026-06
Amador,8432.0,2026-06
Lassen,8026.0,2026-06
Mariposa,5391.0,2026-06
Plumas,5230.0,2026-06
Trinity,4840.0,2026-06
Inyo,4352.0,2026-06
Modoc,3646.0,2026-06
Mono,2962.0,2026-06
Sierra,788.0,2026-06
Alpine,242.0,2026-06
