County,Population,Pop Year
Alameda,1649000,2024
Alpine,1200,2024
Amador,42000,2024
Butte,208000,2024
Calaveras,46000,2024
Colusa,22000,2024
Contra Costa,1166000,2024
Del Norte,27000,2024
El Dorado,192000,2024
Fresno,1024000,2024
Glenn,29000,2024
Humboldt,133000,2024
Imperial,180000,2024
Inyo,19000,2024
Kern,922000,2024
Kings,154000,2024
Lake,68000,2024
Lassen,28000,2024
Los Angeles,9663000,2024
Madera,165000,2024
Marin,256000,2024
Mariposa,17000,2024
Mendocino,89000,2024
Merced,296000,2024
Modoc,8700,2024
Mono,13000,2024
Monterey,436000,2024
Napa,134000,2024
Nevada,102000,2024
Orange,3142000,2024
Placer,428000,2024
Plumas,19000,2024
Riverside,2529000,2024
Sacramento,1611000,2024
San Benito,69000,2024
San Bernardino,2214000,2024
San Diego,3270000,2024
San Francisco,827000,2024
San Joaquin,810000,2024
San Luis Obispo,282000,2024
San Mateo,730000,2024
Santa Barbara,444000,2024
Santa Clara,1918000,2024
Santa Cruz,262000,2024
Shasta,182000,2024
Sierra,3200,2024
Siskiyou,43000,2024
Solano,455000,2024
Sonoma,482000,2024
Stanislaus,556000,2024
Sutter,100000,2024
Tehama,65000,2024
Trinity,16000,2024
Tulare,483000,2024
Tuolumne,54000,2024
Ventura,835000,2024
Yolo,224000,2024
Yuba,87000,2024
