Provider Type,Providers
Other,2850
Adult Primary Care,1125
Nurse Practitioner,1067
Pediatric Primary Care,938
Physician Assistant,524
General Surgery,518
Obstetrics & Gynecology,418
Cardiology/Interventional Cardiology,382
Ophthalmology,368
Orthopedic Surgery,300
Neurology,270
Oncology,252
Hematology,229
Nephrology,210
Gastroenterology,201
"Mammography Provider, MRI Provider",199
Pulmonology,166
Endocrinology,134
HIV/AIDS Specialists/Infectious Diseases,133
Dermatology,125
Mental Health Outpatient Services,95
Psychiatry,94
ENT/Otolaryngology,91
Physical Therapist,85
Physical Medicine & Rehabilitation,61
Dental Provider ,7
Hospitals,6
Certified Nurse Midwife,5
Skilled Nursing Facility,1
