Enrollment Month,Year,Brand,Enrollees,County Total,Share
2007-01,2007,L.A. Care,737412.0,1177988.0,0.626
2007-01,2007,Health Net,440576.0,1177988.0,0.374
2007-02,2007,L.A. Care,736943.0,1174371.0,0.6275
2007-02,2007,Health Net,437428.0,1174371.0,0.3725
2007-03,2007,L.A. Care,733807.0,1165825.0,0.6294
2007-03,2007,Health Net,432018.0,1165825.0,0.3706
2007-04,2007,L.A. Care,737281.0,1167763.0,0.6314
2007-04,2007,Health Net,430482.0,1167763.0,0.3686
2007-05,2007,L.A. Care,745264.0,1178096.0,0.6326
2007-05,2007,Health Net,432832.0,1178096.0,0.3674
2007-06,2007,L.A. Care,749612.0,1181868.0,0.6343
2007-06,2007,Health Net,432256.0,1181868.0,0.3657
2007-07,2007,L.A. Care,740689.0,1165024.0,0.6358
2007-07,2007,Health Net,424335.0,1165024.0,0.3642
2007-08,2007,L.A. Care,733301.0,1152922.0,0.636
2007-08,2007,Health Net,419621.0,1152922.0,0.364
2007-09,2007,L.A. Care,737754.0,1160349.0,0.6358
2007-09,2007,Health Net,422595.0,1160349.0,0.3642
2007-10,2007,L.A. Care,736658.0,1157228.0,0.6366
2007-10,2007,Health Net,420570.0,1157228.0,0.3634
2007-11,2007,L.A. Care,735909.0,1154659.0,0.6373
2007-11,2007,Health Net,418750.0,1154659.0,0.3627
2007-12,2007,L.A. Care,739198.0,1159931.0,0.6373
2007-12,2007,Health Net,420733.0,1159931.0,0.3627
2008-01,2008,L.A. Care,737480.0,1157256.0,0.6373
2008-01,2008,Health Net,419776.0,1157256.0,0.3627
2008-02,2008,L.A. Care,735037.0,1153616.0,0.6372
2008-02,2008,Health Net,418579.0,1153616.0,0.3628
2008-03,2008,L.A. Care,736484.0,1155499.0,0.6374
2008-03,2008,Health Net,419015.0,1155499.0,0.3626
2008-04,2008,L.A. Care,734532.0,1151623.0,0.6378
2008-04,2008,Health Net,417091.0,1151623.0,0.3622
2008-05,2008,L.A. Care,736772.0,1154604.0,0.6381
2008-05,2008,Health Net,417832.0,1154604.0,0.3619
2008-06,2008,L.A. Care,741640.0,1162003.0,0.6382
2008-06,2008,Health Net,420363.0,1162003.0,0.3618
2008-07,2008,L.A. Care,741023.0,1160739.0,0.6384
2008-07,2008,Health Net,419716.0,1160739.0,0.3616
2008-08,2008,L.A. Care,741766.0,1161885.0,0.6384
2008-08,2008,Health Net,420119.0,1161885.0,0.3616
2008-09,2008,L.A. Care,742359.0,1163372.0,0.6381
2008-09,2008,Health Net,421013.0,1163372.0,0.3619
2008-10,2008,L.A. Care,740251.0,1161247.0,0.6375
2008-10,2008,Health Net,420996.0,1161247.0,0.3625
2008-11,2008,L.A. Care,740600.0,1163033.0,0.6368
2008-11,2008,Health Net,422433.0,1163033.0,0.3632
2008-12,2008,L.A. Care,744258.0,1169309.0,0.6365
2008-12,2008,Health Net,425051.0,1169309.0,0.3635
