County,Providers_All,Providers_PCP
Los Angeles,46237,5206
Santa Clara,22153,1503
San Diego,17377,2383
Orange,15682,1418
Sacramento,14864,1173
San Francisco,13632,1034
Alameda,13519,1279
Riverside,12737,1324
San Bernardino,12046,1250
Contra Costa,9895,700
San Mateo,6639,415
Fresno,5760,515
Ventura,4298,305
Kern,4113,809
Placer,3941,405
Stanislaus,3910,154
Solano,3856,360
Sonoma,3805,541
San Joaquin,3182,143
Santa Barbara,2956,206
Santa Cruz,2891,270
Monterey,2379,192
Marin,1991,192
San Luis Obispo,1799,77
Tulare,1777,311
Shasta,1598,154
Napa,1573,107
Merced,1424,116
Yolo,1315,261
Humboldt,1198,136
Madera,1165,89
Kings,1073,69
Butte,915,124
Sutter,781,132
El Dorado,759,72
Nevada,747,98
Mendocino,654,122
Lake,564,69
Yuba,436,87
Siskiyou,339,57
Tehama,321,63
Tuolumne,302,25
Del Norte,283,26
Imperial,272,3
Trinity,234,21
Inyo,226,22
Calaveras,204,21
Amador,188,25
San Benito,184,16
Lassen,166,21
Mariposa,157,23
Mono,136,18
Modoc,128,13
Glenn,110,24
Colusa,82,26
Plumas,41,20
Alpine,28,2
Sierra,4,3
