Month,County,Plan Type,Plan Category,Plan,Plan Name Raw,Enrollees,Suppressed
2007-01-01,Alameda,PACE,PACE,OnLok Senior Hlth dba OnLok Lifeways,OnLok Senior Hlth dba OnLok Lifeways/Alameda,85.0,False
2007-01-01,Alameda,Special Project,Medical,Cntr Elders Indep,Cntr Elders Indep/Alameda,372.0,False
2007-01-01,Alameda,Two-Plan,Medical,Alameda Alliance for Hlth,Alameda Alliance for Hlth,73072.0,False
2007-01-01,Alameda,Two-Plan,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Alameda,27670.0,False
2007-01-01,Contra Costa,Special Project,Medical,Center for Elders Independence,Center for Elders Independence,26.0,False
2007-01-01,Contra Costa,Two-Plan,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/CC,10421.0,False
2007-01-01,Contra Costa,Two-Plan,Medical,Contra Costa Hlth Plan,Contra Costa Hlth Plan,43233.0,False
2007-01-01,Fresno,Two-Plan,Medical,Anthem Blue Cross Partnership Plan,Anthem Blue Cross Partnership Plan/Fresno,143766.0,False
2007-01-01,Fresno,Two-Plan,Medical,Health Net Community Solutions,Health Net /Fresno,26584.0,False
2007-01-01,Kern,Two-Plan,Medical,Health Net Community Solutions,Health Net/Kern,21626.0,False
2007-01-01,Kern,Two-Plan,Medical,Kern Hlth Systems,Kern Hlth Systems,91896.0,False
2007-01-01,Los Angeles,Dental,Dental,Access Dental Plan,Access Dental Plan/LA,61119.0,False
2007-01-01,Los Angeles,Dental,Dental,American Health Guard - Dental,American Health Guard - Dental/LA,15430.0,False
2007-01-01,Los Angeles,Dental,Dental,Care1st Health Plan Dental,Care1st Health Plan Dental,15820.0,False
2007-01-01,Los Angeles,Dental,Dental,Community Dental Svcs Inc (LA),Community Dental Svcs Inc (LA),5202.0,False
2007-01-01,Los Angeles,Dental,Dental,Health Net of California,Health Net of California,30568.0,False
