Health Plan Name,Plan,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio,Period End Date,Period Type,Year,Quarter,Quarter Label
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2014",12/31/2014,1597232.0,1285630.0,339110544.0,88366103.0,250744441.0,383.75,1593821396.0,1562111606.0,1218763689.0,1365532624.0,79389111.0,129524874.0,9.48,1099101105.0,106.21,2014-12-31,Quarterly,2014,4,2014 Q4
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2014",09/30/2014,1478575.0,1191009.0,284981521.0,74306619.0,210674902.0,383.52,1202022560.0,1171717005.0,870171751.0,1327158257.0,56981326.0,108677594.0,8.18,1120350668.0,101.95,2014-09-30,Quarterly,2014,3,2014 Q3
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2014",06/30/2014,1345033.0,1087576.0,263213620.0,61872301.0,201341319.0,425.41,871008045.0,840704248.0,566153221.0,1053171414.0,33227430.0,103795004.0,9.85,889842229.0,82.53,2014-06-30,Quarterly,2014,2,2014 Q2
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2014",03/31/2014,1262664.0,1034071.0,229660283.0,54841053.0,174819230.0,418.77,824524888.0,754878419.0,553986437.0,832011251.0,26116375.0,115929465.0,13.93,667068844.0,82.65,2014-03-31,Quarterly,2014,1,2014 Q1
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Annual DMHC Financial Reporting Form,2014,12/31/2014,1597232.0,1285630.0,339110544.0,88366103.0,250744441.0,383.75,1593821396.0,1562111606.0,1218763689.0,4577873546.0,195714242.0,457926937.0,10.0,3776362846.0,85.29,2014-12-31,Annual,2014,,2014 Annual
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2013",12/31/2013,1097755.0,865398.0,202962982.0,51164975.0,151798007.0,396.68,577645646.0,494122659.0,332620884.0,575085657.0,5761155.0,80997891.0,14.08,483946924.0,98.5,2013-12-31,Quarterly,2013,4,2013 Q4
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2013",09/30/2013,1083937.0,872271.0,197101832.0,50198721.0,146903111.0,392.64,746280938.0,662057705.0,510479164.0,618477850.0,26395384.0,82564702.0,13.34,491367411.0,82.93,2013-09-30,Quarterly,2013,3,2013 Q3
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2013",06/30/2013,1069398.0,859644.0,170713416.0,47788141.0,122925275.0,357.22,442776956.0,376837680.0,234823559.0,564676153.0,8046025.0,96617445.0,17.11,454478448.0,86.57,2013-06-30,Quarterly,2013,2,2013 Q2
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2013",03/31/2013,945570.0,751692.0,163500972.0,46356091.0,117144881.0,352.7,417805939.0,366729763.0,216662915.0,554249458.0,35097845.0,54062002.0,9.75,441017984.0,80.22,2013-03-31,Quarterly,2013,1,2013 Q1
"Health Net Community Solutions, Inc.",Health Net Community Solutions,933 0426,Full Service,Annual DMHC Financial Reporting Form,2013,12/31/2013,1097755.0,865398.0,202962982.0,51164975.0,151798007.0,396.68,577645646.0,494122659.0,332620884.0,2312489118.0,75300409.0,314242040.0,13.58,1870810767.0,86.67,2013-12-31,Annual,2013,,2013 Annual
