Health Plan Name,Plan,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio,Period End Date,Period Type,Year,Quarter,Quarter Label
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2014",12/31/2014,1672550.0,1592455.0,272997064.0,73595134.0,199401930.0,370.94,1990413709.0,1948115922.0,1713834777.0,1598194735.0,52922542.0,53575382.0,3.35,1432130795.0,93.22,2014-12-31,Quarterly,2014,4,2014 Q4
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2014",09/30/2014,1565170.0,1478614.0,220074522.0,61465187.0,158609335.0,358.04,1354748902.0,1315943492.0,1131401251.0,1377475556.0,-204989.0,55216605.0,4.0,1272654830.0,95.99,2014-09-30,Quarterly,2014,3,2014 Q3
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2014",06/30/2014,1438970.0,1363283.0,220279511.0,47642139.0,172637372.0,462.36,1147614081.0,1111107266.0,924394820.0,1164853364.0,30129412.0,46859966.0,4.02,1042703796.0,93.05,2014-06-30,Quarterly,2014,2,2014 Q2
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2014",03/31/2014,1394079.0,1330860.0,190150099.0,40838221.0,149311878.0,465.61,1194706567.0,1162033812.0,1002061105.0,1014401612.0,18382989.0,39198594.0,3.86,920470595.0,94.3,2014-03-31,Quarterly,2014,1,2014 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Annual DMHC Financial Reporting Form,2014,09/30/2014,1565170.0,1478614.0,220074522.0,61465187.0,158609335.0,358.04,1354748902.0,1315943492.0,1131401251.0,4298613443.0,44131469.0,176825223.0,4.11,3918548976.0,94.71,2014-09-30,Annual,2014,,2014 Annual
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2013",12/31/2013,1196599.0,1144624.0,171767110.0,34925361.0,136841749.0,491.81,1162461778.0,1130821961.0,988501853.0,741882909.0,-4175943.0,35550056.0,4.79,682719754.0,95.59,2013-12-31,Quarterly,2013,4,2013 Q4
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2013",09/30/2013,1197442.0,1147142.0,175943053.0,34075115.0,141867938.0,516.33,1233875940.0,1209639648.0,1056022371.0,940109221.0,26497657.0,25375952.0,2.69,804291281.0,93.54,2013-09-30,Quarterly,2013,3,2013 Q3
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2013",06/30/2013,1189585.0,1140357.0,149445396.0,33657765.0,115787631.0,444.01,630508349.0,609787529.0,479316272.0,694496481.0,26911200.0,33565891.0,4.83,632633738.0,91.48,2013-06-30,Quarterly,2013,2,2013 Q2
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2013",03/31/2013,1078263.0,1014354.0,122534196.0,32049734.0,90484462.0,382.32,481739459.0,460333233.0,357554025.0,574054913.0,-7236448.0,29122745.0,5.07,552168616.0,96.37,2013-03-31,Quarterly,2013,1,2013 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Annual DMHC Financial Reporting Form,2013,09/30/2013,1197442.0,1147142.0,175943053.0,34075114.0,141867939.0,516.33,1233875940.0,1209639648.0,1056022371.0,2773652859.0,36685140.0,115767055.0,4.17,2535870681.0,94.36,2013-09-30,Annual,2013,,2013 Annual
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2012",12/31/2012,1063958.0,990418.0,129770644.0,29930947.0,99839697.0,433.56,457121778.0,435453302.0,325804512.0,564992244.0,-9487269.0,27702465.0,4.9,546777048.0,97.1,2012-12-31,Quarterly,2012,4,2012 Q4
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2012",09/30/2012,1060093.0,987011.0,131438939.0,25578218.0,105860721.0,513.87,517638878.0,507631621.0,384772036.0,525301375.0,826215.0,28140950.0,5.35,484572556.0,94.61,2012-09-30,Quarterly,2012,3,2012 Q3
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2012",06/30/2012,1055667.0,982306.0,130612724.0,21359595.0,109253129.0,611.49,380952797.0,369264463.0,249014726.0,514901858.0,-11195744.0,22835156.0,4.43,491961036.0,97.97,2012-06-30,Quarterly,2012,2,2012 Q2
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2012",03/31/2012,1040154.0,966713.0,141808468.0,17305494.0,124502974.0,819.44,544221456.0,533624957.0,401245191.0,480704060.0,-7409990.0,19920280.0,4.14,457373202.0,97.68,2012-03-31,Quarterly,2012,1,2012 Q1
Local Initiative Health Authority for Los Angeles County,L.A. Care,933 0355,Full Service,Annual DMHC Financial Reporting Form,2012,09/30/2012,1060093.0,987011.0,139257913.0,26183152.0,113074761.0,531.86,509345067.0,499337810.0,368659251.0,1972803863.0,-11457157.0,89414451.0,4.53,1862526261.0,96.32,2012-09-30,Annual,2012,,2012 Annual
