Health Plan Name,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2026",03/31/2026,2457720,1494680,698357432,201880522,"496,476,910.00",345.9200,4329080898,2420004588,3477570420,3610424847,110999890,457497714,12.6700,3008863173,91.6200
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2025",12/31/2025,2121017,1546268,801257143,198305765,"602,951,378.00",404.0500,4028562602,2041277372,3083905253,3024896785,-18854385,741198126,24.5000,2301726060,93.7100
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2025",09/30/2025,2152010,1572707,832912492,196480946,"636,431,546.00",423.9100,3682284175,1464039457,2670626812,3342018475,83928840,348369576,10.4200,2883876156,92.4700
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2025",06/30/2025,2180371,1593402,833935075,193502301,"640,432,774.00",430.9600,3743356112,1443148163,2730943000,2916925051,77951976,475247879,16.2900,2339778415,91.6900
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2025",03/31/2025,2183818,1596280,895141973,183993453,"711,148,520.00",486.5000,4189245311,1915144730,3120128120,3733220598,65871046,667998003,17.8900,2979112776,93.2500
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2025,12/31/2025,2121017,1546268,801257143,198305765,"602,951,378.00",404.0500,4028562602,2041277372,3083905253,13017060910,208897478,2232813585,17.1500,10504493407,92.7800
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2024",12/31/2024,2178016,1586821,1008460826,181668235,"826,792,591.00",555.1100,3859611837,1708818933,2704065713,2892501042,53108211,595731181,20.5900,2227900555,91.5800
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2024",09/30/2024,2174335,1579059,1095591189,181111427,"914,479,762.00",604.9200,3628992686,1500754245,2351396813,2806363838,10392280,291851763,10.3900,2501967972,94.8200
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2024",06/30/2024,2176694,1581784,1135603454,179339879,"956,263,575.00",633.2100,3952659906,1918196402,2619581160,2620360698,70080991,487489938,18.6000,2041258594,90.5100
"Health Net Community Solutions, Inc.",933 0426,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2024",03/31/2024,2204541,1606543,1221611923,171865524,"1,049,746,399.00",710.7900,4309515075,2360624627,2858188884,3374672780,105090859,558183821,16.5400,2679194616,91.1400
"Health Net Community Solutions, Inc.",933 0426,Full Service,Annual DMHC Financial Reporting Form,2024,12/31/2024,2178016,1586821,1008460826,181668234,"826,792,592.00",555.1100,3859611837,1708818933,2704065713,11693898357,238672344,1933256704,16.5300,9450321735,92.0500
