Health Plan Name,Health Plan ID,Health Plan Type,Report Type,Reporting Period,Statement Date,Total Enrollees,Medi-Cal Managed Care,TNE,Required TNE,Excess TNE,% TNE to Required,Total Assets,Total Current Assets,Total Current Liabilities,Total Revenue,Net Income-Loss,Total Administrative Expenses,Administrative Cost Ratio,Total Medical Expenses,Health Expense Ratio
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2023",12/31/2023,2682058,2543485,1930224012,177082171,"1,753,141,841.00",1090.0100,7045091873,6879383456,5069357036,3266639168,255739797,146752641,4.4900,2487583622,88.0100
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2023",09/30/2023,2839647,2707676,1674484215,175577480,"1,498,906,735.00",953.7000,6634607731,6462411681,4899246549,2849673883,294996702,147860211,5.1800,2435757028,86.3200
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2023",06/30/2023,2881499,2753393,1379487513,174934726,"1,204,552,787.00",788.5700,5932934384,5768489003,4480845672,3003993531,148503153,134567962,4.4700,2720922564,90.9700
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2023",03/31/2023,2837052,2709463,1230984360,162956563,"1,068,027,797.00",755.4000,7121267972,6903588878,5836614733,2866032467,160898294,131306771,4.5800,2573827402,90.7800
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2023,09/30/2023,2839647,2707676,1674484215,175577480,"1,498,906,735.00",953.7000,6634607731,6462411681,4899246549,11249637333,641204866,538759163,4.7800,10052697922,90.5300
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2022",12/31/2022,2715972,2603252,1070086066,155189679,"914,896,387.00",689.5300,5303799673,5088401501,4179309767,2529937455,36806717,125024222,4.9400,2322190928,94.5300
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2022",09/30/2022,2674770,2561157,1033279349,154348241,"878,931,108.00",669.4400,5763978775,5547573718,4672692426,2183911035,-52164587,124542471,5.7000,2065623330,96.6200
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2022",06/30/2022,2574782,2459789,1085443936,151589240,"933,854,696.00",716.0400,4957502345,4810313187,3869732395,2348426609,14741764,114533836,4.8700,2177511095,94.4400
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2022",03/31/2022,2514995,2400470,1070702172,152859593,"917,842,579.00",700.4400,5551536800,5402958580,4477776812,2032243457,-6308722,161105142,7.9200,1835687248,91.7700
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2022,09/30/2022,2674770,2561157,1033279349,154348241,"878,931,108.00",669.4400,5763978775,5547573718,4672692426,8994183976,-8154672,517310102,5.7500,8313967315,94.2400
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"October 1 - December 31, 2021",12/31/2021,2446634,2344812,1077010894,153576269,"923,434,625.00",701.2800,4550614656,4405930548,3471430183,2429602874,35576873,117128650,4.8200,2235145644,94.0000
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"July 1 - September 30, 2021",09/30/2021,2467223,2314671,1049455062,154423468,"895,031,594.00",679.5900,4891876350,4782438730,3838980765,2376962469,29845621,140697744,5.9100,2166724452,92.7500
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"April 1 - June 30, 2021",06/30/2021,2427882,2279569,1019609441,155919515,"863,689,926.00",653.9300,4529102892,4417172200,3506973916,2401015903,13470150,110701416,4.6100,2239249541,95.0300
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Quarterly DMHC Financial Reporting Form,"January 1 - March 31, 2021",03/31/2021,2379806,2234867,1006139291,154640936,"851,498,355.00",650.6200,5333272696,5222711156,4324135153,2369756498,103817982,106756017,4.5000,2121130785,91.1200
Local Initiative Health Authority for Los Angeles County,933 0355,Full Service,Annual DMHC Financial Reporting Form,2021,09/30/2021,2467223,2314671,1049455062,154423468,"895,031,594.00",679.5900,4891876350,4782438730,3838980765,9386346905,132895055,470080019,5.0000,8630456671,93.7000
