Contract,PartC_FAC,PartD_FAC,Overall_FAC,PartC_CAI,PartD_CAI,Overall_CAI
E3014,,,,,,
H0028,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H0029,,,,,,
H0034,7.0,5.0,8.0,0.080451,0.072332,0.101257
H0062,,,,,,
H0074,5.0,4.0,6.0,0.032302,0.046282,0.045683
H0104,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H0107,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H0111,5.0,4.0,6.0,0.032302,0.046282,0.045683
H0154,5.0,4.0,6.0,0.032302,0.046282,0.045683
H0169,8.0,6.0,9.0,0.10237,0.128476,0.145515
H0174,6.0,4.0,7.0,0.059788,0.046282,0.058145
H0251,8.0,6.0,9.0,0.10237,0.128476,0.145515
H0270,5.0,4.0,7.0,0.032302,0.046282,0.058145
H0292,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H0294,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H0302,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H0321,8.0,6.0,9.0,0.10237,0.128476,0.145515
H0332,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H0342,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H0351,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H0354,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H0363,7.0,5.0,8.0,0.080451,0.072332,0.101257
H0413,,,,,,
H0421,,,,,,
H0423,6.0,5.0,8.0,0.059788,0.072332,0.101257
H0432,5.0,4.0,7.0,0.032302,0.046282,0.058145
H0439,5.0,3.0,6.0,0.032302,-0.002688,0.045683
H0473,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H0504,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H0523,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H0524,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H0543,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H0544,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H0562,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H0571,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H0609,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H0624,8.0,6.0,9.0,0.10237,0.128476,0.145515
H0628,5.0,4.0,6.0,0.032302,0.046282,0.045683
H0629,,,,,,
H0630,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H0672,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H0710,7.0,4.0,8.0,0.080451,0.046282,0.101257
H0712,7.0,5.0,8.0,0.080451,0.072332,0.101257
H0724,,,,,,
H0738,8.0,6.0,9.0,0.10237,0.128476,0.145515
H0755,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H0764,8.0,6.0,9.0,0.10237,0.128476,0.145515
H0777,,,,,,
H0783,5.0,3.0,5.0,0.032302,-0.002688,0.01879
H0816,,,,,,
H0885,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H0907,8.0,6.0,9.0,0.10237,0.128476,0.145515
H0908,6.0,4.0,7.0,0.059788,0.046282,0.058145
H0913,6.0,4.0,7.0,0.059788,0.046282,0.058145
H0963,,,,,,
H0976,6.0,5.0,5.0,0.059788,0.072332,0.01879
H0978,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H0982,6.0,2.0,5.0,0.059788,-0.014987,0.01879
H1019,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H1032,5.0,4.0,6.0,0.032302,0.046282,0.045683
H1035,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H1036,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H1045,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H1099,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H1109,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H1112,6.0,4.0,7.0,0.059788,0.046282,0.058145
H1119,7.0,5.0,8.0,0.080451,0.072332,0.101257
H1170,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H1181,1.0,,,-0.058259,,
H1189,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H1206,3.0,3.0,4.0,-0.013699,-0.002688,0.003256
H1212,,,,,,
H1215,5.0,4.0,7.0,0.032302,0.046282,0.058145
H1224,6.0,5.0,8.0,0.059788,0.072332,0.101257
H1225,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H1230,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H1248,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H1278,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H1280,5.0,3.0,6.0,0.032302,-0.002688,0.045683
H1285,,,,,,
H1290,6.0,3.0,5.0,0.059788,-0.002688,0.01879
H1302,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H1304,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H1339,5.0,4.0,6.0,0.032302,0.046282,0.045683
H1347,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H1350,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H1360,7.0,5.0,8.0,0.080451,0.072332,0.101257
H1365,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H1372,7.0,4.0,8.0,0.080451,0.046282,0.101257
H1395,5.0,4.0,6.0,0.032302,0.046282,0.045683
H1396,,,,,,
H1416,6.0,4.0,7.0,0.059788,0.046282,0.058145
H1423,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H1468,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H1486,,,,,,
H1526,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H1537,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H1587,7.0,5.0,8.0,0.080451,0.072332,0.101257
H1607,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H1608,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H1609,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H1610,8.0,6.0,9.0,0.10237,0.128476,0.145515
H1611,,,,,,
H1619,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H1644,7.0,5.0,8.0,0.080451,0.072332,0.101257
H1651,2.0,,,-0.036927,,
H1659,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H1664,5.0,4.0,7.0,0.032302,0.046282,0.058145
H1666,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H1671,,,,,,
H1692,6.0,5.0,7.0,0.059788,0.072332,0.058145
H1722,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H1787,6.0,3.0,8.0,0.059788,-0.002688,0.101257
H1799,7.0,5.0,8.0,0.080451,0.072332,0.101257
H1822,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H1846,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H1862,5.0,4.0,6.0,0.032302,0.046282,0.045683
H1889,6.0,5.0,7.0,0.059788,0.072332,0.058145
H1894,7.0,5.0,8.0,0.080451,0.072332,0.101257
H1914,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H1947,8.0,6.0,9.0,0.10237,0.128476,0.145515
H1951,5.0,3.0,5.0,0.032302,-0.002688,0.01879
H1961,5.0,4.0,6.0,0.032302,0.046282,0.045683
H1969,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H1993,4.0,2.0,4.0,0.004022,-0.014987,0.003256
H1994,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H1997,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H2001,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H2029,6.0,3.0,5.0,0.059788,-0.002688,0.01879
H2032,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H2034,8.0,6.0,9.0,0.10237,0.128476,0.145515
H2035,,,,,,
H2041,,,,,,
H2056,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H2108,5.0,4.0,6.0,0.032302,0.046282,0.045683
H2117,6.0,5.0,7.0,0.059788,0.072332,0.058145
H2126,,,,,,
H2162,5.0,4.0,7.0,0.032302,0.046282,0.058145
H2168,6.0,5.0,8.0,0.059788,0.072332,0.101257
H2172,4.0,2.0,3.0,0.004022,-0.014987,-0.017803
H2174,8.0,6.0,9.0,0.10237,0.128476,0.145515
H2185,8.0,6.0,9.0,0.10237,0.128476,0.145515
H2224,6.0,5.0,5.0,0.059788,0.072332,0.01879
H2225,7.0,5.0,8.0,0.080451,0.072332,0.101257
H2226,6.0,5.0,5.0,0.059788,0.072332,0.01879
H2230,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H2235,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H2237,8.0,6.0,9.0,0.10237,0.128476,0.145515
H2247,8.0,6.0,9.0,0.10237,0.128476,0.145515
H2256,3.0,2.0,3.0,-0.013699,-0.014987,-0.017803
H2261,3.0,2.0,2.0,-0.013699,-0.014987,-0.040422
H2272,8.0,6.0,9.0,0.10237,0.128476,0.145515
H2292,7.0,3.0,8.0,0.080451,-0.002688,0.101257
H2293,4.0,3.0,5.0,0.004022,-0.002688,0.01879
H2320,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H2322,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H2354,2.0,2.0,2.0,-0.036927,-0.014987,-0.040422
H2385,,,,,,
H2392,8.0,6.0,9.0,0.10237,0.128476,0.145515
H2400,7.0,5.0,8.0,0.080451,0.072332,0.101257
H2406,4.0,3.0,4.0,0.004022,-0.002688,0.003256
H2416,7.0,5.0,8.0,0.080451,0.072332,0.101257
H2417,7.0,5.0,8.0,0.080451,0.072332,0.101257
H2419,7.0,5.0,8.0,0.080451,0.072332,0.101257
H2422,6.0,5.0,8.0,0.059788,0.072332,0.101257
H2425,6.0,5.0,8.0,0.059788,0.072332,0.101257
H2441,,,,,,
H2445,,,,,,
H2450,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H2456,7.0,5.0,8.0,0.080451,0.072332,0.101257
H2458,7.0,5.0,8.0,0.080451,0.072332,0.101257
H2459,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
H2461,1.0,1.0,1.0,-0.058259,-0.033144,-0.063262
