Year,MeasureCode,MeasureName,Part,Weight,WeightCategory,DataSource
2026,C01,Breast Cancer Screening,Part C (health plan),1,Process,HEDIS (claims and records)
2026,C02,Colorectal Cancer Screening,Part C (health plan),1,Process,HEDIS (claims and records)
2026,C03,Annual Flu Vaccine,Part C (health plan),1,Process,CAHPS survey
2026,C04,Improving or Maintaining Physical Health,Part C (health plan),1,Outcome,HOS survey
2026,C05,Improving or Maintaining Mental Health,Part C (health plan),1,Outcome,HOS survey
2026,C06,Monitoring Physical Activity,Part C (health plan),1,Process,HOS survey
2026,C07,Special Needs Plan (SNP) Care Management,Part C (health plan),1,Process,HEDIS (claims and records)
2026,C08,Care for Older Adults – Medication Review,Part C (health plan),1,Process,HEDIS (claims and records)
2026,C09,Care for Older Adults – Pain Assessment,Part C (health plan),1,Process,HEDIS (claims and records)
2026,C10,Osteoporosis Management in Women who had a Fracture,Part C (health plan),1,Process,HEDIS (claims and records)
2026,C11,Diabetes Care – Eye Exam,Part C (health plan),1,Process,HEDIS (claims and records)
2026,C12,Diabetes Care – Blood Sugar Controlled,Part C (health plan),3,Intermediate Outcome,HEDIS (claims and records)
2026,C13,Kidney Health Evaluation for Patients with Diabetes,Part C (health plan),1,Process,HEDIS (claims and records)
2026,C14,Controlling High Blood Pressure,Part C (health plan),3,Intermediate Outcome,HEDIS (claims and records)
2026,C15,Reducing the Risk of Falling,Part C (health plan),1,Process,HOS survey
2026,C16,Improving Bladder Control,Part C (health plan),1,Process,HOS survey
2026,C17,Medication Reconciliation Post-Discharge,Part C (health plan),1,Process,HEDIS (claims and records)
2026,C18,Plan All-Cause Readmissions,Part C (health plan),3,Outcome,HEDIS (claims and records)
2026,C19,Statin Therapy for Patients with Cardiovascular Disease,Part C (health plan),1,Process,HEDIS (claims and records)
2026,C20,Transitions of Care,Part C (health plan),1,Process,HEDIS (claims and records)
2026,C21,Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions,Part C (health plan),1,Process,HEDIS (claims and records)
2026,C22,Getting Needed Care,Part C (health plan),2,Patients' Experience,CAHPS survey
2026,C23,Getting Appointments and Care Quickly,Part C (health plan),2,Patients' Experience,CAHPS survey
2026,C24,Customer Service,Part C (health plan),2,Patients' Experience,CAHPS survey
2026,C25,Rating of Health Care Quality,Part C (health plan),2,Patients' Experience,CAHPS survey
2026,C26,Rating of Health Plan,Part C (health plan),2,Patients' Experience,CAHPS survey
2026,C27,Care Coordination,Part C (health plan),2,Patients' Experience,CAHPS survey
2026,C28,Complaints about the Health Plan,Part C (health plan),2,Patients' Experience,CMS complaints database
2026,C29,Members Choosing to Leave the Plan,Part C (health plan),2,Patients' Experience,CMS enrollment records
2026,C30,Health Plan Quality Improvement,Part C (health plan),5,Improvement,Computed from the plan's own prior year
2026,C31,Plan Makes Timely Decisions about Appeals,Part C (health plan),2,Access,CMS independent review entity
2026,C32,Reviewing Appeals Decisions,Part C (health plan),2,Access,CMS independent review entity
2026,C33,Call Center – Foreign Language Interpreter and TTY Availability,Part C (health plan),2,Access,CMS secret shopper calls
2026,D01,Call Center – Foreign Language Interpreter and TTY Availability,Part D (drug plan),2,Access,CMS secret shopper calls
2026,D02,Complaints about the Drug Plan,Part D (drug plan),2,Patients' Experience,CMS complaints database
2026,D03,Members Choosing to Leave the Plan,Part D (drug plan),2,Patients' Experience,CMS enrollment records
2026,D04,Drug Plan Quality Improvement,Part D (drug plan),5,Improvement,Computed from the plan's own prior year
2026,D05,Rating of Drug Plan,Part D (drug plan),2,Patients' Experience,CAHPS survey
2026,D06,Getting Needed Prescription Drugs,Part D (drug plan),2,Patients' Experience,CAHPS survey
2026,D07,MPF Price Accuracy,Part D (drug plan),1,Process,Plan submitted pricing files
2026,D08,Medication Adherence for Diabetes Medications,Part D (drug plan),3,Intermediate Outcome,Pharmacy claims (PQA)
2026,D09,Medication Adherence for Hypertension (RAS antagonists),Part D (drug plan),3,Intermediate Outcome,Pharmacy claims (PQA)
2026,D10,Medication Adherence for Cholesterol (Statins),Part D (drug plan),3,Intermediate Outcome,Pharmacy claims (PQA)
2026,D11,MTM Program Completion Rate for CMR,Part D (drug plan),1,Process,Plan reported to CMS
2026,D12,Statin Use in Persons with Diabetes (SUPD),Part D (drug plan),1,Process,Pharmacy claims (PQA)
