2024 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
E3014 ,Pennsylvania Public School Employees Retirement Sy ,PSERS HOP PROGRAM ,Commonwealth of PA Pub Schools Retirement System ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
H0028 ,Humana ,"CHA HMO, INC. ",Humana Inc. ,19%,22%,19%,Not Available ,13%
H0029 ,Allwell ,"COORDINATED CARE OF WASHINGTON, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0034 ,"Hamaspik, Inc. ","HAMASPIK, INC. ","Hamaspik of Rockland County, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0062 ,Wellcare by Allwell ,"SUPERIOR HEALTHPLAN, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0074 ,Wellcare ,"WELLCARE OF MISSISSIPPI, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0088 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0104 ,Blue Cross and Blue Shield of Alabama ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,BlueCross BlueShield of Alabama ,8%,2%,21%,Not Available ,7%
H0107 ,Blue Cross and Blue Shield of Montana ,HEALTH CARE SERVICE CORPORATION ,Health Care Service Corporation ,11%,6%,36%,9%,11%
H0111 ,Wellcare ,"WELLCARE OF GEORGIA, INC. ",Centene Corporation ,22%,32%,21%,Not Available ,15%
H0154 ,VIVA Medicare ,"VIVA HEALTH, INC. ","Triton Health Systems, L.L.C. ",9%,17%,16%,3%,6%
H0169 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",6%,13%,9%,4%,10%
H0174 ,Wellcare ,"WELLCARE OF TEXAS, INC. ",Centene Corporation ,26%,31%,21%,17%,19%
H0251 ,UnitedHealthcare ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ","UnitedHealth Group, Inc. ",9%,21%,4%,3%,5%
H0270 ,Wellcare ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0271 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",15%,12%,12%,Not Available ,13%
H0292 ,Humana ,"HUMANA HEALTH PLAN OF OHIO, INC. ",Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0294 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",12%,15%,26%,9%,11%
H0302 ,Blue Cross Blue Shield of Arizona (AZ Blue) ,"MEDISUN, INC. ",Blue Cross Blue Shield of Arizona ,13%,18%,24%,6%,9%
