2024 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Monitoring Physical Activity,C05: Special Needs Plan (SNP) Care Management,C06: Care for Older Adults – Medication Review,C07: Care for Older Adults – Pain Assessment,C08: Osteoporosis Management in Women who had a Fracture,C09: Diabetes Care – Eye Exam,C10: Diabetes Care – Blood Sugar Controlled,C11: Controlling High Blood Pressure,C12: Reducing the Risk of Falling,C13: Improving Bladder Control,C14: Medication Reconciliation Post-Discharge,C15: Plan All-Cause Readmissions,C16: Statin Therapy for Patients with Cardiovascular Disease,C17: Transitions of Care,C18: Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions,C19: Getting Needed Care,C20: Getting Appointments and Care Quickly,C21: Customer Service,C22: Rating of Health Care Quality,C23: Rating of Health Plan,C24: Care Coordination,C25: Complaints about the Health Plan,C26: Members Choosing to Leave the Plan,C27: Health Plan Quality Improvement,C28: Plan Makes Timely Decisions about Appeals,C29: Reviewing Appeals Decisions,C30: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Complaints about the Drug Plan,D03: Members Choosing to Leave the Plan,D04: Drug Plan Quality Improvement,D05: Rating of Drug Plan,D06: Getting Needed Prescription Drugs,D07: MPF Price Accuracy,D08: Medication Adherence for Diabetes Medications,D09: Medication Adherence for Hypertension (RAS antagonists),D10: Medication Adherence for Cholesterol (Statins),D11: MTM Program Completion Rate for CMR,D12: Statin Use in Persons with Diabetes (SUPD)
,,,,,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,03/2023 – 06/2023,07/19/2022 – 11/01/2022,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,07/19/2022 – 11/01/2022,07/19/2022 – 11/01/2022,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,03/2023 – 06/2023,03/2023 – 06/2023,03/2023 – 06/2023,03/2023 – 06/2023,03/2023 – 06/2023,03/2023 – 06/2023,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,Not Applicable,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,02/2023– 05/2023,02/2023– 05/2023,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,Not Applicable,03/2023 – 06/2023,03/2023 – 06/2023,01/01/2022 – 9/30/2022,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022,01/01/2022 – 12/31/2022
E3014 ,Employer/Union Only Direct Contract PDP ,PSERS HOP PROGRAM ,Pennsylvania Public School Employees Retirement Sy ,Commonwealth of PA Pub Schools Retirement System ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,0.01,Not enough data available ,Medicare shows only a Star Rating for this topic ,88,92,Not enough data available ,89%,91%,89%,66%,85%
H0022 ,Demo ,"BUCKEYE COMMUNITY HEALTH PLAN, INC. ",Buckeye Health Plan - MyCare Ohio ,Centene Corporation ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0028 ,Local CCP ,"CHA HMO, INC. ",Humana ,Humana Inc. ,74%,75%,73%,58%,77%,95%,97%,44%,79%,85%,75%,62%,44%,85%,10%,86%,63%,64%,80,75,92,87,88,84,0.13,19%,Medicare shows only a Star Rating for this topic ,98%,97%,97%,100%,0.13,19%,Medicare shows only a Star Rating for this topic ,89,89,88,86%,89%,88%,84%,88%
H0029 ,Local CCP ,"COORDINATED CARE OF WASHINGTON, INC. ",Allwell ,Centene Corporation ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,No data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,No data available ,Not enough data available ,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Plan not required to report ,Not enough data available
H0034 ,Local CCP ,"HAMASPIK, INC. ","Hamaspik, Inc. ","Hamaspik of Rockland County, Inc. ",Not enough data available ,Not enough data available ,Plan too small to be measured ,66%,CMS identified issues with this plan's data ,76%,75%,Not enough data available ,25%,39%,63%,Not enough data available ,Not enough data available ,14%,No data available ,Not enough data available ,23%,No data available ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,0.83,19%,Not enough data available ,Not enough data available ,Not enough data available ,86%,89%,0.83,19%,Medicare shows only a Star Rating for this topic ,Plan too small to be measured ,Plan too small to be measured ,86,85%,85%,80%,95%,85%
H0062 ,Local CCP ,"SUPERIOR HEALTHPLAN, INC. ",Wellcare by Allwell ,Centene Corporation ,66%,62%,Plan too small to be measured ,58%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,69%,71%,59%,Not enough data available ,Not enough data available ,42%,No data available ,94%,34%,43%,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,0.2,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,0.2,Not enough data available ,Medicare shows only a Star Rating for this topic ,Plan too small to be measured ,Plan too small to be measured ,98,84%,85%,84%,83%,91%
H0074 ,Local CCP ,"WELLCARE OF MISSISSIPPI, INC. ",Wellcare ,Centene Corporation ,77%,56%,63%,46%,No data available ,No data available ,No data available ,Not enough data available ,63%,56%,51%,Not enough data available ,Not enough data available ,50%,No data available ,Not enough data available ,36%,57%,82,74,90,83,84,88,0.79,49%,Not enough data available ,Not enough data available ,Not enough data available ,97%,100%,0.79,49%,Medicare shows only a Star Rating for this topic ,85,91,98,80%,82%,81%,88%,85%
H0088 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF NEW YORK, INC. ",Wellcare ,Centene Corporation ,Not enough data available ,42%,64%,45%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,60%,68%,59%,Not enough data available ,Not enough data available ,32%,No data available ,Not enough data available ,32%,35%,72,Not enough data available ,Not enough data available ,Not enough data available ,77,Not enough data available ,3.31,40%,Not enough data available ,Not enough data available ,Not enough data available ,98%,100%,3.31,40%,Medicare shows only a Star Rating for this topic ,77,Not enough data available ,99,82%,80%,82%,83%,80%
