2025 CAI View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Puerto Rico Only,Part C FAC,Part D MA-PD FAC,Part D PDP FAC,Overall FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3014 ,Pennsylvania Public School Employees Retirement Sy ,PSERS HOP PROGRAM ,Commonwealth of PA Pub Schools Retirement System ,No ,N/A ,N/A ,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0028 ,Humana ,"CHA HMO, INC. ",Humana Inc. ,No ,4,3,N/A ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0029 ,Allwell ,"COORDINATED CARE OF WASHINGTON, INC. ",Centene Corporation ,No ,N/A ,N/A ,N/A ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0034 ,"Hamaspik, Inc. ","HAMASPIK, INC. ","Hamaspik of Rockland County, Inc. ",No ,7,5,N/A ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0062 ,Wellcare by Allwell ,"SUPERIOR HEALTHPLAN, INC. ",Centene Corporation ,No ,N/A ,N/A ,N/A ,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0074 ,Wellcare ,"WELLCARE OF MISSISSIPPI, INC. ",Centene Corporation ,No ,5,5,N/A ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0104 ,Blue Cross and Blue Shield of Alabama ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,BlueCross BlueShield of Alabama ,No ,3,2,N/A ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0107 ,Blue Cross and Blue Shield of Montana ,HEALTH CARE SERVICE CORPORATION ,Health Care Service Corporation ,No ,1,1,N/A ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0111 ,Wellcare ,"WELLCARE OF GEORGIA, INC. ",Centene Corporation ,No ,5,4,N/A ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0154 ,VIVA Medicare ,"VIVA HEALTH, INC. ","Triton Health Systems, L.L.C. ",No ,5,5,N/A ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0169 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",No ,8,6,N/A ,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
