2025 Domain Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,HD4: Member Complaints and Changes in the Health Plan's Performance,HD5: Health Plan Customer Service,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD3: Member Experience with the Drug Plan,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3014 ,Employer/Union Only Direct Contract PDP ,PSERS HOP PROGRAM ,Pennsylvania Public School Employees Retirement Sy ,Commonwealth of PA Pub Schools Retirement System ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0022 ,Demo ,"BUCKEYE COMMUNITY HEALTH PLAN, INC. ",Buckeye Health Plan - MyCare Ohio ,Centene Corporation ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0028 ,Local CCP ,"CHA HMO, INC. ",Humana ,Humana Inc. ,3,4,4,3,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0029 ,Local CCP ,"COORDINATED CARE OF WASHINGTON, INC. ",Allwell ,Centene Corporation ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0034 ,Local CCP ,"HAMASPIK, INC. ","Hamaspik, Inc. ","Hamaspik of Rockland County, Inc. ",2,3,2,4,3,4,3,Not enough data available ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0062 ,Local CCP ,"SUPERIOR HEALTHPLAN, INC. ",Wellcare by Allwell ,Centene Corporation ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0074 ,Local CCP ,"WELLCARE OF MISSISSIPPI, INC. ",Wellcare ,Centene Corporation ,2,2,4,3,Not enough data available ,5,3,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0104 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,Blue Cross and Blue Shield of Alabama ,BlueCross BlueShield of Alabama ,4,3,5,5,4,5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0107 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,Blue Cross and Blue Shield of Montana ,Health Care Service Corporation ,4,3,3,5,5,5,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0111 ,Local CCP ,"WELLCARE OF GEORGIA, INC. ",Wellcare ,Centene Corporation ,3,3,3,3,3,5,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0137 ,Demo ,"COMMONWEALTH CARE ALLIANCE, INC. ",Commonwealth Care Alliance Massachusetts ,"Commonwealth Care Alliance, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0154 ,Local CCP ,"VIVA HEALTH, INC. ",VIVA Medicare ,"Triton Health Systems, L.L.C. ",3,4,5,4,3,1,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0169 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",3,4,3,3,4,5,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0174 ,Local CCP ,"WELLCARE OF TEXAS, INC. ",Wellcare ,Centene Corporation ,3,3,4,3,3,5,3,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0192 ,Demo ,"AMERIHEALTH MICHIGAN, INC. ",AmeriHealth Caritas VIP Care Plus ,"Independence Health Group, Inc. ",Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0251 ,Local CCP ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",2,3,4,5,4,5,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0270 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,Wellcare ,Centene Corporation ,2,3,Not enough data available ,3,Not enough data available ,5,3,Not enough data available ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
