2025 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Monitoring Physical Activity,C05: Special Needs Plan (SNP) Care Management,C06: Care for Older Adults – Medication Review,C07: Care for Older Adults – Pain Assessment,C08: Osteoporosis Management in Women who had a Fracture,C09: Diabetes Care – Eye Exam,C10: Diabetes Care – Blood Sugar Controlled,C11: Controlling High Blood Pressure,C12: Reducing the Risk of Falling,C13: Improving Bladder Control,C14: Medication Reconciliation Post-Discharge,C15: Plan All-Cause Readmissions,C16: Statin Therapy for Patients with Cardiovascular Disease,C17: Transitions of Care,C18: Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions,C19: Getting Needed Care,C20: Getting Appointments and Care Quickly,C21: Customer Service,C22: Rating of Health Care Quality,C23: Rating of Health Plan,C24: Care Coordination,C25: Complaints about the Health Plan,C26: Members Choosing to Leave the Plan,C27: Health Plan Quality Improvement,C28: Plan Makes Timely Decisions about Appeals,C29: Reviewing Appeals Decisions,C30: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Complaints about the Drug Plan,D03: Members Choosing to Leave the Plan,D04: Drug Plan Quality Improvement,D05: Rating of Drug Plan,D06: Getting Needed Prescription Drugs,D07: MPF Price Accuracy,D08: Medication Adherence for Diabetes Medications,D09: Medication Adherence for Hypertension (RAS antagonists),D10: Medication Adherence for Cholesterol (Statins),D11: MTM Program Completion Rate for CMR,D12: Statin Use in Persons with Diabetes (SUPD)
,,,,,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,03/2024 – 06/2024,07/17/2023 – 11/01/2023,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,07/17/2023 – 11/01/2023,07/17/2023 – 11/01/2023,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,03/2024 – 06/2024,03/2024 – 06/2024,03/2024 – 06/2024,03/2024 – 06/2024,03/2024 – 06/2024,03/2024 – 06/2024,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,Not Applicable,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,02/2024 – 05/2024,02/2024 – 05/2024,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,Not Applicable,03/2024 – 06/2024,03/2024 – 06/2024,01/01/2023 – 9/30/2023,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023,01/01/2023 – 12/31/2023
E3014 ,Employer/Union Only Direct Contract PDP ,PSERS HOP PROGRAM ,Pennsylvania Public School Employees Retirement Sy ,Commonwealth of PA Pub Schools Retirement System ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,0.01,Not enough data available ,Medicare shows only a Star Rating for this topic ,89,93,Not enough data available ,89%,91%,89%,68%,86%
H0022 ,Demo ,"BUCKEYE COMMUNITY HEALTH PLAN, INC. ",Buckeye Health Plan - MyCare Ohio ,Centene Corporation ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
H0028 ,Local CCP ,"CHA HMO, INC. ",Humana ,Humana Inc. ,76%,76%,67%,51%,80%,97%,98%,45%,81%,87%,78%,60%,43%,85%,11%,86%,66%,60%,81,84,91,86,88,85,0.15,19%,Medicare shows only a Star Rating for this topic ,98%,98%,98%,97%,0.15,19%,Medicare shows only a Star Rating for this topic ,89,90,84,86%,90%,89%,86%,88%
H0029 ,Local CCP ,"COORDINATED CARE OF WASHINGTON, INC. ",Allwell ,Centene Corporation ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,No data available ,No data available ,No data available ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,No data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,No data available ,Not enough data available ,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not required to report ,Not enough data available
H0034 ,Local CCP ,"HAMASPIK, INC. ","Hamaspik, Inc. ","Hamaspik of Rockland County, Inc. ",47%,31%,63%,51%,83%,79%,99%,Not enough data available ,68%,70%,70%,89%,Not enough data available ,31%,No data available ,Not enough data available ,35%,61%,75,82,87,Not enough data available ,80,Not enough data available ,0.29,23%,Not enough data available ,94%,81%,95%,95%,0.29,23%,Medicare shows only a Star Rating for this topic ,82,Not enough data available ,88,83%,83%,79%,92%,85%
H0062 ,Local CCP ,"SUPERIOR HEALTHPLAN, INC. ",Wellcare by Allwell ,Centene Corporation ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,No data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,No data available ,Not enough data available ,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not required to report ,Not enough data available
H0074 ,Local CCP ,"WELLCARE OF MISSISSIPPI, INC. ",Wellcare ,Centene Corporation ,71%,62%,61%,42%,64%,92%,85%,Not enough data available ,71%,71%,61%,43%,Not enough data available ,55%,No data available ,82%,47%,55%,84,86,91,Not enough data available ,84,Not enough data available ,0.41,41%,Medicare shows only a Star Rating for this topic ,Not enough data available ,Not enough data available ,98%,100%,0.41,41%,Medicare shows only a Star Rating for this topic ,86,Not enough data available ,98,85%,85%,83%,94%,81%
H0104 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,Blue Cross and Blue Shield of Alabama ,BlueCross BlueShield of Alabama ,77%,84%,67%,47%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,30%,78%,87%,73%,47%,49%,90%,11%,80%,74%,52%,83,87,92,88,90,86,0.04,4%,Medicare shows only a Star Rating for this topic ,98%,98%,97%,100%,0.04,4%,Medicare shows only a Star Rating for this topic ,87,90,99,82%,88%,86%,81%,83%
H0107 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,Blue Cross and Blue Shield of Montana ,Health Care Service Corporation ,75%,75%,82%,52%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,25%,71%,84%,76%,48%,51%,58%,10%,83%,50%,56%,81,83,90,86,87,86,0.12,2%,Medicare shows only a Star Rating for this topic ,99%,97%,100%,100%,0.12,2%,Medicare shows only a Star Rating for this topic ,83,89,98,86%,90%,88%,92%,83%
H0111 ,Local CCP ,"WELLCARE OF GEORGIA, INC. ",Wellcare ,Centene Corporation ,68%,66%,63%,52%,65%,95%,88%,37%,64%,76%,67%,57%,46%,62%,11%,84%,56%,53%,81,84,89,86,85,85,0.33,39%,Medicare shows only a Star Rating for this topic ,71%,88%,98%,100%,0.33,39%,Medicare shows only a Star Rating for this topic ,86,88,98,85%,88%,86%,96%,82%
H0137 ,Demo ,"COMMONWEALTH CARE ALLIANCE, INC. ",Commonwealth Care Alliance Massachusetts ,"Commonwealth Care Alliance, Inc. ",No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available ,No data available
