2026 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
E3014 ,Pennsylvania Public School Employees Retirement Sy ,PSERS HOP PROGRAM ,Commonwealth of PA Pub Schools Retirement System ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
H0028 ,Humana ,"CHA HMO, INC. ",Humana Inc. ,15%,20%,13%,Not Available ,12%
H0029 ,Wellcare ,"COORDINATED CARE OF WASHINGTON, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0034 ,"Hamaspik, Inc. ","HAMASPIK, INC. ","Hamaspik of Rockland County, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0062 ,Wellcare By Allwell ,"SUPERIOR HEALTHPLAN, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0074 ,Wellcare ,"WELLCARE OF MISSISSIPPI, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0104 ,Blue Cross and Blue Shield of Alabama ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,BlueCross BlueShield of Alabama ,7%,7%,36%,Not Available ,6%
H0107 ,Blue Cross and Blue Shield of Montana ,HEALTH CARE SERVICE CORPORATION ,Health Care Service Corporation ,9%,14%,23%,10%,13%
H0111 ,Wellcare ,"WELLCARE OF GEORGIA, INC. ",Centene Corporation ,26%,25%,24%,16%,16%
H0154 ,VIVA Medicare ,"VIVA HEALTH, INC. ","Triton Health Systems, L.L.C. ",9%,16%,9%,5%,5%
H0169 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0174 ,Wellcare ,"WELLCARE OF TEXAS, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0251 ,UnitedHealthcare ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0270 ,Wellcare ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0292 ,Humana ,"HUMANA HEALTH PLAN OF OHIO, INC. ",Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0294 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",13%,28%,18%,Not Available ,10%
H0302 ,Blue Cross Blue Shield of Arizona (AZ Blue) ,"MEDISUN, INC. ",Blue Cross Blue Shield of Arizona ,Not Available ,22%,16%,7%,10%
H0321 ,UnitedHealthcare ,"ARIZONA PHYSICIANS IPA, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0332 ,KelseyCare Advantage ,"KS PLAN ADMINISTRATORS, LLC ","UnitedHealth Group, Inc. ",12%,11%,16%,Not Available ,13%
H0342 ,CarePartners of Connecticut ,"CAREPARTNERS OF CONNECTICUT, INC. ","Point32Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0351 ,Wellcare By Allwell ,"HEALTH NET OF ARIZONA, INC. ",Centene Corporation ,26%,20%,27%,16%,19%
H0354 ,Cigna HealthCare ,"BRAVO HEALTH PENNSYLVANIA, INC. ",Health Care Service Corporation ,24%,31%,16%,10%,14%
H0363 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF COLORADO, INC. ","Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0413 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY OF DELAWARE ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0421 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0423 ,MetroPlus Health Plan ,"METROPLUS HEALTH PLAN, INC. ",New York City Health and Hospitals Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0432 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ","UnitedHealth Group, Inc. ",13%,15%,16%,Not Available ,8%
H0439 ,Cigna HealthCare ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",Health Care Service Corporation ,Not Available ,10%,15%,Not Available ,5%
H0473 ,Humana ,HUMANA INSURANCE COMPANY OF KENTUCKY ,Humana Inc. ,14%,39%,19%,Not Available ,7%
H0504 ,Blue Shield of California ,CALIFORNIA PHYSICIANS' SERVICE ,California Physicians' Service ,9%,31%,19%,7%,7%
H0523 ,Aetna Medicare ,AETNA HEALTH OF CALIFORNIA INC. ,CVS Health Corporation ,21%,41%,13%,Not Available ,15%
H0524 ,Kaiser Permanente ,"KAISER FOUNDATION HP, INC. ","Kaiser Foundation Health Plan, Inc. ",20%,17%,17%,9%,16%
H0543 ,UnitedHealthcare ,UHC OF CALIFORNIA ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0544 ,Anthem Blue Cross ,BLUE CROSS OF CALIFORNIA ,"Elevance Health, Inc. ",17%,32%,11%,Not Available ,13%
H0562 ,Wellcare By Health Net ,"HEALTH NET OF CALIFORNIA, INC. ",Centene Corporation ,11%,28%,20%,Not Available ,11%
H0571 ,CCHP (Chinese Community Health Plan) ,CHINESE COMMUNITY HEALTH PLAN ,Chinese Hospital Association ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0609 ,UnitedHealthcare ,"UnitedHealthcare Benefits of Texas, Inc. ","UnitedHealth Group, Inc. ",12%,17%,18%,Not Available ,11%
H0624 ,UnitedHealthcare ,"UnitedHealthcare Benefits of Texas, Inc. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0628 ,Aetna Medicare ,AETNA HEALTH OF OHIO INC. ,CVS Health Corporation ,11%,14%,14%,9%,8%
H0629 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ","Elevance Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H0630 ,Kaiser Permanente ,KAISER FOUNDATION HP OF CO ,"Kaiser Foundation Health Plan, Inc. ",33%,24%,14%,8%,18%
H0672 ,Cigna HealthCare ,"CIGNA HEALTHCARE OF COLORADO, INC. ",Health Care Service Corporation ,Not Available ,36%,13%,Not Available ,14%
H0710 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H0712 ,Wellcare ,"WELLCARE OF CONNECTICUT, INC. ",Centene Corporation ,28%,28%,11%,Not Available ,10%
