2026 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Special Needs Plan (SNP) Care Management,C08: Care for Older Adults – Medication Review,C09: Care for Older Adults – Pain Assessment,C10: Osteoporosis Management in Women who had a Fracture,C11: Diabetes Care – Eye Exam,C12: Diabetes Care – Blood Sugar Controlled,C13: Kidney Health Evaluation for Patients with Diabetes,C14: Controlling High Blood Pressure,C15: Reducing the Risk of Falling,C16: Improving Bladder Control,C17: Medication Reconciliation Post-Discharge,C18: Plan All-Cause Readmissions,C19: Statin Therapy for Patients with Cardiovascular Disease,C20: Transitions of Care,C21: Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions,C22: Getting Needed Care,C23: Getting Appointments and Care Quickly,C24: Customer Service,C25: Rating of Health Care Quality,C26: Rating of Health Plan,C27: Care Coordination,C28: Complaints about the Health Plan,C29: Members Choosing to Leave the Plan,C30: Health Plan Quality Improvement,C31: Plan Makes Timely Decisions about Appeals,C32: Reviewing Appeals Decisions,C33: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Complaints about the Drug Plan,D03: Members Choosing to Leave the Plan,D04: Drug Plan Quality Improvement,D05: Rating of Drug Plan,D06: Getting Needed Prescription Drugs,D07: MPF Price Accuracy,D08: Medication Adherence for Diabetes Medications,D09: Medication Adherence for Hypertension (RAS antagonists),D10: Medication Adherence for Cholesterol (Statins),D11: MTM Program Completion Rate for CMR,D12: Statin Use in Persons with Diabetes (SUPD)
,,,,,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,03/2025 – 05/2025,07/17/2024 – 11/01/2024,07/17/2024 – 11/01/2024,07/17/2024 – 11/01/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,07/17/2024 – 11/01/2024,07/17/2024 – 11/01/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,03/2025 – 05/2025,03/2025 – 05/2025,03/2025 – 05/2025,03/2025 – 05/2025,03/2025 – 05/2025,03/2025 – 05/2025,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,Not Applicable,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,02/2025 – 05/2025,02/2025 – 05/2025,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,Not Applicable,03/2025 – 05/2025,03/2025 – 05/2025,01/01/2024 – 9/30/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024
E3014 ,Employer/Union Only Direct Contract PDP ,PSERS HOP PROGRAM ,Pennsylvania Public School Employees Retirement Sy ,Commonwealth of PA Pub Schools Retirement System ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,0.01,Not enough data available ,Medicare shows only a Star Rating for this topic ,87,93,Plan not required to report measure ,89%,91%,89%,73%,86%
H0028 ,Local CCP ,"CHA HMO, INC. ",Humana ,Humana Inc. ,76%,75%,68%,Not enough data available ,Not enough data available ,54%,85%,98%,99%,48%,82%,89%,72%,82%,55%,42%,89%,10%,87%,74%,59%,81,82,89,87,85,85,0.16,21%,Medicare shows only a Star Rating for this topic ,99%,98%,100%,100%,0.16,21%,Medicare shows only a Star Rating for this topic ,87,89,84,86%,90%,89%,93%,89%
H0029 ,Local CCP ,"COORDINATED CARE OF WASHINGTON, INC. ",Wellcare ,Centene Corporation ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,No data available ,No data available ,No data available ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,No data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,100%,100%,No data available ,Not enough data available ,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not required to report ,Not enough data available
H0034 ,Local CCP ,"HAMASPIK, INC. ","Hamaspik, Inc. ","Hamaspik of Rockland County, Inc. ",61%,51%,68%,Not enough data available ,Not enough data available ,55%,91%,96%,100%,Not enough data available ,82%,77%,63%,86%,86%,54%,79%,13%,88%,66%,73%,78,82,87,85,83,88,0.12,18%,Medicare shows only a Star Rating for this topic ,Not enough data available ,Not enough data available ,95%,97%,0.12,18%,Medicare shows only a Star Rating for this topic ,86,89,91,85%,83%,82%,97%,93%
H0062 ,Local CCP ,"SUPERIOR HEALTHPLAN, INC. ",Wellcare By Allwell ,Centene Corporation ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Plan too small to be measured ,No data available ,No data available ,No data available ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,No data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,No data available ,Not enough data available ,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not required to report ,Not enough data available
H0074 ,Local CCP ,"WELLCARE OF MISSISSIPPI, INC. ",Wellcare ,Centene Corporation ,75%,69%,61%,Not enough data available ,Not enough data available ,50%,74%,92%,89%,Not enough data available ,70%,77%,50%,69%,Not enough data available ,Not enough data available ,61%,15%,82%,50%,46%,87,91,91,89,86,Not enough data available ,0.39,40%,Medicare shows only a Star Rating for this topic ,Not enough data available ,Not enough data available ,100%,100%,0.39,40%,Medicare shows only a Star Rating for this topic ,85,Not enough data available ,99,88%,89%,86%,91%,88%
H0104 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,Blue Cross and Blue Shield of Alabama ,BlueCross BlueShield of Alabama ,78%,81%,62%,67%,86%,44%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,33%,75%,90%,66%,77%,45%,46%,90%,10%,83%,76%,55%,87,88,92,89,89,86,0.03,5%,Medicare shows only a Star Rating for this topic ,100%,100%,100%,97%,0.03,5%,Medicare shows only a Star Rating for this topic ,87,91,99,82%,89%,87%,86%,84%
H0107 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,Blue Cross and Blue Shield of Montana ,Health Care Service Corporation ,80%,73%,78%,73%,85%,53%,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,26%,70%,84%,60%,74%,52%,44%,62%,9%,84%,52%,64%,83,84,90,88,89,88,0.07,1%,Medicare shows only a Star Rating for this topic ,99%,97%,95%,98%,0.07,1%,Medicare shows only a Star Rating for this topic ,87,88,99,87%,89%,88%,94%,85%
H0111 ,Local CCP ,"WELLCARE OF GEORGIA, INC. ",Wellcare ,Centene Corporation ,71%,61%,63%,Not enough data available ,Not enough data available ,54%,74%,95%,92%,32%,70%,79%,57%,71%,55%,Not enough data available ,74%,10%,86%,62%,53%,82,Not enough data available ,91,86,85,Not enough data available ,0.33,34%,Medicare shows only a Star Rating for this topic ,90%,97%,100%,100%,0.33,34%,Medicare shows only a Star Rating for this topic ,85,88,99,86%,88%,88%,98%,84%
H0154 ,Local CCP ,"VIVA HEALTH, INC. ",VIVA Medicare ,"Triton Health Systems, L.L.C. ",77%,76%,62%,70%,84%,49%,90%,97%,97%,58%,87%,91%,68%,82%,60%,48%,89%,8%,85%,84%,60%,87,89,95,90,91,88,0.05,13%,Medicare shows only a Star Rating for this topic ,99%,97%,95%,92%,0.05,13%,Medicare shows only a Star Rating for this topic ,91,92,98,83%,88%,87%,91%,86%
H0169 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",70%,74%,64%,73%,82%,46%,79%,98%,99%,46%,86%,89%,56%,83%,64%,47%,66%,12%,87%,63%,59%,82,85,90,86,89,87,0.15,20%,Medicare shows only a Star Rating for this topic ,100%,99%,100%,100%,0.15,20%,Medicare shows only a Star Rating for this topic ,89,91,100,89%,89%,90%,91%,86%
H0174 ,Local CCP ,"WELLCARE OF TEXAS, INC. ",Wellcare ,Centene Corporation ,69%,65%,69%,Not enough data available ,Not enough data available ,50%,74%,97%,95%,29%,75%,84%,67%,78%,64%,Not enough data available ,77%,10%,86%,58%,50%,80,85,91,90,87,87,0.47,31%,Medicare shows only a Star Rating for this topic ,97%,98%,100%,100%,0.47,31%,Medicare shows only a Star Rating for this topic ,89,88,99,86%,87%,85%,96%,91%
H0251 ,Local CCP ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",65%,68%,54%,Not enough data available ,Not enough data available ,42%,77%,96%,98%,32%,83%,84%,52%,77%,61%,43%,69%,12%,82%,44%,59%,86,87,91,89,91,88,0.2,12%,Medicare shows only a Star Rating for this topic ,99%,99%,100%,100%,0.2,12%,Medicare shows only a Star Rating for this topic ,88,91,100,86%,87%,87%,95%,86%
