2026 Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Special Needs Plan (SNP) Care Management,C08: Care for Older Adults – Medication Review,C09: Care for Older Adults – Pain Assessment,C10: Osteoporosis Management in Women who had a Fracture,C11: Diabetes Care – Eye Exam,C12: Diabetes Care – Blood Sugar Controlled,C13: Kidney Health Evaluation for Patients with Diabetes,C14: Controlling High Blood Pressure,C15: Reducing the Risk of Falling,C16: Improving Bladder Control,C17: Medication Reconciliation Post-Discharge,C18: Plan All-Cause Readmissions,C19: Statin Therapy for Patients with Cardiovascular Disease,C20: Transitions of Care,C21: Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions,C22: Getting Needed Care,C23: Getting Appointments and Care Quickly,C24: Customer Service,C25: Rating of Health Care Quality,C26: Rating of Health Plan,C27: Care Coordination,C28: Complaints about the Health Plan,C29: Members Choosing to Leave the Plan,C30: Health Plan Quality Improvement,C31: Plan Makes Timely Decisions about Appeals,C32: Reviewing Appeals Decisions,C33: Call Center – Foreign Language Interpreter and TTY Availability,D01: Call Center – Foreign Language Interpreter and TTY Availability,D02: Complaints about the Drug Plan,D03: Members Choosing to Leave the Plan,D04: Drug Plan Quality Improvement,D05: Rating of Drug Plan,D06: Getting Needed Prescription Drugs,D07: MPF Price Accuracy,D08: Medication Adherence for Diabetes Medications,D09: Medication Adherence for Hypertension (RAS antagonists),D10: Medication Adherence for Cholesterol (Statins),D11: MTM Program Completion Rate for CMR,D12: Statin Use in Persons with Diabetes (SUPD)
,,,,,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,03/2025 – 05/2025,07/17/2024 – 11/01/2024,07/17/2024 – 11/01/2024,07/17/2024 – 11/01/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,07/17/2024 – 11/01/2024,07/17/2024 – 11/01/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,03/2025 – 05/2025,03/2025 – 05/2025,03/2025 – 05/2025,03/2025 – 05/2025,03/2025 – 05/2025,03/2025 – 05/2025,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,Not Applicable,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,02/2025 – 05/2025,02/2025 – 05/2025,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,Not Applicable,03/2025 – 05/2025,03/2025 – 05/2025,01/01/2024 – 9/30/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024,01/01/2024 – 12/31/2024
E3014 ,Employer/Union Only Direct Contract PDP ,PSERS HOP PROGRAM ,Pennsylvania Public School Employees Retirement Sy ,Commonwealth of PA Pub Schools Retirement System ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,5,Not enough data available ,1,4,5,Plan not required to report measure ,4,4,3,4,5
H0028 ,Local CCP ,"CHA HMO, INC. ",Humana ,Humana Inc. ,4,4,4,Not enough data available ,Not enough data available ,4,4,5,5,3,4,4,4,4,2,2,5,3,3,4,3,3,3,3,4,3,2,4,3,3,4,4,5,5,4,3,3,3,3,1,3,3,3,4,4
H0029 ,Local CCP ,"COORDINATED CARE OF WASHINGTON, INC. ",Wellcare ,Centene Corporation ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,No data available ,No data available ,No data available ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,No data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,5,5,No data available ,Not enough data available ,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not required to report ,Not enough data available
H0034 ,Local CCP ,"HAMASPIK, INC. ","Hamaspik, Inc. ","Hamaspik of Rockland County, Inc. ",2,2,4,Not enough data available ,Not enough data available ,4,5,4,5,Not enough data available ,4,3,4,5,5,5,4,1,4,3,4,2,3,1,2,1,4,4,3,5,Not enough data available ,Not enough data available ,3,4,4,3,4,2,3,1,2,1,1,5,5
H0062 ,Local CCP ,"SUPERIOR HEALTHPLAN, INC. ",Wellcare By Allwell ,Centene Corporation ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Plan too small to be measured ,No data available ,No data available ,No data available ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,No data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,No data available ,Not enough data available ,Not enough data available ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,Not enough data available ,Not enough data available ,Not enough data available ,Not required to report ,Not enough data available
H0074 ,Local CCP ,"WELLCARE OF MISSISSIPPI, INC. ",Wellcare ,Centene Corporation ,3,3,2,Not enough data available ,Not enough data available ,3,4,3,3,Not enough data available ,2,3,2,2,Not enough data available ,Not enough data available ,3,1,2,2,1,5,5,4,4,3,Not enough data available ,3,1,5,Not enough data available ,Not enough data available ,5,5,3,1,5,2,Not enough data available ,5,3,3,2,4,3
H0104 ,Local CCP ,BLUE CROSS AND BLUE SHIELD OF ALABAMA ,Blue Cross and Blue Shield of Alabama ,BlueCross BlueShield of Alabama ,4,5,2,2,4,2,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,2,3,4,4,3,1,3,5,3,2,4,2,5,5,5,5,5,3,5,5,4,5,5,5,4,5,5,4,3,4,5,1,3,2,3,2
H0107 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,Blue Cross and Blue Shield of Montana ,Health Care Service Corporation ,4,4,5,4,4,4,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,1,2,3,3,2,2,2,3,4,2,2,3,4,4,3,4,4,4,5,5,4,4,3,3,4,5,5,3,3,3,5,3,3,3,4,3
H0111 ,Local CCP ,"WELLCARE OF GEORGIA, INC. ",Wellcare ,Centene Corporation ,3,3,2,Not enough data available ,Not enough data available ,4,4,4,3,2,2,3,3,2,2,Not enough data available ,4,3,3,3,3,4,Not enough data available ,4,3,2,Not enough data available ,4,2,5,3,3,5,5,4,2,4,2,3,5,3,3,3,5,2
H0154 ,Local CCP ,"VIVA HEALTH, INC. ",VIVA Medicare ,"Triton Health Systems, L.L.C. ",4,4,2,3,3,3,5,4,4,4,5,5,4,4,3,3,5,4,3,5,3,5,5,5,5,5,4,5,4,4,4,3,3,3,5,4,2,5,5,4,2,3,2,4,3
H0169 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",2,4,2,4,2,2,4,5,5,3,5,4,3,4,4,3,3,2,3,3,3,4,4,3,3,4,3,4,3,4,5,4,5,5,4,3,5,4,4,5,4,3,4,4,3
H0174 ,Local CCP ,"WELLCARE OF TEXAS, INC. ",Wellcare ,Centene Corporation ,3,3,4,Not enough data available ,Not enough data available ,3,4,4,4,2,3,3,4,3,4,Not enough data available ,4,4,3,3,2,3,4,4,5,4,4,3,2,5,3,4,5,5,3,2,5,4,3,5,3,2,2,5,4
H0251 ,Local CCP ,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",2,3,1,Not enough data available ,Not enough data available ,2,4,4,4,2,4,3,3,3,3,2,3,2,2,2,3,5,5,4,5,5,4,4,4,4,4,4,5,5,4,4,3,4,5,5,3,2,2,4,3
H0270 ,Local CCP ,WELLCARE HEALTH INSURANCE COMPANY OF AMERICA ,Wellcare ,Centene Corporation ,1,3,Plan too small to be measured ,Not enough data available ,Not enough data available ,2,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,Not enough data available ,2,3,2,2,Not enough data available ,Not enough data available ,3,No data available ,No data available ,3,2,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Plan too small to be measured ,Not enough data available ,3,Not enough data available ,Not enough data available ,Not enough data available ,5,5,Not enough data available ,3,4,Plan too small to be measured ,Plan too small to be measured ,5,3,2,1,3,4
H0292 ,Local CCP ,"HUMANA HEALTH PLAN OF OHIO, INC. ",Humana ,Humana Inc. ,4,5,4,5,5,3,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,4,5,4,4,4,1,2,5,2,5,5,4,5,5,4,5,2,5,5,3,3,3,5,5,5,5,3,1,3,4,1,3,3,4,3,5
H0294 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",4,4,4,2,4,3,4,5,5,2,4,4,4,4,1,3,3,3,3,2,3,3,3,Not enough data available ,2,2,3,4,4,3,5,4,5,5,4,4,1,2,3,5,3,4,4,3,3
H0302 ,Local CCP ,"MEDISUN, INC. ",Blue Cross Blue Shield of Arizona (AZ Blue) ,Blue Cross Blue Shield of Arizona ,3,5,4,2,4,3,Plan not required to report measure ,Plan not required to report measure ,Plan not required to report measure ,4,3,4,5,5,2,3,5,4,4,5,4,4,2,5,4,5,3,5,5,5,3,4,5,4,5,5,4,4,5,5,4,4,4,5,5
H0321 ,Local CCP ,"ARIZONA PHYSICIANS IPA, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",2,4,3,3,2,4,4,4,5,3,4,4,4,3,4,3,3,2,2,1,3,3,Not enough data available ,Not enough data available ,3,5,Not enough data available ,4,4,4,3,4,5,5,4,4,3,4,Not enough data available ,5,2,2,1,4,3
