Plan,Month,"PCPs per 2,000 Members","Physicians per 1,200 Members"
AAH,2023-02-01,3,65
AAH,2023-03-01,3,64
AAH,2023-04-01,3,63
AAH,2023-05-01,3,62
AAH,2023-06-01,3,62
AAH,2023-07-01,3,62
AAH,2023-08-01,3,64
AAH,2023-09-01,3,65
AAH,2023-10-01,3,65
AAH,2023-11-01,3,66
AAH,2023-12-01,3,66
AAH,2024-01-01,3,25
Aetna,2023-02-01,22,90
Aetna,2023-03-01,23,88
Aetna,2023-04-01,22,87
Aetna,2023-05-01,22,86
Aetna,2023-06-01,22,92
Aetna,2023-07-01,22,92
Aetna,2023-08-01,23,93
Aetna,2023-09-01,23,94
Aetna,2023-10-01,24,99
Aetna,2023-11-01,26,105
Aetna,2023-12-01,29,116
Aetna,2024-01-01,0,0
AHF,2023-02-01,47,2067
AHF,2023-03-01,51,2081
AHF,2023-04-01,46,2066
AHF,2023-05-01,46,2140
AHF,2023-06-01,45,2129
AHF,2023-07-01,47,2100
AHF,2023-08-01,47,2175
AHF,2023-09-01,49,2170
AHF,2023-10-01,47,2220
AHF,2023-11-01,49,2208
AHF,2023-12-01,51,2185
AHF,2024-01-01,51,2163
Anthem,2023-02-01,4,20
Anthem,2023-03-01,4,20
Anthem,2023-04-01,4,18
Anthem,2023-05-01,4,20
Anthem,2023-06-01,4,20
Anthem,2023-07-01,4,20
Anthem,2023-08-01,4,19
Anthem,2023-09-01,4,20
Anthem,2023-10-01,5,21
Anthem,2023-11-01,5,22
Anthem,2023-12-01,5,23
Anthem,2024-01-01,6,29
Blue Shield,2023-02-01,9,35
Blue Shield,2023-03-01,9,34
Blue Shield,2023-04-01,8,32
Blue Shield,2023-05-01,9,31
Blue Shield,2023-06-01,8,32
Blue Shield,2023-07-01,8,32
Blue Shield,2023-08-01,8,31
Blue Shield,2023-09-01,8,32
Blue Shield,2023-10-01,8,32
Blue Shield,2023-11-01,7,31
Blue Shield,2023-12-01,7,29
Blue Shield,2024-01-01,5,23
CalOptima,2023-02-01,8,21
CalOptima,2023-03-01,8,21
CalOptima,2023-04-01,8,20
CalOptima,2023-05-01,8,20
CalOptima,2023-06-01,8,21
CalOptima,2023-07-01,8,21
CalOptima,2023-08-01,8,21
CalOptima,2023-09-01,8,21
CalOptima,2023-10-01,8,22
CalOptima,2023-11-01,8,23
CalOptima,2023-12-01,8,23
CalOptima,2024-01-01,2,8
CalViva,2023-02-01,2,5
CalViva,2023-03-01,2,5
CalViva,2023-04-01,2,5
CalViva,2023-05-01,2,5
CalViva,2023-06-01,2,5
CalViva,2023-07-01,2,5
CalViva,2023-08-01,2,5
CalViva,2023-09-01,2,6
CalViva,2023-10-01,2,5
CalViva,2023-11-01,2,6
CalViva,2023-12-01,0,1
CalViva,2024-01-01,2,6
CCAH,2023-02-01,3,35
CCAH,2023-03-01,3,35
CCAH,2023-04-01,2,35
CCAH,2023-05-01,2,35
CCAH,2023-06-01,2,35
CCAH,2023-07-01,2,35
CCAH,2023-08-01,2,37
CCAH,2023-09-01,2,37
CCAH,2023-10-01,3,38
CCAH,2023-11-01,3,39
CCAH,2023-12-01,3,39
CCAH,2024-01-01,2,36
CCHP,2023-02-01,9,42
CCHP,2023-03-01,9,41
CCHP,2023-04-01,9,41
CCHP,2023-05-01,9,40
