Month,Measure Category,Measure Type,Ethnicity Grouping,Count
202301,Eligibility,Member Months,Asian,"1,121,222"
202301,New Enrollments,New Enrollments,Asian,0
202301,State Fair Hearings,State Fair Hearings,Asian,12
202301,Utilization,Emergency Room Visits,Asian,"21,679"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,Asian,"3,471"
202301,Utilization,Inpatient Admissions,Asian,"10,291"
202301,Utilization,Mild to Moderate Mental Health Visits,Asian,"18,577"
202301,Utilization,Outpatient Visits,Asian,"1,225,778"
202301,Utilization,Prescriptions,Asian,"859,390"
202301,Eligibility,Member Months,Black or African-American,"949,212"
202301,New Enrollments,New Enrollments,Black or African-American,0
202301,State Fair Hearings,State Fair Hearings,Black or African-American,21
202301,Utilization,Emergency Room Visits,Black or African-American,"59,273"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,Black or African-American,"6,114"
202301,Utilization,Inpatient Admissions,Black or African-American,"16,445"
202301,Utilization,Mild to Moderate Mental Health Visits,Black or African-American,"36,880"
202301,Utilization,Outpatient Visits,Black or African-American,"1,083,304"
202301,Utilization,Prescriptions,Black or African-American,"683,362"
202301,Eligibility,Member Months,Hispanic,"6,766,874"
202301,New Enrollments,New Enrollments,Hispanic,0
202301,State Fair Hearings,State Fair Hearings,Hispanic,40
202301,Utilization,Emergency Room Visits,Hispanic,"274,646"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,Hispanic,"20,604"
202301,Utilization,Inpatient Admissions,Hispanic,"61,489"
202301,Utilization,Mild to Moderate Mental Health Visits,Hispanic,"199,781"
202301,Utilization,Outpatient Visits,Hispanic,"6,575,922"
202301,Utilization,Prescriptions,Hispanic,"3,972,961"
202301,Eligibility,Member Months,Native Hawaiian or Other Pacific Islander,"171,556"
202301,New Enrollments,New Enrollments,Native Hawaiian or Other Pacific Islander,0
202301,State Fair Hearings,State Fair Hearings,Native Hawaiian or Other Pacific Islander,2
202301,Utilization,Emergency Room Visits,Native Hawaiian or Other Pacific Islander,"5,980"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,Native Hawaiian or Other Pacific Islander,861
202301,Utilization,Inpatient Admissions,Native Hawaiian or Other Pacific Islander,"3,120"
202301,Utilization,Mild to Moderate Mental Health Visits,Native Hawaiian or Other Pacific Islander,"4,098"
202301,Utilization,Outpatient Visits,Native Hawaiian or Other Pacific Islander,"199,536"
202301,Utilization,Prescriptions,Native Hawaiian or Other Pacific Islander,"137,041"
202301,Eligibility,Member Months,Other/Unknown,"2,142,212"
202301,New Enrollments,New Enrollments,Other/Unknown,0
202301,State Fair Hearings,State Fair Hearings,Other/Unknown,31
202301,Utilization,Emergency Room Visits,Other/Unknown,"94,872"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,Other/Unknown,"8,848"
202301,Utilization,Inpatient Admissions,Other/Unknown,"31,932"
202301,Utilization,Mild to Moderate Mental Health Visits,Other/Unknown,"101,386"
202301,Utilization,Outpatient Visits,Other/Unknown,"2,232,201"
202301,Utilization,Prescriptions,Other/Unknown,"1,404,158"
202301,Eligibility,Member Months,White,"2,262,285"
202301,New Enrollments,New Enrollments,White,0
202301,State Fair Hearings,State Fair Hearings,White,41
202301,Utilization,Emergency Room Visits,White,"114,866"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,White,"12,159"
202301,Utilization,Inpatient Admissions,White,"46,054"
202301,Utilization,Mild to Moderate Mental Health Visits,White,"169,175"
202301,Utilization,Outpatient Visits,White,"3,026,180"
202301,Utilization,Prescriptions,White,"2,034,417"
202302,Eligibility,Member Months,Asian,"1,166,246"
202302,New Enrollments,New Enrollments,Asian,0
202302,State Fair Hearings,State Fair Hearings,Asian,15
202302,Utilization,Emergency Room Visits,Asian,"21,574"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,Asian,"3,256"
202302,Utilization,Inpatient Admissions,Asian,"10,240"
202302,Utilization,Mild to Moderate Mental Health Visits,Asian,"17,894"
202302,Utilization,Outpatient Visits,Asian,"1,250,744"
202302,Utilization,Prescriptions,Asian,"821,786"
202302,Eligibility,Member Months,Black or African-American,"989,258"
202302,New Enrollments,New Enrollments,Black or African-American,0
202302,State Fair Hearings,State Fair Hearings,Black or African-American,15
202302,Utilization,Emergency Room Visits,Black or African-American,"57,801"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,Black or African-American,"5,630"
202302,Utilization,Inpatient Admissions,Black or African-American,"16,165"
202302,Utilization,Mild to Moderate Mental Health Visits,Black or African-American,"35,618"
202302,Utilization,Outpatient Visits,Black or African-American,"1,072,131"
202302,Utilization,Prescriptions,Black or African-American,"645,827"
202302,Eligibility,Member Months,Hispanic,"6,916,932"
202302,New Enrollments,New Enrollments,Hispanic,0
202302,State Fair Hearings,State Fair Hearings,Hispanic,56
202302,Utilization,Emergency Room Visits,Hispanic,"275,999"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,Hispanic,"19,864"
202302,Utilization,Inpatient Admissions,Hispanic,"59,381"
202302,Utilization,Mild to Moderate Mental Health Visits,Hispanic,"193,811"
202302,Utilization,Outpatient Visits,Hispanic,"6,527,533"
202302,Utilization,Prescriptions,Hispanic,"3,848,124"
202302,Eligibility,Member Months,Native Hawaiian or Other Pacific Islander,"179,737"
202302,New Enrollments,New Enrollments,Native Hawaiian or Other Pacific Islander,0
202302,State Fair Hearings,State Fair Hearings,Native Hawaiian or Other Pacific Islander,3
202302,Utilization,Emergency Room Visits,Native Hawaiian or Other Pacific Islander,"5,808"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,Native Hawaiian or Other Pacific Islander,832
202302,Utilization,Inpatient Admissions,Native Hawaiian or Other Pacific Islander,"3,046"
202302,Utilization,Mild to Moderate Mental Health Visits,Native Hawaiian or Other Pacific Islander,"3,954"
202302,Utilization,Outpatient Visits,Native Hawaiian or Other Pacific Islander,"203,993"
202302,Utilization,Prescriptions,Native Hawaiian or Other Pacific Islander,"129,654"
202302,Eligibility,Member Months,Other/Unknown,"2,238,417"
202302,New Enrollments,New Enrollments,Other/Unknown,0
202302,State Fair Hearings,State Fair Hearings,Other/Unknown,31
202302,Utilization,Emergency Room Visits,Other/Unknown,"93,425"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,Other/Unknown,"8,431"
202302,Utilization,Inpatient Admissions,Other/Unknown,"31,602"
202302,Utilization,Mild to Moderate Mental Health Visits,Other/Unknown,"96,507"
202302,Utilization,Outpatient Visits,Other/Unknown,"2,202,146"
202302,Utilization,Prescriptions,Other/Unknown,"1,338,498"
202302,Eligibility,Member Months,White,"2,357,562"
202302,New Enrollments,New Enrollments,White,0
202302,State Fair Hearings,State Fair Hearings,White,56
202302,Utilization,Emergency Room Visits,White,"110,881"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,White,"11,676"
202302,Utilization,Inpatient Admissions,White,"46,751"
202302,Utilization,Mild to Moderate Mental Health Visits,White,"159,422"
202302,Utilization,Outpatient Visits,White,"2,954,630"
202302,Utilization,Prescriptions,White,"1,911,391"
202303,Eligibility,Member Months,Asian,"1,174,372"
202303,New Enrollments,New Enrollments,Asian,0
202303,State Fair Hearings,State Fair Hearings,Asian,16
202303,Utilization,Emergency Room Visits,Asian,"24,038"
202303,Utilization,Emergency Room Visits with an Inpatient Admission,Asian,"3,663"
202303,Utilization,Inpatient Admissions,Asian,"11,584"
202303,Utilization,Mild to Moderate Mental Health Visits,Asian,"21,442"
202303,Utilization,Outpatient Visits,Asian,"1,408,389"
202303,Utilization,Prescriptions,Asian,"915,731"
