Quarter,Measure Category,Measure Type,"Grievances per 1,000 Member Months"
2023Q1,Sex,Female,3.61
2023Q1,Sex,Male,2.58
2023Q2,Sex,Female,3.74
2023Q2,Sex,Male,2.62
2023Q3,Sex,Female,3.89
2023Q3,Sex,Male,2.70
2023Q4,Sex,Female,3.29
2023Q4,Sex,Male,2.32
2023Q1,Age,Ages 0-18,1.813894333
2023Q1,Age,Ages 19-39,2.631625426
2023Q1,Age,Ages 40-64,5.789032952
2023Q1,Age,Ages 65+,3.112625629
2023Q2,Age,Ages 0-18,1.886819029
2023Q2,Age,Ages 19-39,2.688491911
2023Q2,Age,Ages 40-64,5.949833716
2023Q2,Age,Ages 65+,3.137685275
2023Q3,Age,Ages 0-18,1.933924025
2023Q3,Age,Ages 19-39,2.757220872
2023Q3,Age,Ages 40-64,6.215113167
2023Q3,Age,Ages 65+,3.273764001
2023Q4,Age,Ages 0-18,1.578638258
2023Q4,Age,Ages 19-39,2.335999781
2023Q4,Age,Ages 40-64,5.354068295
2023Q4,Age,Ages 65+,2.934284083
2023Q1,Ethnicity,Asian,1.719894623
2023Q1,Ethnicity,Black or African-American,4.723413358
2023Q1,Ethnicity,Hispanic,2.563506298
2023Q1,Ethnicity,Native Hawaiian or Other Pacific Islander,2.463749036
2023Q1,Ethnicity,Other/Unknown,3.50082276
2023Q1,Ethnicity,White,4.503207514
2023Q2,Ethnicity,Asian,1.74476122
2023Q2,Ethnicity,Black or African-American,4.832190974
2023Q2,Ethnicity,Hispanic,2.674153432
2023Q2,Ethnicity,Native Hawaiian or Other Pacific Islander,2.605210054
2023Q2,Ethnicity,Other/Unknown,3.570867761
2023Q2,Ethnicity,White,4.579645064
2023Q3,Ethnicity,Asian,1.831168268
2023Q3,Ethnicity,Black or African-American,5.112625515
2023Q3,Ethnicity,Hispanic,2.724660545
2023Q3,Ethnicity,Native Hawaiian or Other Pacific Islander,2.930211191
2023Q3,Ethnicity,Other/Unknown,3.73196281
2023Q3,Ethnicity,White,4.787944693
2023Q4,Ethnicity,Asian,1.658525629
2023Q4,Ethnicity,Black or African-American,4.358887
2023Q4,Ethnicity,Hispanic,2.304813026
2023Q4,Ethnicity,Native Hawaiian or Other Pacific Islander,2.59475079
2023Q4,Ethnicity,Other/Unknown,3.125973611
2023Q4,Ethnicity,White,4.125033386
2023Q1,Population,Dual,3.623302891
2023Q1,Population,MO-ACA,3.4242418
2023Q1,Population,MO-Other,2.423684342
2023Q1,Population,MO-OTLIC,1.345080243
2023Q1,Population,MO-SPD,9.097042902
2023Q2,Population,Dual,3.685173328
2023Q2,Population,MO-ACA,3.516485852
2023Q2,Population,MO-Other,2.509112017
2023Q2,Population,MO-OTLIC,1.377609192
2023Q2,Population,MO-SPD,9.332069291
2023Q3,Population,Dual,3.799381336
2023Q3,Population,MO-ACA,3.701569871
2023Q3,Population,MO-Other,2.568870165
2023Q3,Population,MO-OTLIC,1.399924943
2023Q3,Population,MO-SPD,9.647408629
2023Q4,Population,Dual,3.386948204
2023Q4,Population,MO-ACA,3.204380414
2023Q4,Population,MO-Other,2.12068617
2023Q4,Population,MO-OTLIC,1.161923473
2023Q4,Population,MO-SPD,8.108265333
