Month,Measure Category,Measure Type,Population Type,Count
202301,Eligibility,Member Months,Dual,"1,345,887"
202301,New Enrollments,New Enrollments,Dual,0
202301,State Fair Hearings,State Fair Hearings,Dual,36
202301,Utilization,Emergency Room Visits,Dual,"75,944"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,Dual,"12,422"
202301,Utilization,Inpatient Admissions,Dual,"60,808"
202301,Utilization,Mild to Moderate Mental Health Visits,Dual,"57,198"
202301,Utilization,Outpatient Visits,Dual,"2,962,167"
202301,Utilization,Prescriptions,Dual,"605,528"
202301,Eligibility,Member Months,Invalid,0
202301,New Enrollments,New Enrollments,Invalid,0
202301,State Fair Hearings,State Fair Hearings,Invalid,0
202301,Utilization,Emergency Room Visits,Invalid,0
202301,Utilization,Emergency Room Visits with an Inpatient Admission,Invalid,0
202301,Utilization,Inpatient Admissions,Invalid,0
202301,Utilization,Mild to Moderate Mental Health Visits,Invalid,0
202301,Utilization,Outpatient Visits,Invalid,0
202301,Utilization,Prescriptions,Invalid,0
202301,Eligibility,Member Months,MO-ACA,"4,497,709"
202301,New Enrollments,New Enrollments,MO-ACA,0
202301,State Fair Hearings,State Fair Hearings,MO-ACA,43
202301,Utilization,Emergency Room Visits,MO-ACA,"193,872"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,MO-ACA,"17,906"
202301,Utilization,Inpatient Admissions,MO-ACA,"41,794"
202301,Utilization,Mild to Moderate Mental Health Visits,MO-ACA,"224,321"
202301,Utilization,Outpatient Visits,MO-ACA,"4,048,190"
202301,Utilization,Prescriptions,MO-ACA,"3,860,458"
202301,Eligibility,Member Months,MO-Other,"5,649,944"
202301,New Enrollments,New Enrollments,MO-Other,0
202301,State Fair Hearings,State Fair Hearings,MO-Other,34
202301,Utilization,Emergency Room Visits,MO-Other,"218,976"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,MO-Other,"10,891"
202301,Utilization,Inpatient Admissions,MO-Other,"40,446"
202301,Utilization,Mild to Moderate Mental Health Visits,MO-Other,"173,535"
202301,Utilization,Outpatient Visits,MO-Other,"4,544,806"
202301,Utilization,Prescriptions,MO-Other,"2,528,894"
202301,Eligibility,Member Months,MO-OTLIC,"1,245,536"
202301,New Enrollments,New Enrollments,MO-OTLIC,0
202301,State Fair Hearings,State Fair Hearings,MO-OTLIC,2
202301,Utilization,Emergency Room Visits,MO-OTLIC,"26,237"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,MO-OTLIC,912
202301,Utilization,Inpatient Admissions,MO-OTLIC,"3,607"
202301,Utilization,Mild to Moderate Mental Health Visits,MO-OTLIC,"33,766"
202301,Utilization,Outpatient Visits,MO-OTLIC,"743,318"
202301,Utilization,Prescriptions,MO-OTLIC,"287,120"
202301,Eligibility,Member Months,MO-SPD,"674,285"
202301,New Enrollments,New Enrollments,MO-SPD,0
202301,State Fair Hearings,State Fair Hearings,MO-SPD,32
202301,Utilization,Emergency Room Visits,MO-SPD,"56,287"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,MO-SPD,"9,926"
202301,Utilization,Inpatient Admissions,MO-SPD,"22,676"
202301,Utilization,Mild to Moderate Mental Health Visits,MO-SPD,"41,077"
202301,Utilization,Outpatient Visits,MO-SPD,"2,044,440"
202301,Utilization,Prescriptions,MO-SPD,"1,809,329"
202302,Eligibility,Member Months,Dual,"1,612,232"
202302,New Enrollments,New Enrollments,Dual,0
202302,State Fair Hearings,State Fair Hearings,Dual,41
202302,Utilization,Emergency Room Visits,Dual,"78,801"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,Dual,"12,952"
202302,Utilization,Inpatient Admissions,Dual,"65,796"
202302,Utilization,Mild to Moderate Mental Health Visits,Dual,"54,425"
