Month,Measure Category,Measure Type,Sex,Count
202301,Eligibility,Member Months,Female,"7,140,953"
202301,New Enrollments,New Enrollments,Female,0
202301,State Fair Hearings,State Fair Hearings,Female,93
202301,Utilization,Emergency Room Visits,Female,"318,516"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,Female,"25,857"
202301,Utilization,Inpatient Admissions,Female,"95,912"
202301,Utilization,Mild to Moderate Mental Health Visits,Female,"367,887"
202301,Utilization,Outpatient Visits,Female,"8,333,694"
202301,Utilization,Prescriptions,Female,"5,491,022"
202301,Eligibility,Member Months,Male,"6,272,408"
202301,New Enrollments,New Enrollments,Male,0
202301,State Fair Hearings,State Fair Hearings,Male,54
202301,Utilization,Emergency Room Visits,Male,"252,800"
202301,Utilization,Emergency Room Visits with an Inpatient Admission,Male,"26,200"
202301,Utilization,Inpatient Admissions,Male,"73,419"
202301,Utilization,Mild to Moderate Mental Health Visits,Male,"162,010"
202301,Utilization,Outpatient Visits,Male,"6,009,227"
202301,Utilization,Prescriptions,Male,"3,600,307"
202302,Eligibility,Member Months,Female,"7,363,742"
202302,New Enrollments,New Enrollments,Female,0
202302,State Fair Hearings,State Fair Hearings,Female,97
202302,Utilization,Emergency Room Visits,Female,"313,024"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,Female,"24,743"
202302,Utilization,Inpatient Admissions,Female,"94,450"
202302,Utilization,Mild to Moderate Mental Health Visits,Female,"351,751"
202302,Utilization,Outpatient Visits,Female,"8,227,691"
202302,Utilization,Prescriptions,Female,"5,218,130"
202302,Eligibility,Member Months,Male,"6,484,410"
202302,New Enrollments,New Enrollments,Male,0
202302,State Fair Hearings,State Fair Hearings,Male,79
202302,Utilization,Emergency Room Visits,Male,"252,464"
202302,Utilization,Emergency Room Visits with an Inpatient Admission,Male,"24,946"
202302,Utilization,Inpatient Admissions,Male,"72,735"
202302,Utilization,Mild to Moderate Mental Health Visits,Male,"155,455"
202302,Utilization,Outpatient Visits,Male,"5,983,486"
202302,Utilization,Prescriptions,Male,"3,477,150"
202303,Eligibility,Member Months,Female,"7,403,749"
202303,New Enrollments,New Enrollments,Female,0
202303,State Fair Hearings,State Fair Hearings,Female,148
202303,Utilization,Emergency Room Visits,Female,"348,949"
202303,Utilization,Emergency Room Visits with an Inpatient Admission,Female,"27,211"
202303,Utilization,Inpatient Admissions,Female,"104,665"
202303,Utilization,Mild to Moderate Mental Health Visits,Female,"408,088"
202303,Utilization,Outpatient Visits,Female,"9,335,969"
202303,Utilization,Prescriptions,Female,"5,877,429"
202303,Eligibility,Member Months,Male,"6,522,657"
202303,New Enrollments,New Enrollments,Male,0
202303,State Fair Hearings,State Fair Hearings,Male,101
202303,Utilization,Emergency Room Visits,Male,"281,580"
202303,Utilization,Emergency Room Visits with an Inpatient Admission,Male,"27,406"
202303,Utilization,Inpatient Admissions,Male,"80,333"
202303,Utilization,Mild to Moderate Mental Health Visits,Male,"181,995"
202303,Utilization,Outpatient Visits,Male,"6,743,295"
202303,Utilization,Prescriptions,Male,"3,901,005"
202304,Eligibility,Member Months,Female,"7,458,821"
202304,New Enrollments,New Enrollments,Female,0
202304,State Fair Hearings,State Fair Hearings,Female,140
202304,Utilization,Emergency Room Visits,Female,"339,270"
202304,Utilization,Emergency Room Visits with an Inpatient Admission,Female,"25,354"
202304,Utilization,Inpatient Admissions,Female,"96,223"
202304,Utilization,Mild to Moderate Mental Health Visits,Female,"360,147"
202304,Utilization,Outpatient Visits,Female,"8,316,940"
202304,Utilization,Prescriptions,Female,"5,362,262"
202304,Eligibility,Member Months,Male,"6,577,634"
202304,New Enrollments,New Enrollments,Male,0
202304,State Fair Hearings,State Fair Hearings,Male,83
202304,Utilization,Emergency Room Visits,Male,"277,939"
202304,Utilization,Emergency Room Visits with an Inpatient Admission,Male,"26,139"
202304,Utilization,Inpatient Admissions,Male,"75,160"
202304,Utilization,Mild to Moderate Mental Health Visits,Male,"162,196"
202304,Utilization,Outpatient Visits,Male,"5,989,847"
