Month,members,running_total,yoy_pct
2007-01-01,3236184.0,3236184.0,
2007-02-01,3234980.0,6471164.0,
2007-03-01,3223263.0,9694427.0,
2007-04-01,3236271.0,12930698.0,
2007-05-01,3257574.0,16188272.0,
2007-06-01,3275800.0,19464072.0,
2007-07-01,3267144.0,22731216.0,
2007-08-01,3262061.0,25993277.0,
2007-09-01,3278326.0,29271603.0,
2007-10-01,3284367.0,32555970.0,
2007-11-01,3289760.0,35845730.0,
2007-12-01,3303169.0,39148899.0,
2008-01-01,3305610.0,42454509.0,2.1
2008-02-01,3310157.0,45764666.0,2.3
2008-03-01,3344862.0,49109528.0,3.8
2008-04-01,3351761.0,52461289.0,3.6
2008-05-01,3371391.0,55832680.0,3.5
2008-06-01,3397218.0,59229898.0,3.7
2008-07-01,3406172.0,62636070.0,4.3
2008-08-01,3418561.0,66054631.0,4.8
2008-09-01,3431542.0,69486173.0,4.7
2008-10-01,3435559.0,72921732.0,4.6
2008-11-01,3449550.0,76371282.0,4.9
2008-12-01,3472919.0,79844201.0,5.1
2009-01-01,3488439.0,83332640.0,5.5
2009-02-01,3513667.0,86846307.0,6.1
2009-03-01,3523863.0,90370170.0,5.4
2009-04-01,3554376.0,93924546.0,6.0
2009-05-01,3581708.0,97506254.0,6.2
2009-06-01,3619893.0,101126147.0,6.6
2009-07-01,3648029.0,104774176.0,7.1
2009-08-01,3667062.0,108441238.0,7.3
2009-09-01,3686696.0,112127934.0,7.4
2009-10-01,3821487.0,115949421.0,11.2
2009-11-01,3844203.0,119793624.0,11.4
2009-12-01,3856982.0,123650606.0,11.1
2010-01-01,3880943.0,127531549.0,11.3
2010-02-01,3910479.0,131442028.0,11.3
2010-03-01,3928711.0,135370739.0,11.5
2010-04-01,3949677.0,139320416.0,11.1
2010-05-01,3977753.0,143298169.0,11.1
2010-06-01,3987455.0,147285624.0,10.2
2010-07-01,4014224.0,151299848.0,10.0
2010-08-01,4067853.0,155367701.0,10.9
2010-09-01,4081264.0,159448965.0,10.7
2010-10-01,4097767.0,163546732.0,7.2
2010-11-01,4124443.0,167671175.0,7.3
2010-12-01,4141033.0,171812208.0,7.4
2011-01-01,4174263.0,175986471.0,7.6
2011-02-01,4187992.0,180174463.0,7.1
2011-03-01,4214350.0,184388813.0,7.3
2011-04-01,4270628.0,188659441.0,8.1
2011-05-01,4298511.0,192957952.0,8.1
2011-06-01,4343097.0,197301049.0,8.9
2011-07-01,4533916.0,201834965.0,12.9
2011-08-01,4569071.0,206404036.0,12.3
2011-09-01,4605523.0,211009559.0,12.8
2011-10-01,4644891.0,215654450.0,13.4
2011-11-01,4688878.0,220343328.0,13.7
2011-12-01,4713491.0,225056819.0,13.8
2012-01-01,4753228.0,229810047.0,13.9
2012-02-01,4789999.0,234600046.0,14.4
2012-03-01,4803452.0,239403498.0,14.0
