County,Population
Los Angeles ,10081570
San Diego ,3316073
Orange ,3168044
Riverside ,2411439
San Bernardino ,2149031
Santa Clara ,1927470
Alameda ,1656754
Sacramento ,1524553
Contra Costa ,1142251
Fresno ,984521
Kern ,887641
San Francisco ,874961
Ventura ,847263
San Mateo ,767423
San Joaquin ,742603
Stanislaus ,543194
Sonoma ,499772
Tulare ,461898
Santa Barbara ,444829
Solano ,441829
Monterey ,433410
Placer ,385512
San Luis Obispo ,282165
Santa Cruz ,273962
Merced ,271382
Marin ,259943
Butte ,225817
Yolo ,217352
El Dorado ,188563
Imperial ,180701
Shasta ,179212
Madera ,155433
Kings ,150691
Napa ,139623
Humboldt ,135940
Nevada ,99244
Sutter ,96109
Mendocino ,87224
Yuba ,76360
Lake ,64195
Tehama ,63912
San Benito ,60376
Tuolumne ,54045
Calaveras ,45514
Siskiyou ,43468
Amador ,38429
Lassen ,30818
Glenn ,27976
Del Norte ,27495
Colusa ,21454
Plumas ,18660
Inyo ,17977
Mariposa ,17420
Mono ,14310
Trinity ,12700
Modoc ,8907
Sierra ,3040
Alpine ,1039
