date,county,fips,confirmed_cases,deaths,new_confirmed_cases,new_deaths
1/8/21,Alameda,1,57824,729,804,16
1/8/21,Alpine,3,72,0,1,0
1/8/21,Amador,5,2801,26,40,0
1/8/21,Butte,7,8359,111,142,9
1/8/21,Calaveras,9,922,22,24,0
1/8/21,Colusa,11,1565,9,36,0
1/8/21,Contra Costa,13,45874,376,907,5
1/8/21,Del Norte,15,807,2,8,0
1/8/21,El Dorado,17,6642,33,181,0
1/8/21,Fresno,19,72557,711,1153,0
1/8/21,Glenn,21,1630,18,50,2
1/8/21,Humboldt,23,2031,23,33,0
1/8/21,Imperial,25,23472,446,153,2
1/8/21,Inyo,27,811,27,65,0
1/8/21,Kern,29,76673,539,1941,16
1/8/21,Kings,31,17086,110,0,0
1/8/21,Lake,33,2120,26,65,1
1/8/21,Lassen,35,4972,12,25,1
1/8/21,Los Angeles,37,890031,11872,17827,318
1/8/21,Madera,39,11645,126,113,0
1/8/21,Marin,41,10588,143,120,0
1/8/21,Mariposa,43,308,4,12,0
1/8/21,Mendocino,45,2846,31,45,0
1/8/21,Merced,47,21506,279,367,4
1/8/21,Modoc,49,360,3,3,0
1/8/21,Mono,51,969,4,6,0
1/8/21,Monterey,53,31802,232,1096,3
1/8/21,Napa,55,6476,35,139,3
1/8/21,Nevada,57,2888,50,34,0
1/8/21,Orange,59,181277,1998,3544,26
1/8/21,Placer,61,15454,159,221,17
1/8/21,Plumas,63,544,5,11,0
1/8/21,Riverside,65,207841,2218,3514,29
1/8/21,Sacramento,67,71841,977,779,22
1/8/21,San Benito,69,4266,36,139,1
1/8/21,San Bernardino,71,219536,1486,3142,32
1/8/21,San Diego,73,185062,1771,4550,33
1/8/21,San Francisco,75,25522,218,387,13
1/8/21,San Joaquin,77,51523,712,1419,16
1/8/21,San Luis Obispo,79,12891,101,294,6
1/8/21,San Mateo,81,27358,255,341,21
1/8/21,Santa Barbara,83,19953,185,0,0
1/8/21,Santa Clara,85,80466,843,1783,28
1/8/21,Santa Cruz,87,10108,104,0,0
1/8/21,Shasta,89,8917,99,176,4
1/8/21,Sierra,91,63,0,0,0
1/8/21,Siskiyou,93,1311,12,31,0
1/8/21,Solano,95,22232,102,377,0
1/8/21,Sonoma,97,21067,218,315,4
1/8/21,Stanislaus,99,37951,665,607,8
1/8/21,Sutter,101,6921,69,0,0
1/8/21,Tehama,103,3670,40,31,0
1/8/21,Trinity,105,292,4,7,0
1/8/21,Tulare,107,36936,455,722,13
1/8/21,Tuolumne,109,3180,33,22,10
1/8/21,Ventura,111,48317,334,1373,21
1/8/21,Yolo,113,9114,127,144,1
1/8/21,Yuba,115,4383,25,0,0
1/7/21,Alameda,1,57020,713,823,16
1/7/21,Alpine,3,71,0,0,0
1/7/21,Amador,5,2761,26,23,0
1/7/21,Butte,7,8217,102,121,0
1/7/21,Calaveras,9,898,22,0,0
1/7/21,Colusa,11,1529,9,61,0
1/7/21,Contra Costa,13,44967,371,693,16
1/7/21,Del Norte,15,799,2,8,0
