state,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,cfdr
USA Total,22837347,134084,382637,1154,13444039,9010671,68994,1156,270944916,818558,0,1.68
California ,2676896,0,29682,0,1113950,1533264,67749,751,35826824,906728,39512223,1.11
Texas ,1961165,0,30527,0,1574684,355954,67636,1053,16816301,579955,28995881,1.56
Florida ,1477010,12313,22920,106,768664,685426,68769,1067,16715694,778280,21477737,1.55
New York ,1164957,12743,39588,141,492692,632677,59884,2035,27321002,1404422,19453561,3.4
Illinois ,1028750,4711,19293,83,779737,229720,81184,1523,14103289,1112965,12671821,1.88
Ohio ,777065,6088,9628,28,634085,133352,66478,824,8145652,696859,11689100,1.24
Georgia ,757045,8193,11458,1,358390,387197,71302,1079,6085553,573167,10617423,1.51
Pennsylvania ,725506,6864,17817,95,520490,187199,56671,1392,7903965,617401,12801989,2.46
Tennessee ,653869,7419,7785,81,565197,80887,95746,1140,5858864,857917,6829174,1.19
North Carolina ,623188,8833,7567,142,487090,128531,59419,721,7498343,714939,10488084,1.21
Arizona ,618546,11201,10141,105,84029,524376,84980,1393,3474118,477298,7278717,1.64
New Jersey ,584828,5646,19933,0,293449,271446,65843,2244,8184718,921475,8882190,3.41
Indiana ,563653,5093,8985,19,364221,190447,83725,1335,6109153,907450,6732219,1.59
Michigan ,562553,0,14145,0,415079,133329,56329,1416,9059429,907135,9986857,2.51
Wisconsin ,506890,1832,5157,2,472862,28871,87058,886,2908626,499555,5822434,1.02
Missouri ,449868,0,6466,0,141496,301906,73299,1054,4240702,690958,6137428,1.44
Minnesota ,436572,2159,5775,44,414756,16041,77411,1024,5935902,1052534,5639632,1.32
Massachusetts ,427135,0,13074,0,319388,94673,61971,1897,11635559,1688147,6892503,3.06
Alabama ,401900,2750,5334,35,211684,184882,81967,1088,2059612,420056,4903185,1.33
Virginia ,398856,5141,5383,2,32833,360640,46729,631,5554349,650734,8535519,1.35
Colorado ,358947,0,5190,0,76235,277522,62331,901,2229924,387225,5758736,1.45
South Carolina ,354525,4441,5811,53,164575,184139,68857,1129,4033815,783461,5148714,1.64
Louisiana ,346829,5398,7873,40,280373,58583,74606,1694,4661141,1002656,4648794,2.27
Oklahoma ,331362,6487,2761,23,285645,42956,83741,698,2799072,707377,3956971,0.83
Maryland ,306674,3310,6272,25,9427,290975,50726,1037,6145245,1016469,6045680,2.05
Utah ,305999,2276,1392,2,249390,55217,95447,434,2885428,900021,3205958,0.45
Kentucky ,300398,0,2876,0,38905,258617,67238,644,3619434,810139,4467673,0.96
Iowa ,296440,1087,4138,11,255595,36707,93957,1312,1394798,442081,3155070,1.4
Washington ,274677,0,3821,0,113339,157517,36071,502,4034774,529853,7614893,1.39
Arkansas ,251746,0,4010,0,219887,27849,83420,1329,2442518,809369,3017804,1.59
Nevada ,248568,2259,3467,17,129418,115683,80700,1126,2223317,721820,3080156,1.39
Kansas ,244765,0,3167,0,161774,79824,84016,1087,1051207,360829,2913314,1.29
Mississippi ,239082,2214,5167,21,182103,51812,80333,1736,1886536,633885,2976149,2.16
Connecticut ,205994,0,6324,0,54561,145109,57778,1774,4607967,1292453,3565287,3.07
Nebraska ,175620,0,1811,0,120729,53080,90787,936,869564,449525,1934408,1.03
New Mexico ,154954,0,2732,0,76801,75421,73899,1303,2078816,991409,2096829,1.76
Idaho ,149235,0,1528,0,64538,83169,83508,855,888716,497305,1787065,1.02
Oregon ,124476,0,1603,0,0,0,29513,380,2786624,660692,4217737,1.29
South Dakota ,103318,417,1585,15,96693,5040,116789,1792,384161,434248,884659,1.53
West Virginia ,101212,1434,1582,12,70382,29248,56475,883,1643013,916785,1792147,1.56
Rhode Island ,97614,0,1916,0,5860,89838,92144,1809,2115967,1997399,1059361,1.96
North Dakota ,94716,158,1352,0,91465,1899,124289,1774,383279,502950,762062,1.43
Montana ,86324,222,1056,2,80237,5031,80769,988,842250,788050,1068778,1.22
Delaware ,65273,798,972,3,0,0,67032,998,535558,549987,973764,1.49
New Hampshire ,50871,0,862,0,43374,6635,37413,634,1085829,798573,1359711,1.69
Alaska ,48624,250,223,0,0,0,66468,305,1352480,1848799,731545,0.46
Wyoming ,46719,0,489,0,44490,1740,80723,845,528137,912534,578759,1.05
District Of Columbia ,31791,334,817,4,22153,8821,45046,1158,957350,1356502,705749,2.57
Maine ,29298,279,432,0,11735,17131,21796,321,1286695,957211,1344212,1.47
Hawaii ,23143,0,307,0,13182,9654,16345,217,863028,609538,1415872,1.33
Vermont ,8967,177,156,0,6015,2796,14370,250,759091,1216513,623989,1.74
Puerto Rico ,141896,1122,1630,14,73760,66506,41895,481,464073,137018,3386941,1.15
Guam ,7412,8,124,0,7146,142,0,0,104817,0,0,1.67
United States Virgin Islands ,2143,0,24,0,1984,135,0,0,37556,0,0,1.12
Northern Mariana Islands ,125,0,2,0,0,0,0,0,26131,0,0,1.6
American Samoa ,3,0,0,0,3,0,0,0,0,0,0,0
Veteran Affairs ,179622,427,7242,28,152040,20340,0,0,1186397,0,0,4.03
US Military ,179408,0,203,0,112112,67093,0,0,0,0,0,0.11
Federal Prisons ,47175,0,186,0,38537,8452,0,0,97398,0,0,0.39
Navajo Nation ,24979,0,869,0,12690,11420,0,0,215106,0,0,3.48
Grand Princess Ship ,122,0,7,0,115,0,0,0,0,0,0,5.74
Wuhan Repatriated ,3,0,0,0,3,0,0,0,3,0,0,0
Diamond Princess Ship ,46,0,0,0,46,0,0,0,46,0,0,0
