ID,Neighborhood,Total Jobs,Total Jobs Change,Number of jobs in NAICS sector 22 (Utilities),Change Utilities,Number of jobs in NAICS sector 23 (Construction),Change Construction,Number of jobs in NAICS sector 31-33 (Manufacturing),Change Manufacturing,Number of jobs in NAICS sector 42 (Wholesale Trade),Change Wholesale Trade,Number of jobs in NAICS sector 44-45 (Retail Trade),Change Retail Trade,Number of jobs in NAICS sector 48-49 (Transportation and Warehousing),Change Transportation and Warehousing,Number of jobs in NAICS sector 51 (Information),Change Information,Number of jobs in NAICS sector 52 (Finance and Insurance),Change Finance and Insurance,Number of jobs in NAICS sector 53 (Real Estate and Rental and Leasing),Change Real Estate and Leasing,"Number of jobs in NAICS sector 54 (Professional, Scientific, and Technical Services)",Change Professional Services,Number of jobs in NAICS sector 55 (Management of Companies and Enterprises),Change Management,Number of jobs in NAICS sector 56 (Administrative and Support and Waste Management and Remediation Services),Change Waste Management,Number of jobs in NAICS sector 61 (Educational Services),Change Educational Services,Number of jobs in NAICS sector 62 (Health Care and Social Assistance),Change Health Care,"Number of jobs in NAICS sector 71 (Arts, Entertainment, and Recreation)",Change Arts and Rec,Number of jobs in NAICS sector 72 (Accommodation and Food Services),Change Accomodation and Food Service,Number of jobs in NAICS sector 81 (Other Services [except Public Administration]),Change Other Services
1,Adams-Normandie,2786,-451,9,0,81,-3,149,-10,126,-8,277,-28,99,-8,136,-45,94,3,68,-5,168,-15,43,-3,236,-24,235,-52,476,-29,77,-30,363,-152,149,-42
2,Alsace,4834,-825,7,0,157,-6,235,-16,164,-10,564,-56,181,-14,293,-97,135,4,113,-8,346,-31,59,-4,405,-41,335,-74,734,-44,126,-49,751,-315,229,-64
3,Angeles National Forest,132,-20,0,0,6,0,8,-1,4,0,13,-1,1,0,4,-1,4,0,6,0,11,-1,2,0,6,-1,9,-2,29,-2,7,-3,13,-5,9,-3
4,Angelino Heights,1094,-205,4,0,30,-1,46,-3,39,-2,81,-8,20,-2,150,-50,39,1,23,-2,112,-10,9,-1,85,-9,96,-21,133,-8,45,-18,142,-60,40,-11
5,Arleta,12668,-1734,83,2,781,-31,1367,-96,562,-34,1531,-153,374,-30,497,-164,367,11,247,-17,585,-53,165,-10,1040,-104,869,-191,2327,-140,208,-81,1267,-532,398,-111
6,Atwater Village,5326,-912,25,1,142,-6,277,-19,205,-12,469,-47,106,-8,739,-244,197,6,108,-8,446,-40,82,-5,317,-32,440,-97,863,-52,166,-65,541,-227,203,-57
7,Baldwin Hills,11797,-1837,53,1,257,-10,424,-30,355,-21,1116,-112,565,-45,829,-274,375,11,250,-18,792,-71,135,-8,1115,-112,1078,-237,2454,-147,329,-128,1203,-505,467,-131
8,Bel Air,3010,-488,9,0,82,-3,137,-10,182,-11,225,-23,65,-5,371,-122,139,4,81,-6,352,-32,50,-3,155,-16,261,-57,426,-26,98,-38,242,-102,135,-38
9,Beverly Crest,4745,-832,14,0,90,-4,194,-14,217,-13,371,-37,77,-6,794,-262,194,6,143,-10,571,-51,56,-3,272,-27,371,-82,608,-36,201,-78,392,-165,180,-50
10,Beverlywood,5435,-945,14,0,104,-4,203,-14,218,-13,414,-41,105,-8,741,-245,226,7,133,-9,725,-65,69,-4,288,-29,451,-99,748,-45,228,-89,512,-215,256,-72
11,Boyle Heights,27123,-3956,162,3,993,-40,2676,-187,1816,-109,3186,-319,1210,-97,832,-275,684,21,431,-30,1286,-116,419,-25,2272,-227,1964,-432,4387,-263,555,-216,3245,-1363,1005,-281
