PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,Active,PositionCategory,Name,Age,ExperienceString,BirthDateString,PhotoUrl,ByeWeek,UpcomingGameOpponent,UpcomingGameWeek,ShortName,AverageDraftPosition,DepthPositionCategory,DepthPosition,DepthOrder,DepthDisplayOrder,CurrentTeam,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,HeightFeet,HeightInches,UpcomingOpponentRank,UpcomingOpponentPositionRank,CurrentStatus,UpcomingSalary,FantasyAlarmPlayerID,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelName,DraftKingsName,YahooName,FantasyPositionDepthOrder,InjuryPractice,InjuryPracticeDescription,DeclaredInactive,UpcomingFanDuelSalary,UpcomingDraftKingsSalary,UpcomingYahooSalary,TeamID,GlobalTeamID,FantasyDraftPlayerID,FantasyDraftName,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated,PlayerSeason,LatestNews
19559,KC,,Sean,Culkin,TE,Practice Squad,"6'5""",255,1993-06-11T00:00:00,Missouri,5,TE,True,OFF,Sean Culkin,27,4th Season,"June 11, 1993",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19559.png,10,TB,4,S.Culkin,1445.0,Scrambled,Scrambled,6.0,10.0,KC,LAC,2017,,,True,6,5,11,24.0,Scrambled,,305440,5cc0007b-4561-4ff2-8fa7-242bec47dc5a,,12405,689866.0,59716,,27117.0,689866.0,30420,Scrambled,Scrambled,,Scrambled,Sean Culkin,Sean Culkin,Sean Culkin,6.0,Scrambled,Scrambled,False,,,,16,16,689866.0,Sean Culkin,7420064,,,,,,[]
19917,KC,,Antonio,Callaway,WR,Practice Squad,"5'11""",200,1997-01-09T00:00:00,Florida,4,WR,True,OFF,Antonio Callaway,24,3rd Season,"January 9, 1997",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19917.png,10,TB,4,A.Callaway,,Scrambled,Scrambled,5.0,6.0,KC,CLE,2018,5.0,118.0,False,5,11,11,21.0,Scrambled,3384.0,305926,71d9c2a0-81ee-4788-86bb-7ae326396e73,13108.0,12468,879022.0,91900,,63360.0,879022.0,31075,Scrambled,Scrambled,,Scrambled,Antonio Callaway,Antonio Callaway,Antonio Callaway,11.0,Scrambled,Scrambled,False,,,,16,16,879022.0,Antonio Callaway,7598120,http://cdn.usatsimg.com/api/download/?imageID=11266355,http://cdn.usatsimg.com/api/download/?imageID=11266297,2018-09-17T11:16:55,2018-09-17T11:15:50,,[]
21612,KC,,Jordan,Ta'amu,QB,Practice Squad,"6'3""",214,1997-12-10T00:00:00,Mississippi,1,QB,True,OFF,Jordan Ta'amu,23,1st Season,"December 10, 1997",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/0.png,10,TB,4,J.Ta'amu,1995.4,Scrambled,Scrambled,5.0,1.0,KC,HOU,2019,,,True,6,3,11,16.0,Scrambled,10152.0,307559,c14f8faa-62db-4fb2-a7b1-d9b5998ce604,14821.0,13629,974470.0,126866,,88602.0,974470.0,32642,Scrambled,Scrambled,,Scrambled,Jordan Ta'amu,Jordan Ta'amu,Jordan Ta'amu,5.0,Scrambled,Scrambled,False,5640.0,10152.0,,16,16,974470.0,Jordan Ta'amu,6496826,http://cdn.usatsimg.com/api/download/?imageID=14820089,http://cdn.usatsimg.com/api/download/?imageID=14820090,2020-08-24T19:06:08,2020-08-24T19:06:10,,[]
21816,KC,,Anthony,Gordon,QB,Practice Squad,"6'2""",201,1996-08-28T00:00:00,Washington State,0,QB,True,OFF,Anthony Gordon,24,Rookie,"August 28, 1996",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21816.png,10,TB,4,A.Gordon,2019.1,Scrambled,Scrambled,6.0,1.0,KC,SEA,2020,,,True,6,2,11,16.0,Scrambled,,307750,71a2444a-a6b1-4e62-8974-2d858e2c5b73,,14431,,123315,,71798.0,924166.0,33266,Scrambled,Scrambled,,Scrambled,Anthony Gordon,Anthony Gordon,Anthony Gordon,6.0,Scrambled,Scrambled,False,,,,16,16,,,6493844,http://cdn.usatsimg.com/api/download/?imageID=14884500,http://cdn.usatsimg.com/api/download/?imageID=14884502,2020-09-05T19:30:43,2020-09-05T19:31:09,,[]
22020,KC,,Prince,Tega Wanogho,OT,Practice Squad,"6'5""",308,1997-11-22T00:00:00,Auburn,0,OL,True,OFF,Prince Tega Wanogho,23,Rookie,"November 22, 1997",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22020.png,10,TB,4,P.Tega Wanogho,,Scrambled,Scrambled,,,KC,PHI,2020,8.0,237.0,False,6,5,11,,Scrambled,,308031,7df12cd9-5890-4a9d-b78d-0987de2cd804,,14449,,93213,,,,32880,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,16,16,,,7725781,http://cdn.usatsimg.com/api/download/?imageID=14856339,http://cdn.usatsimg.com/api/download/?imageID=14856340,2020-08-30T08:27:52,2020-08-30T08:28:09,,[]
8243,KC,2.0,Dustin,Colquitt,P,Practice Squad,"6'3""",210,1982-05-06T00:00:00,Tennessee,18,P,True,ST,Dustin Colquitt,38,16th Season,"May 6, 1982",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8243.png,10,TB,4,D.Colquitt,,Scrambled,Scrambled,,,KC,KC,2005,4.0,112.0,False,6,3,11,10.0,Scrambled,,302824,cdf8908a-7092-4054-a49c-a9884211aaa1,3212.0,4442,,3125,7850.0,,158414.0,7275,Scrambled,Scrambled,,Scrambled,,Dustin Colquitt,,,Scrambled,Scrambled,False,,,,16,16,,,7739230,http://cdn.usatsimg.com/api/download/?imageID=12006084,http://cdn.usatsimg.com/api/download/?imageID=12039489,2019-01-16T10:30:48,2019-01-22T16:39:51,,[]
2405,KC,4.0,Chad,Henne,QB,Active,"6'3""",222,1985-07-02T04:00:00,Michigan,15,QB,True,OFF,Chad Henne,35,13th Season,"July 2, 1985",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2405.png,10,TB,4,C.Henne,631.7,Scrambled,Scrambled,3.0,1.0,KC,MIA,2008,3.0,64.0,False,6,3,11,16.0,Scrambled,10152.0,302787,f55053e4-4bfd-495d-981a-d62e3662f01b,4684.0,5685,264851.0,16957,9313.0,7844.0,264851.0,8834,Scrambled,Scrambled,,Scrambled,Chad Henne,Chad Henne,Chad Henne,3.0,Scrambled,Scrambled,False,5640.0,10152.0,23.0,16,16,264851.0,Chad Henne,8050477,http://cdn.usatsimg.com/api/download/?imageID=13122777,http://cdn.usatsimg.com/api/download/?imageID=13231972,2019-07-30T14:14:12,2019-08-19T13:12:08,,[]
22300,KC,5.0,Tommy,Townsend,P,Active,"6'1""",191,1996-11-12T00:00:00,Florida,0,P,True,ST,Tommy Townsend,24,Rookie,"November 12, 1996",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/22300.png,10,TB,4,T.Townsend,,Scrambled,Scrambled,3.0,141.0,KC,KC,2020,,,True,6,1,11,10.0,Scrambled,,308669,edfc712a-54f7-4c34-a838-c50c14dbf7dc,,14574,,90355,,,,32960,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,16,16,,,8050580,http://cdn.usatsimg.com/api/download/?imageID=14820113,http://cdn.usatsimg.com/api/download/?imageID=14820114,2020-08-24T19:08:36,2020-08-24T19:08:38,,[]
19073,KC,7.0,Harrison,Butker,K,Active,"6'4""",205,1995-07-14T04:00:00,Georgia Tech,5,K,True,ST,Harrison Butker,25,4th Season,"July 14, 1995",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/19073.png,10,TB,4,H.Butker,164.8,Scrambled,Scrambled,1.0,1127.0,KC,CAR,2017,9.0,263.0,False,6,4,11,10.0,Scrambled,6768.0,304800,4ceb866c-8eaf-49b5-9043-56228e43a2e5,12433.0,11783,748560.0,74712,,41642.0,748560.0,30346,Scrambled,Scrambled,,Scrambled,Harrison Butker,Harrison Butker,Harrison Butker,1.0,Scrambled,Scrambled,False,9588.0,6768.0,,16,16,,,8050429,http://cdn.usatsimg.com/api/download/?imageID=14888474,http://cdn.usatsimg.com/api/download/?imageID=14888475,2020-09-07T02:36:06,2020-09-07T02:36:12,,[]
5834,KC,8.0,Matt,Moore,QB,Active,"6'3""",219,1984-08-09T00:00:00,Oregon State,15,QB,True,OFF,Matt Moore,36,13th Season,"August 9, 1984",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/5834.png,10,TB,4,M.Moore,574.2,Scrambled,Scrambled,4.0,1.0,KC,DAL,2007,,,True,6,3,11,16.0,Scrambled,5414.0,302724,76d7615e-8eb5-4761-b6a6-1e895d01baf3,4535.0,5432,214201.0,4440,7797.0,6808.0,214201.0,8544,Scrambled,Scrambled,,Scrambled,Matt Moore,Matt Moore,Matt Moore,4.0,Scrambled,Scrambled,False,5640.0,,,16,16,214201.0,Matt Moore,7727851,http://cdn.usatsimg.com/api/download/?imageID=14888528,http://cdn.usatsimg.com/api/download/?imageID=14888527,2020-09-07T03:03:40,2020-09-07T03:03:39,,[]
18082,KC,10.0,Tyreek,Hill,WR,Active,"5'10""",185,1994-03-01T00:00:00,West Alabama,6,WR,True,OFF,Tyreek Hill,26,5th Season,"March 1, 1994",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/18082.png,10,TB,4,T.Hill,19.4,Scrambled,Scrambled,1.0,6.0,KC,KC,2016,6.0,186.0,False,5,10,11,21.0,Scrambled,17597.0,304091,01d8aee3-e1c4-4988-970a-8c0c2d08bd83,11458.0,11222,823156.0,83516,,53681.0,823156.0,29399,Scrambled,Scrambled,,Scrambled,Tyreek Hill,Tyreek Hill,Tyreek Hill,1.0,Scrambled,Scrambled,False,15792.0,17597.0,47.0,16,16,823156.0,Tyreek Hill,8050486,http://cdn.usatsimg.com/api/download/?imageID=14888515,http://cdn.usatsimg.com/api/download/?imageID=14888516,2020-09-07T02:53:06,2020-09-07T02:53:08,,[]
