PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,Active,PositionCategory,Name,Age,ExperienceString,BirthDateString,PhotoUrl,ByeWeek,UpcomingGameOpponent,UpcomingGameWeek,ShortName,AverageDraftPosition,DepthPositionCategory,DepthPosition,DepthOrder,DepthDisplayOrder,CurrentTeam,CollegeDraftTeam,CollegeDraftYear,CollegeDraftRound,CollegeDraftPick,IsUndraftedFreeAgent,HeightFeet,HeightInches,UpcomingOpponentRank,UpcomingOpponentPositionRank,CurrentStatus,UpcomingSalary,FantasyAlarmPlayerID,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelName,DraftKingsName,YahooName,FantasyPositionDepthOrder,InjuryPractice,InjuryPracticeDescription,DeclaredInactive,UpcomingFanDuelSalary,UpcomingDraftKingsSalary,UpcomingYahooSalary,TeamID,GlobalTeamID,FantasyDraftPlayerID,FantasyDraftName,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated,PlayerSeason,LatestNews
15231,TB,,Earl,Watford,G,Practice Squad,"6'3""",300,1990-06-24T00:00:00,James Madison,13,OL,True,OFF,Earl Watford,30,7th Season,"June 24, 1990",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/15231.png,13,KC,4,E.Watford,,Scrambled,Scrambled,,,TB,ARI,2013,8.0,160.0,False,6,3,22,,Scrambled,,302409.0,f6244333-6b6a-4e61-bc2c-cb6ffc2f318a,8538.0,9092,,58731,18985.0,,,26739,Scrambled,Scrambled,,Scrambled,,,,,Scrambled,Scrambled,False,,,,33,33,,,7881326,http://cdn.usatsimg.com/api/download/?imageID=9569932,http://cdn.usatsimg.com/api/download/?imageID=10485473,2016-09-27T18:47:40,2017-12-18T21:04:33,,[]
20325,TB,1.0,Greg,Joseph,K,Practice Squad,"6'0""",208,1994-08-04T00:00:00,Florida Atlantic,6,K,True,ST,Greg Joseph,26,3rd Season,"August 4, 1994",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/20325.png,13,KC,4,G.Joseph,774.7,Scrambled,Scrambled,4.0,1375.0,TB,MIA,2018,,,True,6,0,22,6.0,Scrambled,,306426.0,a2aab80d-174c-4639-beac-e2b70bb3625f,13705.0,13266,833701.0,82141,,55515.0,833701.0,31538,Scrambled,Scrambled,,Scrambled,Greg Joseph,Greg Joseph,Greg Joseph,4.0,Scrambled,Scrambled,False,0.0,,,33,33,,,7595998,http://cdn.usatsimg.com/api/download/?imageID=11832252,http://cdn.usatsimg.com/api/download/?imageID=11832307,2018-12-12T13:38:25,2018-12-12T13:43:59,,[]
8750,TB,3.0,Ryan,Succop,K,Active,"6'3""",218,1986-09-19T00:00:00,South Carolina,17,K,True,ST,Ryan Succop,34,12th Season,"September 19, 1986",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/8750.png,13,KC,4,R.Succop,233.6,Scrambled,Scrambled,2.0,1375.0,TB,KC,2009,13.0,352.0,False,6,3,22,6.0,Scrambled,7843.0,300742.0,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,5461.0,6150,296494.0,23486,11494.0,6767.0,296494.0,9520,Scrambled,Scrambled,,Scrambled,Ryan Succop,Ryan Succop,Ryan Succop,2.0,Scrambled,Scrambled,False,11696.0,7843.0,,33,33,,,8049930,http://cdn.usatsimg.com/api/download/?imageID=14892925,http://cdn.usatsimg.com/api/download/?imageID=14892927,2020-09-08T10:13:09,2020-09-08T10:13:41,,[]
15190,TB,4.0,Ryan,Griffin,QB,Active,"6'5""",210,1989-11-17T00:00:00,Tulane,13,QB,True,OFF,Ryan Griffin,31,7th Season,"November 17, 1989",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/15190.png,13,KC,4,R.Griffin,817.3,Scrambled,Scrambled,8.0,2.0,TB,NO,2013,,,True,6,5,22,29.0,Scrambled,12384.0,302738.0,949c34b9-150a-4a1b-b884-1fcf1ebaabdf,8507.0,8923,466883.0,43142,18545.0,33702.0,466883.0,26949,Scrambled,Scrambled,,Scrambled,Ryan Griffin,Ryan Griffin,Ryan Griffin,8.0,Scrambled,Scrambled,False,6880.0,12384.0,28.0,33,33,466883.0,Ryan Griffin,8049843,http://cdn.usatsimg.com/api/download/?imageID=14892885,http://cdn.usatsimg.com/api/download/?imageID=14892883,2020-09-08T10:04:51,2020-09-08T10:04:41,,[]
4737,TB,6.0,Drew,Stanton,QB,Practice Squad,"6'3""",226,1984-05-07T00:00:00,Michigan State,17,QB,True,OFF,Drew Stanton,36,12th Season,"May 7, 1984",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4737.png,13,KC,4,D.Stanton,824.2,Scrambled,Scrambled,4.0,2.0,TB,DET,2007,4.0,59.0,False,6,3,22,29.0,Scrambled,5642.0,302688.0,22fb2b54-4936-4e8a-a48d-62096c0c9bb1,4179.0,5251,215910.0,4675,8615.0,7744.0,215910.0,8297,Scrambled,Scrambled,,Scrambled,Drew Stanton,Drew Stanton,Drew Stanton,4.0,Scrambled,Scrambled,False,6880.0,,,33,33,215910.0,Drew Stanton,6081643,http://cdn.usatsimg.com/api/download/?imageID=13412196,http://cdn.usatsimg.com/api/download/?imageID=13421811,2019-09-25T12:59:10,2019-09-27T15:58:22,,[]
16925,TB,8.0,Bradley,Pinion,P,Active,"6'5""",240,1994-06-01T00:00:00,Clemson,11,P,True,ST,Bradley Pinion,26,6th Season,"June 1, 1994",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/16925.png,13,KC,4,B.Pinion,,Scrambled,Scrambled,,,TB,SF,2015,9.0,227.0,False,6,5,22,6.0,Scrambled,,303649.0,9000be32-15ad-4c43-bf8d-79a9c7113cdd,,10466,,60215,,,653095.0,28553,Scrambled,Scrambled,,Scrambled,,Bradley Pinion,,,Scrambled,Scrambled,False,,,,33,33,,,8049902,http://cdn.usatsimg.com/api/download/?imageID=14892916,http://cdn.usatsimg.com/api/download/?imageID=14892918,2020-09-08T10:10:38,2020-09-08T10:11:38,,[]
17550,TB,9.0,Matt,Wile,P,Practice Squad,"6'2""",225,1992-06-20T00:00:00,Michigan,6,P,True,ST,Matt Wile,28,3rd Season,"June 20, 1992",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/17550.png,13,KC,4,M.Wile,,Scrambled,Scrambled,,,TB,CAR,2015,,,True,6,2,22,6.0,Scrambled,,303532.0,4278baf5-f774-4031-ab0f-12a9c7e43c45,,10532,606093.0,53302,,,606093.0,28738,Scrambled,Scrambled,,Scrambled,,Matt Wile,,4.0,Scrambled,Scrambled,False,,,,33,33,,,3026604,http://cdn.usatsimg.com/api/download/?imageID=12145083,http://cdn.usatsimg.com/api/download/?imageID=12145083,2019-02-11T12:44:53,2019-02-11T12:44:53,,[]
21138,TB,10.0,Scotty,Miller,WR,Active,"5'11""",174,1997-07-31T00:00:00,Bowling Green,4,WR,True,OFF,Scotty Miller,23,2nd Season,"July 31, 1997",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/21138.png,13,KC,4,S.Miller,345.4,Scrambled,Scrambled,4.0,9.0,TB,TB,2019,11.0,286.0,False,5,11,22,6.0,Scrambled,7018.0,306929.0,85e18d5f-8a3f-4b6c-88fe-dfdaaed5554e,14275.0,13987,866578.0,94189,,61273.0,866578.0,32040,Scrambled,Scrambled,,Scrambled,Scotty Miller,Scotty Miller,Scotty Miller,8.0,Scrambled,Scrambled,False,8944.0,7018.0,15.0,33,33,866578.0,Scotty Miller,8049884,http://cdn.usatsimg.com/api/download/?imageID=15184696,http://cdn.usatsimg.com/api/download/?imageID=15184697,2020-11-10T21:30:33,2020-11-10T21:31:06,,[]
12982,TB,11.0,Blaine,Gabbert,QB,Active,"6'4""",235,1989-10-15T08:00:00,Missouri,14,QB,True,OFF,Blaine Gabbert,31,10th Season,"October 15, 1989",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/12982.png,13,KC,4,B.Gabbert,743.0,Scrambled,Scrambled,6.0,2.0,TB,JAX,2011,2.0,14.0,False,6,4,22,29.0,Scrambled,12384.0,302775.0,de816e24-8442-49a4-99cd-dde7e7c05863,6451.0,7248,463393.0,38447,15791.0,14194.0,463393.0,24797,Scrambled,Scrambled,,Scrambled,Blaine Gabbert,Blaine Gabbert,Blaine Gabbert,6.0,Scrambled,Scrambled,False,6880.0,12384.0,28.0,33,33,463393.0,Blaine Gabbert,8049823,http://cdn.usatsimg.com/api/download/?imageID=13412117,http://cdn.usatsimg.com/api/download/?imageID=13421803,2019-09-25T12:57:59,2019-09-27T15:58:02,,[]
4314,TB,12.0,Tom,Brady,QB,Active,"6'4""",225,1977-08-03T00:00:00,Michigan,29,QB,True,OFF,Tom Brady,43,21st Season,"August 3, 1977",https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/4314.png,13,KC,4,T.Brady,115.0,Scrambled,Scrambled,2.0,2.0,TB,NE,2000,11.0,274.0,False,6,4,22,29.0,Scrambled,20640.0,302701.0,41c44740-d0f6-44ab-8347-3b5d515e5ecf,1163.0,1350,25347.0,105,4012.0,6498.0,25347.0,5228,Scrambled,Scrambled,,Scrambled,Tom Brady,Tom Brady,Tom Brady,2.0,Scrambled,Scrambled,False,20640.0,20640.0,96.0,33,33,25347.0,Tom Brady,8049705,http://cdn.usatsimg.com/api/download/?imageID=15189625,http://cdn.usatsimg.com/api/download/?imageID=15189628,2020-11-12T07:32:52,2020-11-12T07:33:16,,[]
