accident,spillage
collision,189.3
collision,43.2
collision,181.7
collision,70.1
collision,50.5
collision,317.6
collision,73
collision,45.1
collision,34.8
collision,33.2
fire,58.5
fire,139.7
fire,124.5
fire,94.6
fire,132.1
fire,78.9
fire,236.9
fire,193.8
fire,130.4
fire,65.5
fire,99.3
fire,310.6
fire,70.5
fire,75.8
fire,70.4
grounding,121.2
grounding,10.4
grounding,49.9
grounding,65.2
grounding,16.4
grounding,98.4
grounding,181
grounding,128.3
grounding,13.5
grounding,17.9
grounding,175.3
grounding,45.6
hullfail,212.7
hullfail,24.7
hullfail,28.8
hullfail,10.2
hullfail,10.1
hullfail,51.5
hullfail,50.9
hullfail,18.1
hullfail,145.7
hullfail,129.2
hullfail,131.4
hullfail,41.5
hullfail,25.2
hullfail,23.1
