feature,text,polarity,subjectivity
Did you receive the educational training you expected?,"Yes, Yes, No, No, No, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes",0,0
"Finally, are there any suggestions that administration can take to improve the student research experience?","No suggestions at the moment.,Maybe provide students with additional opportunities to earn apply for funding that can be used for materials and supplies.,' Personally I have not had any issue with the program; I am enjoying my time participating and have no comments for suggestions at this time.,No, you guys are great!,I have enjoyed it ,None,Again, in my personal experience it appeared that there was a lack of organization and, therefore, understanding of what student researchers should be doing with their time in the lab.,nope!,For me, it has been a great experience, I have been happy with the way the program is!,Nope it's really great! ,The administration is wonderful! They respond promptly, provide support, walk you through the process, and really do their best to help. ,By letting the students have more participation in the research.,I think that administration is doing a great job! I have no other suggestions at this time (other than for Q14, see above),Nothing as of now.,Providing student a stipends for any software they may need to analyze data. Sometimes we need to go home to keep analyzing data. Sometimes PRISM can be finicky. Especially for researcher doing large projects. ,Providing student a stipends for any software they may need to analyze data. Sometimes we need to go home to keep analyzing data. Sometimes PRISM can be finicky. Especially for researcher doing large projects. ,Nothing as of now.,Nope it's really great! ,By letting the students have more participation in the research.,nope!,I think that administration is doing a great job! I have no other suggestions at this time (other than for Q14, see above),None,The administration is wonderful! They respond promptly, provide support, walk you through the process, and really do their best to help. ,For me, it has been a great experience, I have been happy with the way the program is!,Again, in my personal experience it appeared that there was a lack of organization and, therefore, understanding of what student researchers should be doing with their time in the lab.,For regular intro scholars in the lab, have us prepare with some of these online videos/modules. ,Honestly, none.,Nothing comes to mind, I just look forward to being back in the lab in person! :),During the summer programs, I hope all the classes taught will be recorded to have access to review. ,Not at the moment. Hard to be critical given the circumstances.",0.420340136,0.582163789
How can we improve this program?," No suggestions at the moment.,Maybe hold more optional data analysis workshops. ,' Personally I have not had any issue with the program; I am enjoying my time participating and have no comments for suggestions at this time.,not sure,I am not sure to be honest. I think my negative experiences this block were solely because the first step of our project has not been successful, which has made things difficult. But, I think that's also an important learning experience when it comes to research. Not everything is going to go smoothly, not all of your data will be significant or go as planned. It's been a bit frustrating but also a very important thing to learn if I plan to continue doing research throughout my career. ,I have enjoyed it ,Perhaps provide an opportunity to work under different research associates or rotate into different labs. However, I really like the program as it is now!,More education on interpretation of the results of each analysis we run,I think if you had things for students to complete, even if there is not a project associated with it that would give the students things to learn or practice new techniques or equipment use. ,I think implementing a bit more organization that would clarify for both students and mentors about specific tasks or roles that students could take on in the lab. It would have been helpful to know what tasks I could be doing in the lab when   was engaged in something that did not warrant my involvement., not sure!, I do not have any concerns and the program has been working very well for me. ,If possible, provide a stipend for materials and supplies or provide an opportunity for students to apply for additional funding., I think the program can be improved by better explaining the lab positions available before the application process., I think it would be helpful to have a list of desired tasks for completion. Also, I think some people started halfway through the block and were still required to work 60 hours total. I think it would be helpful if they were able to make the choice of receiving half the money and only required to work 30 hours for the half block., A few other students and I thought it would be nice if lunch talks (i.e., research rounds) or even our research lunches in general were somehow coordinated on a schedule with the other club events. A few times there were overlapping events planned or scheduling conflicts with other club events (which at times can be mandatory for students).

This can be frustrating at times, especially when a research rounds topic is extremely interesting/relevant but a student can't attend due to scheduling. If possible, it would be nice of the research club president put research rounds/other research events on the student club calendar to avoid these overlapping conflicts. That way other clubs can plan lunch events for separate times. ,Nothing as of now., All opportunities provided for us researchers is amazing. If there are any suggestions it would be the following: taught how to do statistical analysis with PRISM or R, learning and understanding how to use PRISM software, understanding how to create a valid sample size for clinical trials, and how to be an effective presenter for scientific data., All opportunities provided for us researchers is amazing. If there are any suggestions it would be the following: taught how to do statistical analysis with PRISM or R, learning and understanding how to use PRISM software, understanding how to create a valid sample size for clinical trials, and how to be an effective presenter for scientific data., Nothing as of now., I think the program can be improved by better explaining the lab positions available before the application process., Perhaps provide an opportunity to work under different research associates or rotate into different labs. However, I really like the program as it is now!, not sure!, I think it would be helpful to have a list of desired tasks for completion. Also, I think some people started halfway through the block and were still required to work 60 hours total. I think it would be helpful if they were able to make the choice of receiving half the money and only required to work 30 hours for the half block., A few other students and I thought it would be nice if lunch talks (i.e., research rounds) or even our research lunches in general were somehow coordinated on a schedule with the other club events. A few times there were overlapping events planned or scheduling conflicts with other club events (which at times can be mandatory for students).

This can be frustrating at times, especially when a research rounds topic is extremely interesting/relevant but a student can't attend due to scheduling. If possible, it would be nice of the research club president put research rounds/other research events on the student club calendar to avoid these overlapping conflicts. That way other clubs can plan lunch events for separate times. ,More education on interpretation of the results of each analysis we run, If possible, provide a stipend for materials and supplies or provide an opportunity for students to apply for additional funding., I think if you had things for students to complete, even if there is not a project associated with it that would give the students things to learn or practice new techniques or equipment use. ,I do not have any concerns and the program has been working very well for me. ,I think implementing a bit more organization that would clarify for both students and mentors about specific tasks or roles that students could take on in the lab. It would have been helpful to know what tasks I could be doing in the lab when   was engaged in something that didn't ‚Not warrant my involvement.",0.115256837,0.578938778
We're sorry to hear that.Would you please describe what you were expecting?,"I hoped that I would be doing more work related to the research and learning more about interpretation of results. I do not mind the maintenance of the lab and think it is very important! I jus wish there was a little bit more education on the lab techniques and how they apply to the overall project. I still LOVE this program though!!!,I was expecting to get more hands on experience with the lab equipment. I thought I would be plating, incubating, running electrophoresis, etc. Instead I was cleaning, restocking, and organizing. Most of my hours were performed in the afternoons, due to classes, and my research associate works mostly mornings.  was good when he did have things for me to complete. He was very patient in teaching me skills and walking me through the procedure. , was very willing to teach me concepts as I observed him working in the lab. However, there unfortunately was not a lot of training opportunities to be had. There was also a lack of organization that created confusion for both and myself as to what I should be doing in the lab. As I said before, was very willing to teach me concepts, but there did not seem to be a clear idea of my role or duties in the lab. Also, the times I was available to come into the lab did not generally coincide with routine, and therefore did not afford many opportunities for me to meaningfully engage in the research., I hoped that I would be doing more work related to the research and learning more about interpretation of results. I don't‚Not mind the maintenance of the lab and think it is very important! I jus wish there was a little bit more education on the lab techniques and how they apply to the overall project. I still LOVE this program though!!!,I was expecting to get more hands on experience with the lab equipment. I thought I would be plating, incubating, running electrophoresis, etc. Instead I was cleaning, restocking, and organizing. Most of my hours were performed in the afternoons, due to classes, and my research associate works mostly mornings.  was good when he did have things for me to complete. He was very patient in teaching me skills and walking me through the procedure. , was very willing to teach me concepts as I observed him working in the lab. However, there unfortunately was not a lot of training opportunities to be had. There was also a lack of organization that created confusion for both  and myself as to what I should be doing in the lab. As I said before,  was very willing to teach me concepts, but there didn't‚Not seem to be a clear idea of my role or duties in the lab. Also, the times I was available to come into the lab didn't‚Not generally coincide with routine, and therefore didn't, Not afford many opportunities for me to meaningfully engage in the research., I was expecting to be in the lab this semester getting hands-on. I understand that we had to move online due to certain circumstances, but I wasn't expecting so much busy work. ",0.270699708,0.531899903
What could we have done differently to improve your experience this block?,"Have clear guidelines for the presentation, like the length, expectations, etc. ,Nothing. Did well given the situation., I felt like the Advanced Biology and Stoichiometry videos were way too elementary and not beneficial. I personally learned these topics in high school chemistry class or in introductory college chemistry class so these courses were very boring and extremely repetitive. I would have liked the option to opt out of those basic science courses as I found the SDS Page/Western Blot videos much more interesting and relevant., For what the situation was, everything turned out well. ,I think you all did great., Not added the PowerPoint presentation. It just seemed like busy work and was not beneficial for me to do. ,Given the sudden circumstances of the pandemic, I think that the research team managed their scholars' experiences to the best of their abilities.",0.172142857,0.499880952
"Would you please describe any challenges you faced this block?
Such as: scheduling conflicts, access to facilities, equipment issues, etc,"," My primary challenge this block was not being able to use lab equipment (PCR machines) because they were being used by other research students. There was no online scheduling form/calendar that allowed me to reserve specific time slots so that I could make sure I could use the equipment I needed when I went to lab.,I faced some challenges with scheduling pics ups with samples because everyone has had different schedules, including myself, the practices, and . But through better communication and scheduling, all of the kinks have been worked out., Ordering supplies has been an issue and dealing with limited space, but we all do our best. ,Scheduling was the largest conflict I had this block. I am heavily involved with a club on campus and had some clinical skills rotations scheduled at the same time that the anesthesia team performed some studies. However, the team is extremely flexible and we worked around our scheduling conflicts by planning study dates as early as possible to avoid scheduling conflicts. ,when the fish would not breed, I could not do my project, We faced issues with culturing the anaerobic organisms.  Dawes has completed a similar experiment successfully in the past, but used the anaerobic chamber. We are using anaerobic jars (sealed containers with packaging that will eliminate the aerobic conditions) and we did not have success any of the times we attempted to culture the bacteria.
Because we have not successfully cultured or isolated the C. perfringens, we are unable to continue with the next step of the experiment. 

The scheduling is a little difficult now that  Dawes is doing the clinical skills labs for 2nd years on Tuesdays or Thursdays. Typically that would be when I could work (if I didn't have clinical skills myself). We have been able to work around it for the most part, but it has made things more difficult. I believe that if we are able to get to the next steps of the experiment, or when we get the chickens, this will be much less of an issue because I will be able to go in by myself. ,Access to facilities (off campus field work),I had been injured and unable to use my hand for a few weeks, so that was a challenge. Also some things with our tissues didn't go as planned but nothing that can't be fixed. ,As I mentioned previously, the scheduling between classes and  Dawes' schedule and clinical skills schedule is challenging, but we are making it work and finally have begun moving forward with everything now that we are able to use the anaerobic chamber. However  I have been told that we are getting chickens, and so far, we have yet to get them. There seems to be an issue with the IACUC approval, and so there's nothing I can really do to help it. Luckily there's still other lab work that I have available and have been working on completing. I got into this project really wanting to work with the chickens, but I guess research never goes as planned, so it's a good thing to experience. ,None, The biggest challenged I faced was finding hours that worked with my school schedule and with . ,Scheduling seemed to be the main culprit which limited learning opportunities. It basically was left to chance as to whether   would be actively performing research techniques that I could become involved with or not., Nothing with the program, just challenges with the project itself (fish did not breed),No challenges faced. ,Scheduling conflicts ,Access to facilities, moving, and, packing up the lab.,Initially it took several days for my card access to become active, which made it difficult to earn enough hours my first few weeks., I did not have too many challenges this block, but the hardest aspect was scheduling a time that worked for my two other peers and lab instructor. But my mentor worked really hard to accommodate our schedules., Scheduling was a little difficult for my team and I, mostly because we had a lot to accomplish within 5 weeks and it got a little tiring by the end of week 5. We had planned our research dates to be between weeks 15 so that we can avoid meeting during weeks 7 and 8 (when we want to spend more time studying for exams), so this schedule was indeed for the best.,' Scheduling conflicts
 Equipment issues: Centrifuge would be broken, Scheduling conflicts to complete more than 4hour ELISAs. Plate reader was moved and I did not have access to internet to use my username and password to read my plates. It was quickly fixed by . ,Scheduling conflicts to complete more than 4hour ELISAs. Plate reader was moved and I did not have access to internet to use my username and password to read my plates. It was quickly fixed by . ,As I mentioned previously, the scheduling between classes and  Dawes' schedule and clinical skills schedule is challenging, but we are making it work and finally have begun moving forward with everything now that we are able to use the anaerobic chamber. However  I have been told that we are getting chickens, and so far, we have yet to get them. There seems to be an issue with the IACUC approval, and so there's nothing I can really do to help it. Luckily there's still other lab work that I have available and have been working on completing. I got into this project really wanting to work with the chickens, but I guess research never goes as planned, so it's a good thing to experience. ,' Scheduling conflicts
 Equipment issues: Centrifuge would be broken, Scheduling conflicts ,Initially it took several days for my card access to become active, which made it difficult to earn enough hours my first few weeks., Nothing with the program, just challenges with the project itself (fish did not breed),I did not have too many challenges this block, but the hardest aspect was scheduling a time that worked for my two other peers and lab instructor. But my mentor worked really hard to accommodate our schedules., Scheduling was a little difficult for my team and I, mostly because we had a lot to accomplish within 5 weeks and it got a little tiring by the end of week 5. We had planned our research dates to be between weeks 15 so that we can avoid meeting during weeks 7 and 8 (when we want to spend more time studying for exams), so this schedule was indeed for the best.,None, Access to facilities, moving, and, packing up the lab.,The biggest challenged I faced was finding hours that worked with my school schedule and with . ,No challenges faced. ,Scheduling seemed to be the main culprit which limited learning opportunities. It basically was left to chance as to whether   would be actively performing research techniques that I could become involved with or not.",0.094508637,0.471821506
"Would you please describe any challenges you faced this block? For advance scholars, did you have any experimental set-backs?
Such as: scheduling conflicts, access to facilities, equipment issues, lack of reagents, etc","The only thing that was hard was the inventory SOP because I had only been in the lab a week when we switched to virtual so I really didn't know what we needed to keep in the nitrogen tanks, but luckily  was fantastic and helped me with that. The only other thing which was out of our control was all the screen time between the program and school got to me, but again this was out of anyone's control. The joVE videos were really advanced and I honestly didn't really understand most of them. ,Access to facilities  COVID19,The new schedule for my virtual classes/rotations made it tough to coordinate and balance small animal work with research, but that is only because everything is online due to the pandemic.   was also busy with his own things which also made it a challenge sometimes, but none of these issues can be put onto someone. We all did our best with what we could., We still have have to analyze for statistical significance. ,Just my injury inhibiting my ability to type., There was a lot more time spent this block compared to other blocks so it was a challenge being productive and managing my time along with my classes, I had to write an SOP for something I had never done before in the lab and didn't know the WesternU protocol. This made this extremely difficult on where to start or how much to include. ,' Lack of access to facilities hindered my work because I was unable to grab my laboratory notebook prior to the pandemic closing the campus
 Scheduling to meet with my mentor was more difficult because of the pandemic, Yes, due to the virus we were unable to do any experiments after the original DNA extraction. We finally got the chickens in, but Dr Dawes is the only one handling that at the moment. It is quite frustrating, but understandable. ",0.053170595,0.597579966
Would you please list and describe the strengths of the program?," I believe that a huge strength of this program is with the flexibility of the scheduling. Because of the CVM student schedule, there are weeks that I may have less time during the week, and am able instead to come in on the weekends to complete my required weekly hours., This program allows the student to be independent in the research they wish to perform with a lot of guidance and assistance from the faculty. ,Great mentorship and opportunities for research presentation and publication. I believe this program helps students apply the theoretical or clinical knowledge obtained during classes directly. ,' Strengths: Incredible faculty and mentor support; efficient and supportive veterinary research team staff; flexible to students' interests 
,A lot of resources available. Communication is very easy and quick responses are a plus, I believe the program really has a supportive structure. From my own mentor, to the lab faculty, to the CVM Research staff, everyone is always helpful. 
,Mentorship and opportunity to work one on one with faculty. 
Positive atmosphere and encouragement to pursue research.
How to complete a project from beginning to end ,This program is incredible for preparing students to be successful in research. We are given a lot of guidance and as much support as we need from our faculty mentors. ,The faculty and staff that help to run the program are the best., I enjoy the flexibility of my schedule as well as the freedom to ask questions and learn new techniques in the lab.  Xie is very open to teaching us how to use and take care of the equipment; her strong communication skills make this program appealing and educational. Also, we do not learn these lab skills in class and I appreciate the opportunity for research experience., I love that there is such a big team available to help you if you are interested in research and I love how much everyone works with you to make sure you aren't too stressed in the program. A few times, I have been really stressed and was allowed to study after I had finished my daily tasks to make sure that school comes first., It is nice to be exposed to the equipment and the way the lab runs. ,  was very willing to teach when the opportunity presented itself. He was always very thorough and provoked a lot of curiosity that made me want to further research topics we discussed., Open communication and easy to get a hold of people, One on one mentorship with a faculty member is invaluable and the skills and knowledge I have gained from this mentorship will help me be more successful not only as a scientist/researcher but also as a clinician. ,I am developing independence as a researcher and have learned to tackle more difficult subjects because of this program. ,The program provides direct faculty mentorship to the student to foster growth, develop their skills, and general mentorship. 


,I think the flexibility of the schedule is one of the most beneficial aspects of the program., The major strength of this program is it is a great opportunity to see and learn new laboratory procedures as well as repetition of some laboratory skills., This research program provides a wonderful environment for students to get more involved with different mentors. Every faculty member at this school is wonderful and incredibly supportive. I also really enjoy the lunches that are planned by the program!, A big strength of this program is that there are many research associates in the lab during normal business hours that are available to help even if my research mentor is not available.,It's a great way to enhance my researcher skills, practice utilizing software like PRISM, and attend workshops with scientist doing amazing work., it's a great way to enhance my researcher skills, practice utilizing software like PRISM, and attend workshops with scientist doing amazing work., The faculty and staff that help to run the program are the best., A big strength of this program is that there are many research associates in the lab during normal business hours that are available to help even if my research mentor is not available., I am developing independence as a researcher and have learned to tackle more difficult subjects because of this program. ,I think the flexibility of the schedule is one of the most beneficial aspects of the program., I enjoy the flexibility of my schedule as well as the freedom to ask questions and learn new techniques in the lab.  Xie is very open to teaching us how to use and take care of the equipment; her strong communication skills make this program appealing and educational. Also, we do not learn these lab skills in class and I appreciate the opportunity for research experience., Open communication and easy to get a hold of people, The major strength of this program is it is a great opportunity to see and learn new laboratory procedures as well as repetition of some laboratory skills., This research program provides a wonderful environment for students to get more involved with different mentors. Every faculty member at this school is wonderful and incredibly supportive. I also really enjoy the lunches that are planned by the program!, I love that there is such a big team available to help you if you are interested in research and I love how much everyone works with you to make sure you aren't‚Not too stressed in the program. A few times, I have been really stressed and was allowed to study after I had finished my daily tasks to make sure that school comes first., The program provides direct faculty mentorship to the student to foster growth, develop their skills, and general mentorship. 


,It is nice to be exposed to the equipment and the way the lab runs. ,One-on-one mentorship with a faculty member is invaluable and the skills and knowledge I have gained from this mentorship will help me be more successful not only as a scientist/researcher but also as a clinician. ,  was very willing to teach when the opportunity presented itself. He was always very thorough and provoked a lot of curiosity that made me want to further research topics we discussed., Having a mentor was great, I would honestly have been very lost without  
The topics chosen for videos was great and very applicable 
The time we were given to compete everything was more than fair 
I feel like I actually learned something ,Flexibility in allowing researchers to continue their work while being paid for the work. I truly appreciate that and see that., I appreciated the structured assignments that the program provided me during COVID19. And I liked the flexibility of being able to report to  Xie at my convenience once a week and take my time with the presentation and videos. Especially during weeks with lots of class, it was good to be able to spend more time on school and then make up for lost time during the weekend., I appreciate the flexibility of the program in providing me venue to still be able to do research remotely. ,Again, even in an on campus setting that will hopefully resume soon I would recommend implementing the presentation requirement., You have good supporting faculty ,' A big strength of this program was that they were able to provide informative videos that could introduce basic laboratory techniques to scholars that were not able to participate in actual experiments in a lab setting., There is always support available, even when things get crazy. I appreciate everyone within the research department! ",0.328856551,0.567763971
Would you please list what you learned during your research scholars experience?," I learned extensively about the steps and reagents used to run conventional and Realtime PCRs. 
 I learned to perform DNA extractions and gel electrophoresis.
 I also learned about next generation sequencing, which was an entirely novel method for me.,Through my research, I have been developing better communication skills while working with multiple practices. I have been getting better at time management. As more and more samples are being collected and analyzed, we are learning more about the diversity of feline oral microflora in cats with stomatitis., Research continues to be an amazing experience. It has refined my understanding and direct application of anesthesia and analgesia. I have learned to adapt when certain project factors are out of your hands and to be resourceful with what you have.,' Pig temperament and handling/restraint
 Sedation techniques for pigs
 Anesthesia monitoring for pigs and rabbits
 Utilization of anesthesia monitoring equipment such as invasive blood pressure monitoring system, carbon dioxide output, muscle oxygen levels, etc.
 Anesthetic drug cocktails and pharmacokinetics/dynamics of different drugs, Microinjection of zebrafish
subculture cancer cells
PCR,Aided in writing a grant application
Began attempting to culture anaerobic organisms 
Learned that things don't always go as planned when culturing anaerobic organisms... haha.
How to create agar plates
Serial dilutions  calculations and performing them myself, I have never done research before so the entire experience was new for me. I learned how to design a study and ask the appropriate and necessary questions. I learned how to mange my time to work efficiently while traveling and collecting data. I learned how to write up a research article and about the process or presenting data. ,Have obtained very detailed knowledge of histology and histological techniques, as well as developing my scientific writing. ,Anaerobic chamber procedures
Culturing and inoculation of broth 
Susceptibility testing, I learned how to change the medium for stem cells as well as how to remove stem cells from a flask. I also learned how to maintain a lab and the proper way to clean an aspirator., How to use the Qbit to quantify the amount of DNA in a sample as well as a spectrophotometer for DNA. I also learned how to run a DNA gel electrophoresis. ,I learned how to read plates and measure DNA concentrations with the lab equipment. I learned how to pipet solutions into tubes, use the autoclave, fill liquid nitrogen tanks, and wash equipment. I learned the proper care of equipment.  ,Creating gels for electrophoresis 
Techniques in bacterial culturing 
General concepts in plasmid transfection
Preparing cells for flow cytometry
Basic process behind flow cytometry, Learned how to PCR, interpret data, statistical analysis, breed zebrafish, subculture cells, microinject. ,This block I have learned about study design and statistical analysis. I have learned about the publication process and how to formulate results and formal write ups for my research. Additionally this block I learned about genetic analysis and how it can be incorporated into our research continuing forward and how to collect samples. I also learned more about the impact of diet and nutrition on canines in regards to body condition, muscle condition, skin health, and dental health as well as how to best analyze various diets to determine the most appropriate diet for the needs of the canine. ,Learned more in depth anatomy and physiology ,The research scholars program provides a wonderful opportunity to dive deeply into a topic of interest. I have learned and enjoyed a great deal about how research works and how to be resourceful, use time management, and to structure a project that allows you to follow your own curiosity. ,I learned how a lab effectively runs; I also learned how to dilate and change mediums., I learned how to change culture medium sterilely as well as maintain stem cell cultures. I also saw multiple different laboratory preparations like PCR, gel electrophoresis, and microscope slide preparation., More about monitoring and measuring levels of anesthesia with various anesthetic drug combinations, things to expect with one drug versus another, how to properly use anesthetic equipment, and how to properly set up the anesthesia equipment. I also learned more about how each monitoring system may be lacking in one area or another, and why you may choose to utilize one device over another.,' DNA Extraction
 Standard Dilutions of Positive Controls
 Conventional and Realtime PCR
 Electrophoresis Gel
 Next Generation Sequencing
,ELISA techniques
PRISM data analysis 
PRISM data presentation, ELISA techniques
PRISM data analysis 
PRISM data presentation, Anaerobic chamber procedures
Culturing and inoculation of broth 
Susceptibility testing,' DNA Extraction
 Standard Dilutions of Positive Controls
 Conventional and Realtime PCR
 Electrophoresis Gel
 Next Generation Sequencing
,Learned more in depth anatomy and physiology ,I learned how a lab effectively runs; I also learned how to dilate and change mediums., I learned how to change the medium for stem cells as well as how to remove stem cells from a flask. I also learned how to maintain a lab and the proper way to clean an aspirator., Learned how to PCR, interpret data, statistical analysis, breed zebrafish, subculture cells, microinject. ,I learned how to change culture medium sterilely as well as maintain stem cell cultures. I also saw multiple different laboratory preparations like PCR, gel electrophoresis, and microscope slide preparation., More about monitoring and measuring levels of anesthesia with various anesthetic drug combinations, things to expect with one drug versus another, how to properly use anesthetic equipment, and how to properly set up the anesthesia equipment. I also learned more about how each monitoring system may be lacking in one area or another, and why you may choose to utilize one device over another., How to use the Qbit to quantify the amount of DNA in a sample as well as a spectrophotometer for DNA. I also learned how to run a DNA gel electrophoresis. ,The research scholars program provides a wonderful opportunity to dive deeply into a topic of interest. I have learned and enjoyed a great deal about how research works and how to be resourceful, use time management, and to structure a project that allows you to follow your own curiosity. ,I learned how to read plates and measure DNA concentrations with the lab equipment. I learned how to pipet solutions into tubes, use the autoclave, fill liquid nitrogen tanks, and wash equipment. I learned the proper care of equipment.  ,This block I have learned about study design and statistical analysis. I have learned about the publication process and how to formulate results and formal write ups for my research. Additionally this block I learned about genetic analysis and how it can be incorporated into our research continuing forward and how to collect samples. I also learned more about the impact of diet and nutrition on canines in regards to body condition, muscle condition, skin health, and dental health as well as how to best analyze various diets to determine the most appropriate diet for the needs of the canine. ,Creating gels for electrophoresis 
Techniques in bacterial culturing 
General concepts in plasmid transfection
Preparing cells for flow cytometry
Basic process behind flow cytometry",0.267921516,0.494761624
Would you please list what you learned/accomplished during your research scholars experience?,"I learned some common techniques like cell culture, western blot, elisa assays that we see and use a lot in vet med and I feel like I actually learned these techniques, as opposed to just reading learning issues on it where I don't really retain the information. I feel I will have a better understanding of my assigned tasks come fall when we can hopefully go back to the lab. I think having this background information would be good for future intro scholars to look at prior to starting in the lab, that way when we can watch something we know what's going on and can ask more questions. ,Understanding genes associated with dopamine transmission along with associated brain regions leading to differences in working memory, behavior, and psychiatric disorders., I was able to accomplish my remote plan given the circumstances with the pandemic and busy scheduling with my small animal block and  ' schedule. We did our best and I was able to hand my work (images and draft) to   while he helped with the statistical analysis (which Trinidad also helped with). We have been working on finishing touches so that we may send the manuscript in soon., I was never strong in my understanding of immunological assays and my research about Western Blot subsequently led me to understand ELISA and other forms of protein identification much better :) Super helpful for microbiology knowledge., 1. Data analysis of stem cell treatment for dogs with atopic dermatitis.

2. Draft a manuscript for the stem cell treatment for atopic dermatitis.

3. Work plan for the new approved grant ‚Biomarker for dogs with atopic dermatitis., Given the circumstances that were imposed very abruptly I felt that the Research Office did an excellent job on the fly coming up with an alternative option for research apprentices. The videos helped to introduce and refresh certain concepts, but the presentation really allowed me to learn and be creative at the same time. Although my injury slowed my progress and made me have to rush through the presentation a bit to meet the deadline, I still learned a lot about COVID19 and was able to implement knowledge I gained through the vet school curriculum as well., Learned a lot about the protocols used in most microbiology labs as well as a very good understanding about the science behind the protocols used, The Jove videos and the Udemy videos were appropriate. ,' DNA extraction
 Serial dilutions
 Gel electrophoresis
 PCR techniques
 How to use excel to analyze large amounts of data
 How to use Prism to produce graphs for my manuscript, This block was a bit frustrating because we finally got our chickens, and yet thanks to COVID I still didn't get to work with them :(. I did however learn about antibiotic susceptibility testing, which is important to our ongoing project. ",0.202420971,0.494989429
