List operation,Example,Description
{},y = {},Creates an empty dictionary
len,len(y),Returns the number of items (key-value pairs) in dictionary
keys,y.keys(),Returns all the keys in a dictionary
values,y.values(),Returns all values in a dictionary
items,y.items(),returns all items (key-value pairs) in a dictionary
del,del(y[key]),Removes an entry from a dictionary
in,x' in y,A test to determine if a key exists in a dictionary
get,"y.get('x', None)",Returns the value of a key if it exists in dictionary
setdefault,"y.setdefault('x', None)","Returns the value of a key, or adds a value if not exist"
copy,x = y.copy(),Makes a shallow copy of a dictionary
update,x.update(y),Combines two dictionaries
