Character,Description
[ ],Matches any set of characters enclosed
[a-zA-Z0-9],Matches any letter from (a to z) or (A to Z) or (0 to 9)
\,Signals a special sequence and can also be used as an escape special character
.,Matches anyone character (except newline)
^,Anchor; Matches at the start of the string
$,Anchor; Matches at the end of the string
*,Greed and Repetition:  Checks for zero or more characters to its left.
+,Greed and Repetition: Checks for one or more characters to its left.
"{x, n}",Repetition: Repeat at least x times but no more than y times.
|,Match either or
( ),Matches the pattern of characters specified in the parenthesis exactly.
\w,"Matches any single letter, digit or underscore."
\W,Matches any character the string DOES NOT contain any word characters
\s,"Matches a single whitespace character like: space, newline, tab, return."
\S,Matches where the string DOES NOT contain a white space character
\t,Matches tab.
\n,Matches newline.
\r,Matches return.
\d,Matches decimal digit 0-9.
\b,Matches only the beginning or end of the word.
