index,Year,Quarter,LocationAbbr,LocationDesc,HealthTopic,PolicyTopic,DataSource,Setting,Title,Status,Citation,StatusAltValue
1,2015,1,FL,Florida,Physical Activity,Pedestrians/Walking,DNPAO,Community,Florida Shared-Use Nonmotorized Trail Network,Dead,SB1186,3
2,2015,1,NY,New York,Nutrition,School Nutrition,DNPAO,School/After School,"""Health Education Regarding Food, Agriculture, and Nutrition""",Introduced,AB544,0
3,2011,1,NY,New York,Obesity,Appropriations,DNPAO,School/After School,Tax Increment Bonds Payable From Real Property Taxes Le,Dead,A5296,3
4,2009,1,NY,New York,Obesity,Access to Drinking Water,DNPAO,School/After School,Healthy Schools Act,Dead,A7804,3
5,2009,1,MN,Minnesota,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Transportation,Dead,S1484,3
6,2007,1,OK,Oklahoma,Nutrition,Food Assistance Programs,DNPAO,Community,State Food Security Act,Enacted,H2833,1
7,2010,1,PA,Pennsylvania,Nutrition,Food Security,DNPAO,Restaurant/Retail,Agricultural Surplus System,Enacted,H2139,1
8,2010,1,NJ,New Jersey,Nutrition,Agriculture and Farming,DNPAO,Community,Economic Development Promotion Act,Dead,S543,3
9,2010,1,WA,Washington,Physical Activity,Pedestrians/Walking,DNPAO,School/After School,Enforcement of Crosswalk Violations,Enacted,S6363,1
10,2011,1,GA,Georgia,Obesity,Appropriations,DNPAO,Community,Georgia Grown Farm Products,Dead,H367,3
11,2009,1,MA,Massachusetts,Obesity,Appropriations,DNPAO,Community,Livable Communities and Zoning Reform Act,Dead,S97,3
12,2011,1,AR,Arkansas,Obesity,Appropriations,DNPAO,Community,Game and Fish Commission Duties,Dead,HJR1007,3
13,2009,1,MA,Massachusetts,Obesity,Disparities/Equity,DNPAO,Community,School Nutrition,Dead,H2092,3
14,2011,1,MT,Montana,Obesity,Food Restrictions,DNPAO,Community,Recommendations on Reducing Childhood Hunger,Dead,D1088,3
