index,Year,Quarter,LocationAbbr,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,Status,Citation,StatusAltValue
1,2015,1,FL,Florida,Physical Activity,Pedestrians/Walking,Community,Florida Shared-Use Nonmotorized Trail Network,Dead,SB1186,3
2,2015,1,NY,New York,Nutrition,School Nutrition,School/After School,"Health Education Regarding Food, Agriculture, and Nutrition",Introduced,AB544,0
3,2011,1,NY,New York,Obesity,Appropriations,School/After School,Tax Increment Bonds Payable From Real Property Taxes Le,Dead,A5296,3
4,2009,1,NY,New York,Obesity,Access to Drinking Water,School/After School,Healthy Schools Act,Dead,A7804,3
5,2009,1,MN,Minnesota,Physical Activity,Built Environment and Street-Scale Design,Community,Transportation,Dead,S1484,3
6,2007,1,OK,Oklahoma,Nutrition,Food Assistance Programs,Community,State Food Security Act,Enacted,H2833,1
7,2010,1,PA,Pennsylvania,Nutrition,Food Security,Restaurant/Retail,Agricultural Surplus System,Enacted,H2139,1
8,2010,1,NJ,New Jersey,Nutrition,Agriculture and Farming,Community,Economic Development Promotion Act,Dead,S543,3
9,2010,1,WA,Washington,Physical Activity,Pedestrians/Walking,School/After School,Enforcement of Crosswalk Violations,Enacted,S6363,1
10,2011,1,GA,Georgia,Obesity,Appropriations,Community,Georgia Grown Farm Products,Dead,H367,3
11,2009,1,MA,Massachusetts,Obesity,Appropriations,Community,Livable Communities and Zoning Reform Act,Dead,S97,3
12,2011,1,AR,Arkansas,Obesity,Appropriations,Community,Game and Fish Commission Duties,Dead,HJR1007,3
13,2009,1,MA,Massachusetts,Obesity,Disparities/Equity,Community,School Nutrition,Dead,H2092,3
14,2011,1,MT,Montana,Obesity,Food Restrictions,Community,Recommendations on Reducing Childhood Hunger,Dead,D1088,3
15,2011,1,HI,Hawaii,Nutrition,Fruits and Vegetables,School/After School,School Gardens,Dead,HCR260,3
16,2015,3,CA,California,Nutrition,Agriculture and Farming,Community,Relative to Farmworker Appreciation Day,Enacted,SR46,1
17,2011,1,VA,Virginia,Physical Activity,Built Environment and Street-Scale Design,Community,Transportation Infrastructure Bank,Dead,H1582,3
18,2011,1,MS,Mississippi,Nutrition,Appropriations,School/After School,School Curriculum,Dead,H902,3
19,2010,1,KY,Kentucky,Obesity,Food Restrictions,Community,Appropriations and Revenues,Dead,S1a,3
20,2013,4,RI,Rhode Island,Obesity,Access to Drinking Water,Early Care and Education,Child  Care Programs,Enacted,5452,1
21,2011,1,RI,Rhode Island,Nutrition,Access to Healthy Foods,Community,Taxation,Dead,S295,3
22,2009,1,IL,Illinois,Obesity,Appropriations,School/After School,Department of Juvenile Justice School District,Dead,H2254,3
23,2011,1,MN,Minnesota,Nutrition,Liability and Indemnity,Community,Capital Investment,Dead,H1050,3
24,2010,1,VT,Vermont,Obesity,Health Insurance Coverage,Medical and/or Hospital,Health Care Coverage,Dead,H510,3
25,2010,1,RI,Rhode Island,Obesity,Body Mass Index (BMI),Community,Towns and Cities,Enacted,H7588,1
26,2005,1,ME,Maine,Nutrition,Food Policy Councils,Community,Food Policy Council,Enacted,H1497,1
27,2010,1,NH,New Hampshire,Obesity,Appropriations,Community,Certain Technical Corrections in the Insurance Laws,Enacted,H1366,1
28,2010,1,IA,Iowa,Physical Activity,Access to Recreational Opportunities,Community,Extracurricular Interscholastic Competition,Enacted,R9270,1
29,2009,1,ME,Maine,Nutrition,Appropriations,Community,Soft Drinks,Dead,H511,3
30,2011,1,TX,Texas,Nutrition,Access to Healthy Foods,Restaurant/Retail,Regulation of Food Sold at Farmers Markets.,Dead,H3387,3
31,2011,1,NY,New York,Physical Activity,Physical Activity Requirements,Community,Use of School Facilities,Dead,S3647,3
32,2009,1,MA,Massachusetts,Nutrition,Food Security,Community,School Nutrition,Dead,H2092,3
33,2009,1,MN,Minnesota,Nutrition,Fruits and Vegetables,Community,State Government,Vetoed,S2081,2
34,2011,1,MA,Massachusetts,Obesity,Body Mass Index (BMI),Community,Environmental and Health Impact Reports,Dead,H1157,3
35,2009,1,WA,Washington,Physical Activity,Safe Routes to Schools,School/After School,Student Transportation Funding,Dead,S5914,3
36,2011,1,CT,Connecticut,Obesity,Food Restrictions,Community,Certified Farmers Markets,Enacted,H6156,1
37,2011,1,TX,Texas,Nutrition,School Nutrition,Restaurant/Retail,Programs to Improve Health of Public School Students,Dead,HJR9,3
38,2010,1,NY,New York,Obesity,Food Restrictions,Restaurant/Retail,Commissioner of Economic Development,Dead,A9545,3
39,2013,3,NC,North Carolina,Obesity,Sugar Sweetened Beverages,Restaurant/Retail,Commonsense Consumption Act,Enacted,HB683,1
40,2010,1,MI,Michigan,Obesity,Body Mass Index (BMI),Community,Public Transportation Agencies,Enacted,H5212,1
41,2009,1,AL,Alabama,Obesity,Appropriations,Community,Government Appropriations,Dead,H379,3
42,2011,1,TX,Texas,Obesity,Food Restrictions,Restaurant/Retail,Interagency Obesity Council,Dead,S1454,3
43,2011,1,AR,Arkansas,Nutrition,Appropriations,Community,Cottage Food and Farmers Market Permit Exemptions,Enacted,H1323,1
44,2011,1,GA,Georgia,Nutrition,Farm Direct Foods,Restaurant/Retail,Georgia Grown Farm Products,Dead,H367,3
45,2012,1,CO,Colorado,Nutrition,School Nutrition,School/After School,Prohibiting the Use of Trans Fat<br>,Enacted,S68,1
46,2011,1,IN,Indiana,Nutrition,Farm Direct Foods,Restaurant/Retail,Local Food and Farm Task Force,Dead,H1375,3
47,2011,1,UT,Utah,Nutrition,Food Assistance Programs,Community,Short Title - State Food Stamps Program,Dead,S193,3
48,2010,1,LA,Louisiana,Obesity,Menu Labeling,Community,Municipalities,Dead,S702,3
49,2006,1,CT,Connecticut,Obesity,Food Restrictions,School/After School,Healthy School Food and Beverages,Enacted,S373,1
50,2010,1,WA,Washington,Nutrition,Farmers Markets,Restaurant/Retail,Property Tax Exemption,Enacted,H2402,1
51,2009,1,WI,Wisconsin,Nutrition,Medical Care,Community,Budget Act,Dead,A75,3
52,2010,1,FL,Florida,Physical Activity,Signage for Recreation and Transportation,School/After School,Spring Lake Improvement District,Dead,S2756,3
53,2011,1,DC,District of Columbia,Nutrition,Nutrition Standards,Restaurant/Retail,Delivery Order Approval,Dead,B62,3
54,2011,1,HI,Hawaii,Physical Activity,Public Safety,Community,State and Counties to Allow Properties Structures and B,Dead,SR85,3
55,2011,1,AL,Alabama,Obesity,Menu Labeling,Community,Nutrition Labeling of Food,Enacted,H195,1
56,2011,1,MS,Mississippi,Obesity,Liability and Indemnity,Community,Sweetened Beverages and Syrups Tax,Dead,S2678,3
